LDEV_TransRate_X491-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:01:DF X"
"1","2014/04/01 17:28",59
"2","2014/04/01 17:33",56
"3","2014/04/01 17:38",46
"4","2014/04/01 17:43",339
"5","2014/04/01 17:48",257
"6","2014/04/01 17:53",204
"7","2014/04/01 17:58",58
"8","2014/04/01 18:03",72
"9","2014/04/01 18:08",53
"10","2014/04/01 18:13",63
"11","2014/04/01 18:18",56
"12","2014/04/01 18:23",65
"13","2014/04/01 18:28",55
"14","2014/04/01 18:33",66
"15","2014/04/01 18:38",39
"16","2014/04/01 18:43",227
"17","2014/04/01 18:48",115
"18","2014/04/01 18:53",69
"19","2014/04/01 18:58",61
"20","2014/04/01 19:03",73
"21","2014/04/01 19:08",56
"22","2014/04/01 19:13",63
"23","2014/04/01 19:18",71
"24","2014/04/01 19:23",67
"25","2014/04/01 19:28",56
"26","2014/04/01 19:33",106
"27","2014/04/01 19:38",55
"28","2014/04/01 19:43",66
"29","2014/04/01 19:48",78
"30","2014/04/01 19:53",84
"31","2014/04/01 19:58",65
"32","2014/04/01 20:03",88
"33","2014/04/01 20:08",63
"34","2014/04/01 20:13",62
"35","2014/04/01 20:18",114
"36","2014/04/01 20:23",64
"37","2014/04/01 20:28",64
"38","2014/04/01 20:33",77
"39","2014/04/01 20:38",46
"40","2014/04/01 20:43",61
"41","2014/04/01 20:48",70
"42","2014/04/01 20:53",83
"43","2014/04/01 20:58",64
"44","2014/04/01 21:03",76
"45","2014/04/01 21:08",60
"46","2014/04/01 21:13",68
"47","2014/04/01 21:18",60
"48","2014/04/01 21:23",73
"49","2014/04/01 21:28",55
"50","2014/04/01 21:33",72
"51","2014/04/01 21:38",45
"52","2014/04/01 21:43",341
"53","2014/04/01 21:48",225
"54","2014/04/01 21:53",91
"55","2014/04/01 21:58",68
"56","2014/04/01 22:03",398
"57","2014/04/01 22:08",1136
"58","2014/04/01 22:13",1079
"59","2014/04/01 22:18",462
"60","2014/04/01 22:23",506
"61","2014/04/01 22:28",843
"62","2014/04/01 22:33",1120
"63","2014/04/01 22:38",957
"64","2014/04/01 22:43",965
"65","2014/04/01 22:48",1177
"66","2014/04/01 22:53",1296
"67","2014/04/01 22:58",1286
"68","2014/04/01 23:03",1846
"69","2014/04/01 23:08",1514
"70","2014/04/01 23:13",1144
"71","2014/04/01 23:18",1133
"72","2014/04/01 23:23",1214
"73","2014/04/01 23:28",1237
"74","2014/04/01 23:33",987
"75","2014/04/01 23:38",1118
"76","2014/04/01 23:43",867
"77","2014/04/01 23:48",904
"78","2014/04/01 23:53",995
"79","2014/04/01 23:58",742
"80","2014/04/02 00:03",718
"81","2014/04/02 00:08",440
"82","2014/04/02 00:13",416
"83","2014/04/02 00:18",421
"84","2014/04/02 00:23",589
"85","2014/04/02 00:28",400
"86","2014/04/02 00:33",339
"87","2014/04/02 00:38",261
"88","2014/04/02 00:43",174
"89","2014/04/02 00:48",242
"90","2014/04/02 00:53",351
"91","2014/04/02 00:58",370
"92","2014/04/02 01:03",313
"93","2014/04/02 01:08",300
"94","2014/04/02 01:13",719
"95","2014/04/02 01:18",725
"96","2014/04/02 01:23",809
