LDEV_TransRate_X489-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:01:D7 X"
"1","2014/04/01 17:28",271
"2","2014/04/01 17:33",792
"3","2014/04/01 17:38",270
"4","2014/04/01 17:43",3486
"5","2014/04/01 17:48",1075
"6","2014/04/01 17:53",878
"7","2014/04/01 17:58",280
"8","2014/04/01 18:03",746
"9","2014/04/01 18:08",271
"10","2014/04/01 18:13",267
"11","2014/04/01 18:18",731
"12","2014/04/01 18:23",343
"13","2014/04/01 18:28",271
"14","2014/04/01 18:33",813
"15","2014/04/01 18:38",272
"16","2014/04/01 18:43",1108
"17","2014/04/01 18:48",843
"18","2014/04/01 18:53",488
"19","2014/04/01 18:58",349
"20","2014/04/01 19:03",825
"21","2014/04/01 19:08",270
"22","2014/04/01 19:13",267
"23","2014/04/01 19:18",977
"24","2014/04/01 19:23",347
"25","2014/04/01 19:28",275
"26","2014/04/01 19:33",1588
"27","2014/04/01 19:38",278
"28","2014/04/01 19:43",348
"29","2014/04/01 19:48",731
"30","2014/04/01 19:53",365
"31","2014/04/01 19:58",273
"32","2014/04/01 20:03",746
"33","2014/04/01 20:08",270
"34","2014/04/01 20:13",271
"35","2014/04/01 20:18",729
"36","2014/04/01 20:23",410
"37","2014/04/01 20:28",274
"38","2014/04/01 20:33",734
"39","2014/04/01 20:38",269
"40","2014/04/01 20:43",268
"41","2014/04/01 20:48",799
"42","2014/04/01 20:53",275
"43","2014/04/01 20:58",271
"44","2014/04/01 21:03",748
"45","2014/04/01 21:08",272
"46","2014/04/01 21:13",268
"47","2014/04/01 21:18",728
"48","2014/04/01 21:23",279
"49","2014/04/01 21:28",272
"50","2014/04/01 21:33",1182
"51","2014/04/01 21:38",274
"52","2014/04/01 21:43",2968
"53","2014/04/01 21:48",1017
"54","2014/04/01 21:53",788
"55","2014/04/01 21:58",279
"56","2014/04/01 22:03",1128
"57","2014/04/01 22:08",2696
"58","2014/04/01 22:13",3215
"59","2014/04/01 22:18",1534
"60","2014/04/01 22:23",733
"61","2014/04/01 22:28",2978
"62","2014/04/01 22:33",6772
"63","2014/04/01 22:38",4985
"64","2014/04/01 22:43",6395
"65","2014/04/01 22:48",8535
"66","2014/04/01 22:53",9782
"67","2014/04/01 22:58",10672
"68","2014/04/01 23:03",8678
"69","2014/04/01 23:08",8224
"70","2014/04/01 23:13",6710
"71","2014/04/01 23:18",9087
"72","2014/04/01 23:23",10451
"73","2014/04/01 23:28",9145
"74","2014/04/01 23:33",8864
"75","2014/04/01 23:38",9133
"76","2014/04/01 23:43",7561
"77","2014/04/01 23:48",7531
"78","2014/04/01 23:53",7704
"79","2014/04/01 23:58",5844
"80","2014/04/02 00:03",6257
"81","2014/04/02 00:08",2934
"82","2014/04/02 00:13",3284
"83","2014/04/02 00:18",3168
"84","2014/04/02 00:23",3791
"85","2014/04/02 00:28",3469
"86","2014/04/02 00:33",3562
"87","2014/04/02 00:38",653
"88","2014/04/02 00:43",1057
"89","2014/04/02 00:48",3115
"90","2014/04/02 00:53",2277
"91","2014/04/02 00:58",2994
"92","2014/04/02 01:03",3536
"93","2014/04/02 01:08",2213
"94","2014/04/02 01:13",1884
"95","2014/04/02 01:18",739
"96","2014/04/02 01:23",3636
