LDEV_TransRate_3-7.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:20:2A","00:20:2B"
"1","2014/04/01 17:28",0,33
"2","2014/04/01 17:33",0,34
"3","2014/04/01 17:38",0,38
"4","2014/04/01 17:43",0,34
"5","2014/04/01 17:48",0,36
"6","2014/04/01 17:53",0,36
"7","2014/04/01 17:58",0,33
"8","2014/04/01 18:03",0,35
"9","2014/04/01 18:08",0,36
"10","2014/04/01 18:13",0,34
"11","2014/04/01 18:18",0,36
"12","2014/04/01 18:23",0,35
"13","2014/04/01 18:28",0,34
"14","2014/04/01 18:33",0,34
"15","2014/04/01 18:38",0,38
"16","2014/04/01 18:43",0,33
"17","2014/04/01 18:48",0,35
"18","2014/04/01 18:53",0,36
"19","2014/04/01 18:58",0,32
"20","2014/04/01 19:03",0,35
"21","2014/04/01 19:08",0,37
"22","2014/04/01 19:13",0,33
"23","2014/04/01 19:18",0,36
"24","2014/04/01 19:23",0,36
"25","2014/04/01 19:28",0,34
"26","2014/04/01 19:33",0,34
"27","2014/04/01 19:38",0,37
"28","2014/04/01 19:43",0,33
"29","2014/04/01 19:48",0,34
"30","2014/04/01 19:53",0,37
"31","2014/04/01 19:58",0,31
"32","2014/04/01 20:03",0,36
"33","2014/04/01 20:08",0,37
"34","2014/04/01 20:13",0,33
"35","2014/04/01 20:18",0,37
"36","2014/04/01 20:23",0,36
"37","2014/04/01 20:28",0,34
"38","2014/04/01 20:33",0,34
"39","2014/04/01 20:38",0,38
"40","2014/04/01 20:43",0,33
"41","2014/04/01 20:48",0,35
"42","2014/04/01 20:53",0,36
"43","2014/04/01 20:58",0,34
"44","2014/04/01 21:03",0,36
"45","2014/04/01 21:08",0,36
"46","2014/04/01 21:13",0,33
"47","2014/04/01 21:18",0,37
"48","2014/04/01 21:23",0,36
"49","2014/04/01 21:28",0,34
"50","2014/04/01 21:33",0,35
"51","2014/04/01 21:38",0,37
"52","2014/04/01 21:43",0,33
"53","2014/04/01 21:48",0,38
"54","2014/04/01 21:53",0,36
"55","2014/04/01 21:58",0,32
"56","2014/04/01 22:03",0,36
"57","2014/04/01 22:08",0,36
"58","2014/04/01 22:13",0,32
"59","2014/04/01 22:18",0,36
"60","2014/04/01 22:23",0,37
"61","2014/04/01 22:28",0,33
"62","2014/04/01 22:33",0,35
"63","2014/04/01 22:38",0,39
"64","2014/04/01 22:43",0,34
"65","2014/04/01 22:48",0,36
"66","2014/04/01 22:53",0,36
"67","2014/04/01 22:58",0,33
"68","2014/04/01 23:03",0,90
"69","2014/04/01 23:08",0,36
"70","2014/04/01 23:13",0,33
"71","2014/04/01 23:18",0,37
"72","2014/04/01 23:23",0,36
"73","2014/04/01 23:28",0,34
"74","2014/04/01 23:33",0,34
"75","2014/04/01 23:38",0,37
"76","2014/04/01 23:43",0,34
"77","2014/04/01 23:48",0,35
"78","2014/04/01 23:53",0,36
"79","2014/04/01 23:58",0,33
"80","2014/04/02 00:03",0,37
"81","2014/04/02 00:08",0,36
"82","2014/04/02 00:13",0,34
"83","2014/04/02 00:18",0,43
"84","2014/04/02 00:23",0,36
"85","2014/04/02 00:28",0,34
"86","2014/04/02 00:33",0,35
"87","2014/04/02 00:38",0,38
"88","2014/04/02 00:43",0,33
"89","2014/04/02 00:48",0,36
"90","2014/04/02 00:53",0,36
"91","2014/04/02 00:58",0,33
"92","2014/04/02 01:03",0,34
"93","2014/04/02 01:08",0,37
"94","2014/04/02 01:13",0,33
"95","2014/04/02 01:18",0,36
"96","2014/04/02 01:23",0,37
