LDEV_TransRate_X487-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:01:C5 X"
"1","2014/04/01 17:28",0
"2","2014/04/01 17:33",1
"3","2014/04/01 17:38",0
"4","2014/04/01 17:43",2
"5","2014/04/01 17:48",5
"6","2014/04/01 17:53",4
"7","2014/04/01 17:58",0
"8","2014/04/01 18:03",0
"9","2014/04/01 18:08",0
"10","2014/04/01 18:13",0
"11","2014/04/01 18:18",0
"12","2014/04/01 18:23",1
"13","2014/04/01 18:28",0
"14","2014/04/01 18:33",0
"15","2014/04/01 18:38",0
"16","2014/04/01 18:43",4
"17","2014/04/01 18:48",1
"18","2014/04/01 18:53",2
"19","2014/04/01 18:58",1
"20","2014/04/01 19:03",0
"21","2014/04/01 19:08",0
"22","2014/04/01 19:13",0
"23","2014/04/01 19:18",4
"24","2014/04/01 19:23",1
"25","2014/04/01 19:28",0
"26","2014/04/01 19:33",1
"27","2014/04/01 19:38",0
"28","2014/04/01 19:43",1
"29","2014/04/01 19:48",0
"30","2014/04/01 19:53",1
"31","2014/04/01 19:58",0
"32","2014/04/01 20:03",0
"33","2014/04/01 20:08",0
"34","2014/04/01 20:13",0
"35","2014/04/01 20:18",0
"36","2014/04/01 20:23",2
"37","2014/04/01 20:28",0
"38","2014/04/01 20:33",0
"39","2014/04/01 20:38",0
"40","2014/04/01 20:43",0
"41","2014/04/01 20:48",1
"42","2014/04/01 20:53",0
"43","2014/04/01 20:58",0
"44","2014/04/01 21:03",0
"45","2014/04/01 21:08",0
"46","2014/04/01 21:13",0
"47","2014/04/01 21:18",0
"48","2014/04/01 21:23",0
"49","2014/04/01 21:28",0
"50","2014/04/01 21:33",2367
"51","2014/04/01 21:38",1938
"52","2014/04/01 21:43",2583
"53","2014/04/01 21:48",2339
"54","2014/04/01 21:53",2663
"55","2014/04/01 21:58",2102
"56","2014/04/01 22:03",2562
"57","2014/04/01 22:08",1916
"58","2014/04/01 22:13",2284
"59","2014/04/01 22:18",2638
"60","2014/04/01 22:23",1540
"61","2014/04/01 22:28",2077
"62","2014/04/01 22:33",2149
"63","2014/04/01 22:38",2083
"64","2014/04/01 22:43",2031
"65","2014/04/01 22:48",3580
"66","2014/04/01 22:53",2595
"67","2014/04/01 22:58",2524
"68","2014/04/01 23:03",5449
"69","2014/04/01 23:08",7598
"70","2014/04/01 23:13",5410
"71","2014/04/01 23:18",2924
"72","2014/04/01 23:23",3808
"73","2014/04/01 23:28",2973
"74","2014/04/01 23:33",3967
"75","2014/04/01 23:38",2540
"76","2014/04/01 23:43",2857
"77","2014/04/01 23:48",1571
"78","2014/04/01 23:53",1699
"79","2014/04/01 23:58",1884
"80","2014/04/02 00:03",1461
"81","2014/04/02 00:08",1709
"82","2014/04/02 00:13",2478
"83","2014/04/02 00:18",1737
"84","2014/04/02 00:23",2305
"85","2014/04/02 00:28",2256
"86","2014/04/02 00:33",3986
"87","2014/04/02 00:38",2519
"88","2014/04/02 00:43",2630
"89","2014/04/02 00:48",2611
"90","2014/04/02 00:53",3042
"91","2014/04/02 00:58",1974
"92","2014/04/02 01:03",2903
"93","2014/04/02 01:08",2905
"94","2014/04/02 01:13",3404
"95","2014/04/02 01:18",3665
"96","2014/04/02 01:23",3920
