LDEV_TransRate_X490-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:01:DB X"
"1","2014/04/01 17:28",35
"2","2014/04/01 17:33",64
"3","2014/04/01 17:38",45
"4","2014/04/01 17:43",246
"5","2014/04/01 17:48",69
"6","2014/04/01 17:53",103
"7","2014/04/01 17:58",32
"8","2014/04/01 18:03",82
"9","2014/04/01 18:08",55
"10","2014/04/01 18:13",29
"11","2014/04/01 18:18",58
"12","2014/04/01 18:23",50
"13","2014/04/01 18:28",25
"14","2014/04/01 18:33",70
"15","2014/04/01 18:38",38
"16","2014/04/01 18:43",187
"17","2014/04/01 18:48",57
"18","2014/04/01 18:53",53
"19","2014/04/01 18:58",37
"20","2014/04/01 19:03",84
"21","2014/04/01 19:08",54
"22","2014/04/01 19:13",29
"23","2014/04/01 19:18",82
"24","2014/04/01 19:23",67
"25","2014/04/01 19:28",25
"26","2014/04/01 19:33",107
"27","2014/04/01 19:38",44
"28","2014/04/01 19:43",33
"29","2014/04/01 19:48",91
"30","2014/04/01 19:53",75
"31","2014/04/01 19:58",42
"32","2014/04/01 20:03",87
"33","2014/04/01 20:08",50
"34","2014/04/01 20:13",28
"35","2014/04/01 20:18",103
"36","2014/04/01 20:23",49
"37","2014/04/01 20:28",34
"38","2014/04/01 20:33",81
"39","2014/04/01 20:38",40
"40","2014/04/01 20:43",31
"41","2014/04/01 20:48",49
"42","2014/04/01 20:53",64
"43","2014/04/01 20:58",40
"44","2014/04/01 21:03",81
"45","2014/04/01 21:08",57
"46","2014/04/01 21:13",33
"47","2014/04/01 21:18",60
"48","2014/04/01 21:23",65
"49","2014/04/01 21:28",25
"50","2014/04/01 21:33",89
"51","2014/04/01 21:38",37
"52","2014/04/01 21:43",262
"53","2014/04/01 21:48",57
"54","2014/04/01 21:53",96
"55","2014/04/01 21:58",43
"56","2014/04/01 22:03",348
"57","2014/04/01 22:08",1099
"58","2014/04/01 22:13",1021
"59","2014/04/01 22:18",428
"60","2014/04/01 22:23",441
"61","2014/04/01 22:28",840
"62","2014/04/01 22:33",1102
"63","2014/04/01 22:38",943
"64","2014/04/01 22:43",942
"65","2014/04/01 22:48",1095
"66","2014/04/01 22:53",1299
"67","2014/04/01 22:58",1203
"68","2014/04/01 23:03",1741
"69","2014/04/01 23:08",1561
"70","2014/04/01 23:13",1158
"71","2014/04/01 23:18",1256
"72","2014/04/01 23:23",1237
"73","2014/04/01 23:28",1288
"74","2014/04/01 23:33",900
"75","2014/04/01 23:38",1085
"76","2014/04/01 23:43",867
"77","2014/04/01 23:48",893
"78","2014/04/01 23:53",900
"79","2014/04/01 23:58",787
"80","2014/04/02 00:03",700
"81","2014/04/02 00:08",466
"82","2014/04/02 00:13",428
"83","2014/04/02 00:18",413
"84","2014/04/02 00:23",551
"85","2014/04/02 00:28",393
"86","2014/04/02 00:33",368
"87","2014/04/02 00:38",240
"88","2014/04/02 00:43",147
"89","2014/04/02 00:48",272
"90","2014/04/02 00:53",334
"91","2014/04/02 00:58",358
"92","2014/04/02 01:03",369
"93","2014/04/02 01:08",322
"94","2014/04/02 01:13",697
"95","2014/04/02 01:18",737
"96","2014/04/02 01:23",727
