LDEV_TransRate_X120-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:5C:DA X"
"1","2014/04/01 17:28",38
"2","2014/04/01 17:33",40
"3","2014/04/01 17:38",42
"4","2014/04/01 17:43",37
"5","2014/04/01 17:48",42
"6","2014/04/01 17:53",43
"7","2014/04/01 17:58",46
"8","2014/04/01 18:03",53
"9","2014/04/01 18:08",41
"10","2014/04/01 18:13",41
"11","2014/04/01 18:18",90
"12","2014/04/01 18:23",42
"13","2014/04/01 18:28",39
"14","2014/04/01 18:33",38
"15","2014/04/01 18:38",40
"16","2014/04/01 18:43",38
"17","2014/04/01 18:48",44
"18","2014/04/01 18:53",39
"19","2014/04/01 18:58",41
"20","2014/04/01 19:03",52
"21","2014/04/01 19:08",39
"22","2014/04/01 19:13",37
"23","2014/04/01 19:18",45
"24","2014/04/01 19:23",38
"25","2014/04/01 19:28",38
"26","2014/04/01 19:33",42
"27","2014/04/01 19:38",36
"28","2014/04/01 19:43",41
"29","2014/04/01 19:48",43
"30","2014/04/01 19:53",40
"31","2014/04/01 19:58",44
"32","2014/04/01 20:03",51
"33","2014/04/01 20:08",40
"34","2014/04/01 20:13",43
"35","2014/04/01 20:18",39
"36","2014/04/01 20:23",38
"37","2014/04/01 20:28",39
"38","2014/04/01 20:33",41
"39","2014/04/01 20:38",42
"40","2014/04/01 20:43",41
"41","2014/04/01 20:48",39
"42","2014/04/01 20:53",43
"43","2014/04/01 20:58",40
"44","2014/04/01 21:03",49
"45","2014/04/01 21:08",39
"46","2014/04/01 21:13",39
"47","2014/04/01 21:18",42
"48","2014/04/01 21:23",40
"49","2014/04/01 21:28",39
"50","2014/04/01 21:33",42
"51","2014/04/01 21:38",39
"52","2014/04/01 21:43",1057
"53","2014/04/01 21:48",3240
"54","2014/04/01 21:53",41
"55","2014/04/01 21:58",38
"56","2014/04/01 22:03",52
"57","2014/04/01 22:08",40
"58","2014/04/01 22:13",38
"59","2014/04/01 22:18",39
"60","2014/04/01 22:23",39
"61","2014/04/01 22:28",38
"62","2014/04/01 22:33",41
"63","2014/04/01 22:38",37
"64","2014/04/01 22:43",38
"65","2014/04/01 22:48",41
"66","2014/04/01 22:53",38
"67","2014/04/01 22:58",83
"68","2014/04/01 23:03",72
"69","2014/04/01 23:08",52
"70","2014/04/01 23:13",120
"71","2014/04/01 23:18",44
"72","2014/04/01 23:23",47
"73","2014/04/01 23:28",40
"74","2014/04/01 23:33",39
"75","2014/04/01 23:38",43
"76","2014/04/01 23:43",40
"77","2014/04/01 23:48",41
"78","2014/04/01 23:53",40
"79","2014/04/01 23:58",42
"80","2014/04/02 00:03",52
"81","2014/04/02 00:08",40
"82","2014/04/02 00:13",39
"83","2014/04/02 00:18",39
"84","2014/04/02 00:23",38
"85","2014/04/02 00:28",39
"86","2014/04/02 00:33",40
"87","2014/04/02 00:38",38
"88","2014/04/02 00:43",37
"89","2014/04/02 00:48",39
"90","2014/04/02 00:53",40
"91","2014/04/02 00:58",37
"92","2014/04/02 01:03",49
"93","2014/04/02 01:08",39
"94","2014/04/02 01:13",36
"95","2014/04/02 01:18",38
"96","2014/04/02 01:23",40
