LDEV_TransRate_X653-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:C8:74 X"
"1","2014/04/01 17:28",376
"2","2014/04/01 17:33",159
"3","2014/04/01 17:38",127
"4","2014/04/01 17:43",169
"5","2014/04/01 17:48",95
"6","2014/04/01 17:53",166
"7","2014/04/01 17:58",107
"8","2014/04/01 18:03",186
"9","2014/04/01 18:08",116
"10","2014/04/01 18:13",154
"11","2014/04/01 18:18",153
"12","2014/04/01 18:23",247
"13","2014/04/01 18:28",294
"14","2014/04/01 18:33",248
"15","2014/04/01 18:38",267
"16","2014/04/01 18:43",185
"17","2014/04/01 18:48",166
"18","2014/04/01 18:53",219
"19","2014/04/01 18:58",169
"20","2014/04/01 19:03",260
"21","2014/04/01 19:08",261
"22","2014/04/01 19:13",356
"23","2014/04/01 19:18",174
"24","2014/04/01 19:23",231
"25","2014/04/01 19:28",260
"26","2014/04/01 19:33",250
"27","2014/04/01 19:38",292
"28","2014/04/01 19:43",2981
"29","2014/04/01 19:48",1546
"30","2014/04/01 19:53",1356
"31","2014/04/01 19:58",666
"32","2014/04/01 20:03",589
"33","2014/04/01 20:08",425
"34","2014/04/01 20:13",371
"35","2014/04/01 20:18",312
"36","2014/04/01 20:23",339
"37","2014/04/01 20:28",449
"38","2014/04/01 20:33",405
"39","2014/04/01 20:38",285
"40","2014/04/01 20:43",341
"41","2014/04/01 20:48",271
"42","2014/04/01 20:53",269
"43","2014/04/01 20:58",461
"44","2014/04/01 21:03",522
"45","2014/04/01 21:08",494
"46","2014/04/01 21:13",535
"47","2014/04/01 21:18",686
"48","2014/04/01 21:23",763
"49","2014/04/01 21:28",709
"50","2014/04/01 21:33",485
"51","2014/04/01 21:38",294
"52","2014/04/01 21:43",342
"53","2014/04/01 21:48",301
"54","2014/04/01 21:53",408
"55","2014/04/01 21:58",767
"56","2014/04/01 22:03",622
"57","2014/04/01 22:08",836
"58","2014/04/01 22:13",522
"59","2014/04/01 22:18",475
"60","2014/04/01 22:23",424
"61","2014/04/01 22:28",505
"62","2014/04/01 22:33",578
"63","2014/04/01 22:38",559
"64","2014/04/01 22:43",463
"65","2014/04/01 22:48",449
"66","2014/04/01 22:53",425
"67","2014/04/01 22:58",463
"68","2014/04/01 23:03",603
"69","2014/04/01 23:08",635
"70","2014/04/01 23:13",554
"71","2014/04/01 23:18",880
"72","2014/04/01 23:23",648
"73","2014/04/01 23:28",497
"74","2014/04/01 23:33",557
"75","2014/04/01 23:38",431
"76","2014/04/01 23:43",573
"77","2014/04/01 23:48",544
"78","2014/04/01 23:53",538
"79","2014/04/01 23:58",571
"80","2014/04/02 00:03",621
"81","2014/04/02 00:08",569
"82","2014/04/02 00:13",568
"83","2014/04/02 00:18",517
"84","2014/04/02 00:23",555
"85","2014/04/02 00:28",552
"86","2014/04/02 00:33",674
"87","2014/04/02 00:38",557
"88","2014/04/02 00:43",576
"89","2014/04/02 00:48",512
"90","2014/04/02 00:53",543
"91","2014/04/02 00:58",478
"92","2014/04/02 01:03",500
"93","2014/04/02 01:08",473
"94","2014/04/02 01:13",604
"95","2014/04/02 01:18",599
"96","2014/04/02 01:23",404
