LDEV_TransRate_1-14.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:01:0B","00:01:0C","00:01:0D","00:01:0E","00:01:0F","00:01:10","00:01:11","00:01:12","00:01:13","00:01:14","00:01:15","00:20:1A","00:20:1B","00:AB:0C"
"1","2014/04/01 17:28",0,45,0,0,54,5,0,0,0,34,0,19,1,0
"2","2014/04/01 17:33",0,42,0,0,13,5,0,0,0,51,0,24,0,0
"3","2014/04/01 17:38",0,65,0,0,6,2,0,0,0,66,0,21,1,0
"4","2014/04/01 17:43",0,34,0,0,2,2,0,0,0,23,0,26,1,0
"5","2014/04/01 17:48",0,68,0,0,3,7,0,0,0,75,0,20,0,0
"6","2014/04/01 17:53",0,17,0,0,4,2,0,0,0,22,0,23,1,0
"7","2014/04/01 17:58",0,67,0,0,0,3,0,0,0,68,0,23,1,0
"8","2014/04/01 18:03",0,36,0,0,2,3,0,0,0,34,0,18,1,0
"9","2014/04/01 18:08",0,67,0,0,1,5,0,0,0,51,0,12,1,0
"10","2014/04/01 18:13",0,34,0,0,2,3,0,0,0,51,0,18,1,0
"11","2014/04/01 18:18",0,50,0,0,1,9,0,6,0,51,0,24,1,0
"12","2014/04/01 18:23",0,58,0,0,2,6,0,0,0,51,0,24,0,0
"13","2014/04/01 18:28",0,30,0,0,0,2,0,0,0,22,0,24,1,0
"14","2014/04/01 18:33",0,72,0,0,2,4,0,0,0,12,0,18,0,0
"15","2014/04/01 18:38",0,26,0,0,0,5,0,0,0,0,0,17,1,0
"16","2014/04/01 18:43",0,67,0,0,2,3,0,0,0,0,0,26,1,0
"17","2014/04/01 18:48",0,34,0,0,0,2,0,0,0,0,0,22,1,0
"18","2014/04/01 18:53",0,51,0,0,4,4,0,0,0,1,0,22,1,0
"19","2014/04/01 18:58",0,50,0,0,0,6,0,0,0,5,0,18,0,0
"20","2014/04/01 19:03",0,51,0,0,2,3,0,0,0,11,0,22,1,0
"21","2014/04/01 19:08",0,50,0,0,0,3,0,0,0,0,0,18,1,0
"22","2014/04/01 19:13",0,33,0,0,2,4,0,0,0,0,0,25,1,0
"23","2014/04/01 19:18",20,79,4,6,8,10,0,2,1,1,0,22,1,0
"24","2014/04/01 19:23",25,37,5,6,10,4,1,1,1,1,0,21,0,0
"25","2014/04/01 19:28",3,69,0,1,12,12,1,3,0,15,0,23,1,0
"26","2014/04/01 19:33",1,34,0,0,3,4,0,0,0,2,0,16,0,0
"27","2014/04/01 19:38",9,55,0,1,156,3,141,50,18,0,78,21,1,0
"28","2014/04/01 19:43",0,47,0,0,10,5,6,3,0,0,3,24,1,0
"29","2014/04/01 19:48",0,50,0,0,0,2,0,0,0,0,0,22,0,0
"30","2014/04/01 19:53",0,50,0,0,1,3,0,0,0,20,0,23,1,0
"31","2014/04/01 19:58",0,33,0,0,0,3,0,0,0,7,0,13,0,0
"32","2014/04/01 20:03",3,75,0,0,2,5,0,0,0,6,0,16,0,0
"33","2014/04/01 20:08",0,26,0,0,0,1,0,0,0,0,0,12,1,0
"34","2014/04/01 20:13",0,68,0,0,17,9,0,1,0,0,0,14,1,0
"35","2014/04/01 20:18",0,33,0,0,23,1,0,0,0,0,0,16,1,0
"36","2014/04/01 20:23",0,54,0,0,63,3,0,0,0,8,0,24,1,0
"37","2014/04/01 20:28",0,47,0,0,38,6,0,0,0,4,0,23,1,0
"38","2014/04/01 20:33",0,50,0,0,60,2,0,0,0,4,0,23,0,0
"39","2014/04/01 20:38",0,50,0,0,53,7,0,0,0,0,0,24,1,0
"40","2014/04/01 20:43",0,34,0,0,44,8,0,1,0,0,0,29,2,0
"41","2014/04/01 20:48",0,68,0,0,73,5,0,3,0,13,0,22,0,0
"42","2014/04/01 20:53",0,31,0,0,19,1,0,1,0,20,0,15,0,0
"43","2014/04/01 20:58",0,72,0,0,30,5,0,0,0,68,0,15,0,0
"44","2014/04/01 21:03",0,25,0,0,0,3,0,0,0,34,0,24,1,0
"45","2014/04/01 21:08",0,60,0,0,0,2,0,0,0,55,0,25,1,0
"46","2014/04/01 21:13",0,35,0,0,0,3,0,0,0,46,0,19,1,0
"47","2014/04/01 21:18",0,57,0,0,19,2,0,0,0,51,0,24,1,0
"48","2014/04/01 21:23",0,45,0,0,42,5,0,0,0,50,0,22,0,0
"49","2014/04/01 21:28",0,48,0,0,13,1,0,0,0,34,0,23,0,0
"50","2014/04/01 21:33",0,67,0,0,0,8,0,0,0,68,0,17,1,0
"51","2014/04/01 21:38",0,17,0,0,0,1,0,0,0,30,0,11,1,0
"52","2014/04/01 21:43",11,79,0,0,41,6,21,7,0,268,0,12,0,0
"53","2014/04/01 21:48",0,78,0,0,10,8,2,2,0,212,0,16,1,0
"54","2014/04/01 21:53",0,44,0,0,6,4,1,0,0,103,0,19,1,0
