LDEV_TransRate_X695-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:C8:29 X"
"1","2014/04/01 17:28",362
"2","2014/04/01 17:33",196
"3","2014/04/01 17:38",120
"4","2014/04/01 17:43",161
"5","2014/04/01 17:48",93
"6","2014/04/01 17:53",191
"7","2014/04/01 17:58",92
"8","2014/04/01 18:03",185
"9","2014/04/01 18:08",98
"10","2014/04/01 18:13",158
"11","2014/04/01 18:18",138
"12","2014/04/01 18:23",271
"13","2014/04/01 18:28",326
"14","2014/04/01 18:33",305
"15","2014/04/01 18:38",373
"16","2014/04/01 18:43",195
"17","2014/04/01 18:48",138
"18","2014/04/01 18:53",180
"19","2014/04/01 18:58",103
"20","2014/04/01 19:03",207
"21","2014/04/01 19:08",202
"22","2014/04/01 19:13",419
"23","2014/04/01 19:18",133
"24","2014/04/01 19:23",218
"25","2014/04/01 19:28",284
"26","2014/04/01 19:33",252
"27","2014/04/01 19:38",285
"28","2014/04/01 19:43",2980
"29","2014/04/01 19:48",1619
"30","2014/04/01 19:53",1306
"31","2014/04/01 19:58",875
"32","2014/04/01 20:03",645
"33","2014/04/01 20:08",514
"34","2014/04/01 20:13",498
"35","2014/04/01 20:18",336
"36","2014/04/01 20:23",330
"37","2014/04/01 20:28",380
"38","2014/04/01 20:33",436
"39","2014/04/01 20:38",284
"40","2014/04/01 20:43",328
"41","2014/04/01 20:48",303
"42","2014/04/01 20:53",266
"43","2014/04/01 20:58",528
"44","2014/04/01 21:03",535
"45","2014/04/01 21:08",504
"46","2014/04/01 21:13",563
"47","2014/04/01 21:18",764
"48","2014/04/01 21:23",966
"49","2014/04/01 21:28",713
"50","2014/04/01 21:33",501
"51","2014/04/01 21:38",303
"52","2014/04/01 21:43",377
"53","2014/04/01 21:48",309
"54","2014/04/01 21:53",404
"55","2014/04/01 21:58",748
"56","2014/04/01 22:03",599
"57","2014/04/01 22:08",936
"58","2014/04/01 22:13",494
"59","2014/04/01 22:18",486
"60","2014/04/01 22:23",487
"61","2014/04/01 22:28",507
"62","2014/04/01 22:33",582
"63","2014/04/01 22:38",525
"64","2014/04/01 22:43",416
"65","2014/04/01 22:48",441
"66","2014/04/01 22:53",425
"67","2014/04/01 22:58",489
"68","2014/04/01 23:03",613
"69","2014/04/01 23:08",644
"70","2014/04/01 23:13",522
"71","2014/04/01 23:18",868
"72","2014/04/01 23:23",687
"73","2014/04/01 23:28",546
"74","2014/04/01 23:33",526
"75","2014/04/01 23:38",455
"76","2014/04/01 23:43",566
"77","2014/04/01 23:48",558
"78","2014/04/01 23:53",565
"79","2014/04/01 23:58",661
"80","2014/04/02 00:03",615
"81","2014/04/02 00:08",573
"82","2014/04/02 00:13",615
"83","2014/04/02 00:18",575
"84","2014/04/02 00:23",646
"85","2014/04/02 00:28",550
"86","2014/04/02 00:33",712
"87","2014/04/02 00:38",531
"88","2014/04/02 00:43",569
"89","2014/04/02 00:48",503
"90","2014/04/02 00:53",513
"91","2014/04/02 00:58",462
"92","2014/04/02 01:03",473
"93","2014/04/02 01:08",571
"94","2014/04/02 01:13",674
"95","2014/04/02 01:18",618
"96","2014/04/02 01:23",404
