LDEV_TransRate_X502-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:01:ED X"
"1","2014/04/01 17:28",51
"2","2014/04/01 17:33",90
"3","2014/04/01 17:38",45
"4","2014/04/01 17:43",277
"5","2014/04/01 17:48",78
"6","2014/04/01 17:53",96
"7","2014/04/01 17:58",45
"8","2014/04/01 18:03",88
"9","2014/04/01 18:08",66
"10","2014/04/01 18:13",64
"11","2014/04/01 18:18",53
"12","2014/04/01 18:23",79
"13","2014/04/01 18:28",44
"14","2014/04/01 18:33",70
"15","2014/04/01 18:38",41
"16","2014/04/01 18:43",84
"17","2014/04/01 18:48",57
"18","2014/04/01 18:53",81
"19","2014/04/01 18:58",122
"20","2014/04/01 19:03",91
"21","2014/04/01 19:08",59
"22","2014/04/01 19:13",64
"23","2014/04/01 19:18",53
"24","2014/04/01 19:23",83
"25","2014/04/01 19:28",44
"26","2014/04/01 19:33",128
"27","2014/04/01 19:38",54
"28","2014/04/01 19:43",79
"29","2014/04/01 19:48",76
"30","2014/04/01 19:53",99
"31","2014/04/01 19:58",53
"32","2014/04/01 20:03",96
"33","2014/04/01 20:08",65
"34","2014/04/01 20:13",61
"35","2014/04/01 20:18",100
"36","2014/04/01 20:23",94
"37","2014/04/01 20:28",52
"38","2014/04/01 20:33",89
"39","2014/04/01 20:38",47
"40","2014/04/01 20:43",61
"41","2014/04/01 20:48",67
"42","2014/04/01 20:53",98
"43","2014/04/01 20:58",53
"44","2014/04/01 21:03",82
"45","2014/04/01 21:08",65
"46","2014/04/01 21:13",67
"47","2014/04/01 21:18",59
"48","2014/04/01 21:23",90
"49","2014/04/01 21:28",44
"50","2014/04/01 21:33",107
"51","2014/04/01 21:38",49
"52","2014/04/01 21:43",276
"53","2014/04/01 21:48",45
"54","2014/04/01 21:53",104
"55","2014/04/01 21:58",55
"56","2014/04/01 22:03",418
"57","2014/04/01 22:08",1200
"58","2014/04/01 22:13",1140
"59","2014/04/01 22:18",456
"60","2014/04/01 22:23",508
"61","2014/04/01 22:28",878
"62","2014/04/01 22:33",1121
"63","2014/04/01 22:38",972
"64","2014/04/01 22:43",849
"65","2014/04/01 22:48",1115
"66","2014/04/01 22:53",1305
"67","2014/04/01 22:58",1357
"68","2014/04/01 23:03",1793
"69","2014/04/01 23:08",1466
"70","2014/04/01 23:13",1187
"71","2014/04/01 23:18",1111
"72","2014/04/01 23:23",1211
"73","2014/04/01 23:28",1270
"74","2014/04/01 23:33",1035
"75","2014/04/01 23:38",1072
"76","2014/04/01 23:43",886
"77","2014/04/01 23:48",920
"78","2014/04/01 23:53",972
"79","2014/04/01 23:58",790
"80","2014/04/02 00:03",714
"81","2014/04/02 00:08",460
"82","2014/04/02 00:13",472
"83","2014/04/02 00:18",435
"84","2014/04/02 00:23",570
"85","2014/04/02 00:28",421
"86","2014/04/02 00:33",384
"87","2014/04/02 00:38",279
"88","2014/04/02 00:43",164
"89","2014/04/02 00:48",250
"90","2014/04/02 00:53",360
"91","2014/04/02 00:58",397
"92","2014/04/02 01:03",373
"93","2014/04/02 01:08",321
"94","2014/04/02 01:13",776
"95","2014/04/02 01:18",747
"96","2014/04/02 01:23",812
