LDEV_TransRate_11-2.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:FA:09","00:FA:0A","00:FA:0B","00:FA:0C","00:FA:12","00:FA:13","00:FA:14","00:FA:15","00:FA:16","00:FA:17","00:FA:18","00:FA:19","00:FA:1A","00:FA:1F","00:FA:20","00:FA:21","00:FA:22","00:FA:23"
"1","2014/04/01 17:28",0,0,0,0,0,0,0,0,0,0,1020,0,1009,0,0,0,0,0
"2","2014/04/01 17:33",0,0,0,0,0,0,0,0,0,0,174,0,157,0,0,0,0,0
"3","2014/04/01 17:38",0,0,0,0,0,0,0,0,0,0,1053,0,1167,0,0,0,0,0
"4","2014/04/01 17:43",0,0,0,0,0,0,0,0,0,0,824,0,959,0,0,0,0,0
"5","2014/04/01 17:48",0,0,0,0,0,0,0,0,0,0,151,0,156,0,0,0,0,0
"6","2014/04/01 17:53",0,0,0,0,0,0,0,0,0,0,1059,0,1148,0,0,0,0,0
"7","2014/04/01 17:58",0,0,0,0,0,0,0,0,0,0,853,0,851,0,0,0,0,0
"8","2014/04/01 18:03",0,0,0,0,0,0,0,0,0,0,158,0,149,0,0,0,0,0
"9","2014/04/01 18:08",0,0,0,0,0,0,0,0,0,0,1154,0,1143,0,0,0,0,0
"10","2014/04/01 18:13",0,0,0,0,0,0,0,0,0,0,924,0,905,0,0,0,0,0
"11","2014/04/01 18:18",0,0,0,0,0,0,0,0,0,0,159,0,144,0,0,0,0,0
"12","2014/04/01 18:23",0,0,0,0,0,0,0,0,0,0,1046,0,1025,0,0,0,0,0
"13","2014/04/01 18:28",0,0,0,0,0,0,0,0,0,0,882,0,875,0,0,0,0,0
"14","2014/04/01 18:33",0,0,0,0,0,0,0,0,0,0,112,0,97,0,0,0,0,0
"15","2014/04/01 18:38",0,0,0,0,0,0,0,0,0,0,969,0,983,0,0,0,0,0
"16","2014/04/01 18:43",0,0,0,0,0,0,0,0,0,0,847,0,822,0,0,0,0,0
"17","2014/04/01 18:48",0,0,0,0,0,0,0,0,0,0,151,0,136,0,0,0,0,0
"18","2014/04/01 18:53",0,0,0,0,0,0,0,0,0,0,1524,0,1525,0,0,0,0,0
"19","2014/04/01 18:58",0,0,0,0,0,0,0,0,0,0,1315,0,1303,0,0,0,0,0
"20","2014/04/01 19:03",0,0,0,0,0,0,0,0,0,0,153,0,138,0,0,0,0,0
"21","2014/04/01 19:08",0,0,0,0,0,0,0,0,0,0,1233,0,1218,0,0,0,0,0
"22","2014/04/01 19:13",0,0,0,0,0,0,0,0,0,0,1181,0,1132,0,0,0,0,0
"23","2014/04/01 19:18",0,0,0,0,0,0,0,0,0,0,372,0,352,0,0,0,0,0
"24","2014/04/01 19:23",0,0,0,0,0,0,0,0,0,0,1264,0,1224,0,0,0,0,0
