LDEV_TransRate_1-2.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:00:1B","00:00:1C","00:00:1D","00:00:1E","00:00:1F","00:00:21","00:00:22","00:00:23","00:00:24","00:00:25","00:00:26","00:00:27","00:5C:CC","00:5C:CD","00:5C:CE","00:5C:E7","00:5C:E8","00:FE:00"
"33","2014/04/01 20:08",0,0,0,0,0,0,0,0,0,0,0,0,4,5,18,50,0,0
"34","2014/04/01 20:13",0,0,0,0,0,0,0,0,0,0,0,0,4,5,20,530,0,0
"35","2014/04/01 20:18",0,0,0,0,0,0,0,0,0,0,0,0,4,5,18,40,0,0
"36","2014/04/01 20:23",0,0,0,0,0,0,0,0,0,0,0,0,4,5,20,85,0,0
"37","2014/04/01 20:28",0,0,0,0,0,0,0,0,0,0,0,0,4,5,18,45,0,0
"38","2014/04/01 20:33",0,0,0,0,0,0,0,0,0,0,0,0,3,5,18,63,0,0
"39","2014/04/01 20:38",0,0,0,0,0,0,0,0,0,0,0,0,4,5,20,74,5,0
"40","2014/04/01 20:43",0,0,0,0,0,0,0,0,0,0,0,0,4,5,18,61,0,0
"41","2014/04/01 20:48",0,0,0,0,0,0,0,0,0,0,0,0,4,5,20,78,0,0
"42","2014/04/01 20:53",0,0,0,0,0,0,0,0,0,0,0,0,4,5,18,5,0,0
"43","2014/04/01 20:58",0,0,0,0,0,0,0,0,0,0,0,0,4,5,19,68,0,0
"44","2014/04/01 21:03",0,0,0,0,0,0,0,0,0,0,0,0,4,5,19,40,0,0
"45","2014/04/01 21:08",0,0,0,0,0,0,0,0,0,0,0,0,4,5,19,87,0,0
"46","2014/04/01 21:13",0,0,0,0,0,0,0,0,0,0,0,0,4,5,18,47,0,0
"47","2014/04/01 21:18",0,0,0,0,0,0,0,0,0,0,0,0,4,5,18,48,0,0
"48","2014/04/01 21:23",0,0,0,0,0,0,0,0,0,0,0,0,4,5,20,24,0,0
"49","2014/04/01 21:28",0,0,0,0,0,0,0,0,0,0,0,0,4,5,18,48,0,0
"50","2014/04/01 21:33",0,0,0,0,0,0,0,0,0,0,0,0,4,5,20,95,0,0
"51","2014/04/01 21:38",0,0,0,0,0,0,0,0,0,0,0,0,4,5,18,30,0,0
"52","2014/04/01 21:43",0,0,0,0,0,0,0,0,0,0,0,0,4,5,19,2445,0,0
"53","2014/04/01 21:48",0,0,0,0,0,0,0,0,0,0,0,0,4,5,19,2329,148,0
"54","2014/04/01 21:53",0,0,0,0,0,0,0,0,0,0,0,0,4,5,18,1081,114,0
"55","2014/04/01 21:58",0,0,0,0,0,0,0,0,0,0,0,0,4,5,20,1121,85,0
"56","2014/04/01 22:03",0,0,0,0,0,0,0,0,0,0,0,0,4,5,18,944,48,0
"57","2014/04/01 22:08",0,0,0,0,0,0,0,0,0,0,0,0,4,5,20,231,0,0
"58","2014/04/01 22:13",0,0,0,0,0,0,0,0,0,0,0,0,4,5,18,944,0,0
"59","2014/04/01 22:18",0,0,0,0,0,0,0,0,0,0,0,0,4,5,20,1269,0,0
"60","2014/04/01 22:23",0,0,0,0,0,0,0,0,0,0,0,0,4,5,18,1069,0,0
"61","2014/04/01 22:28",0,0,0,0,0,0,0,0,0,0,0,0,4,5,18,1423,0,0
"62","2014/04/01 22:33",0,0,0,0,0,0,0,0,0,0,0,0,4,5,19,1041,17,0
"63","2014/04/01 22:38",0,0,0,0,0,0,0,0,0,0,0,0,4,5,18,1486,0,0
"64","2014/04/01 22:43",0,0,0,0,0,0,0,0,0,0,0,0,18,28,90,1923,48,0
"65","2014/04/01 22:48",0,0,0,0,0,0,0,0,0,0,0,0,4,5,18,1031,0,0
"66","2014/04/01 22:53",0,0,0,0,0,0,0,0,0,0,0,0,4,5,20,608,0,0
"67","2014/04/01 22:58",0,0,0,0,0,0,0,0,0,0,0,0,4,5,18,375,0,0
"68","2014/04/01 23:03",0,0,0,0,0,0,0,0,0,0,0,0,3,5,20,336,0,0
"69","2014/04/01 23:08",0,0,0,0,0,0,0,0,0,0,0,0,4,5,21,466,0,0
"70","2014/04/01 23:13",0,0,0,0,0,0,0,0,0,0,0,0,4,5,20,198,0,0
"71","2014/04/01 23:18",0,0,0,0,0,0,0,0,0,0,0,0,4,5,20,318,0,0
"72","2014/04/01 23:23",0,0,0,0,0,0,0,0,0,0,0,0,4,6,18,504,0,0
"73","2014/04/01 23:28",0,0,0,0,0,0,0,0,0,0,0,0,4,7,20,429,0,0
"74","2014/04/01 23:33",0,0,0,0,0,0,0,0,0,0,0,0,4,5,18,445,0,0
"75","2014/04/01 23:38",0,0,0,0,0,0,0,0,0,0,0,0,4,5,20,478,0,0
"76","2014/04/01 23:43",0,0,0,0,0,0,0,0,0,0,0,0,4,5,19,389,0,0
"77","2014/04/01 23:48",0,0,0,0,0,0,0,0,0,0,0,0,4,5,18,276,0,0
"78","2014/04/01 23:53",0,0,0,0,0,0,0,0,0,0,0,0,4,5,20,433,0,0
"79","2014/04/01 23:58",0,0,0,0,0,0,0,0,0,0,0,0,4,5,18,309,0,0
"80","2014/04/02 00:03",0,0,0,0,0,0,0,0,0,0,0,0,4,5,20,272,0,0
"81","2014/04/02 00:08",0,0,0,0,0,0,0,0,0,0,0,0,4,5,18,241,0,0
"82","2014/04/02 00:13",0,0,0,0,0,0,0,0,0,0,0,0,4,5,20,363,0,0
"83","2014/04/02 00:18",0,0,0,0,0,0,0,0,0,0,0,0,4,5,18,119,0,0
"84","2014/04/02 00:23",0,0,0,0,0,0,0,0,0,0,0,0,4,5,20,481,0,0
"85","2014/04/02 00:28",0,0,0,0,0,0,0,0,0,0,0,0,3,5,18,254,0,0
"86","2014/04/02 00:33",0,0,0,0,0,0,0,0,0,0,0,0,4,5,18,173,0,0
"87","2014/04/02 00:38",0,0,0,0,0,0,0,0,0,0,0,0,4,5,20,289,0,0
"88","2014/04/02 00:43",0,0,0,0,0,0,0,0,0,0,0,0,4,5,18,527,0,0
"89","2014/04/02 00:48",0,0,0,0,0,0,0,0,0,0,0,0,4,5,20,291,0,0
"90","2014/04/02 00:53",0,0,0,0,0,0,0,0,0,0,0,0,4,5,18,628,0,0
"91","2014/04/02 00:58",0,0,0,0,0,0,0,0,0,0,0,0,4,5,20,580,0,0
"92","2014/04/02 01:03",0,0,0,0,0,0,0,0,0,0,0,0,4,5,18,550,0,0
"93","2014/04/02 01:08",0,0,0,0,0,0,0,0,0,0,0,0,4,5,19,495,0,0
"94","2014/04/02 01:13",0,0,0,0,0,0,0,0,0,0,0,0,4,5,18,494,0,0
"95","2014/04/02 01:18",0,0,0,0,0,0,0,0,0,0,0,0,4,5,18,560,0,0
"96","2014/04/02 01:23",0,0,0,0,0,0,0,0,0,0,0,0,4,5,20,227,1,0
