LDEV_TransRate_11-3.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:FA:24","00:FA:25","00:FA:26","00:FA:27","00:FA:28","00:FA:29","00:FA:2A","00:FA:2B","00:FA:2C","00:FA:2D","00:FA:2E","00:FA:35"
"68","2014/04/01 23:03",103,104,0,0,0,0,0,0,0,0,0,0
"69","2014/04/01 23:08",1092,1080,0,0,0,0,0,0,0,0,0,0
"70","2014/04/01 23:13",912,888,0,0,0,0,0,0,0,0,0,0
"71","2014/04/01 23:18",276,290,0,0,0,0,0,0,0,0,0,0
"72","2014/04/01 23:23",1565,1595,0,0,0,0,0,0,0,0,0,0
"73","2014/04/01 23:28",1350,1332,0,0,0,0,0,0,0,0,0,0
"74","2014/04/01 23:33",188,192,0,0,0,0,0,0,0,0,0,0
"75","2014/04/01 23:38",962,941,0,0,0,0,0,0,0,0,0,0
"76","2014/04/01 23:43",790,768,0,0,0,0,0,0,0,0,0,0
"77","2014/04/01 23:48",89,90,0,0,0,0,0,0,0,0,0,0
"78","2014/04/01 23:53",961,911,0,0,0,0,0,0,0,0,0,0
"79","2014/04/01 23:58",765,804,0,0,0,0,0,0,0,0,0,0
"80","2014/04/02 00:03",131,135,0,0,0,0,0,0,0,0,0,0
"81","2014/04/02 00:08",1008,968,0,0,0,0,0,0,0,0,0,0
"82","2014/04/02 00:13",789,851,0,0,0,0,0,0,0,0,0,0
"83","2014/04/02 00:18",94,92,0,0,0,0,0,0,0,0,0,0
"84","2014/04/02 00:23",994,996,0,0,0,0,0,0,0,0,0,0
"85","2014/04/02 00:28",821,795,0,0,0,0,0,0,0,0,0,0
"86","2014/04/02 00:33",94,93,0,0,0,0,0,0,0,0,0,0
"87","2014/04/02 00:38",944,960,0,0,0,0,0,0,0,0,0,0
"88","2014/04/02 00:43",832,819,0,0,0,0,0,0,0,0,0,0
"89","2014/04/02 00:48",88,87,0,0,0,0,0,0,0,0,0,0
"90","2014/04/02 00:53",970,974,0,0,0,0,0,0,0,0,0,0
"91","2014/04/02 00:58",733,762,0,0,0,0,0,0,0,0,0,0
"92","2014/04/02 01:03",149,149,0,0,0,0,0,0,0,0,0,0
"93","2014/04/02 01:08",1444,1427,0,0,0,0,0,0,0,0,0,0
"94","2014/04/02 01:13",1355,1315,0,0,0,0,0,0,0,0,0,0
"95","2014/04/02 01:18",194,197,0,0,0,0,0,0,0,0,0,0
"96","2014/04/02 01:23",1000,1003,0,0,0,0,0,0,0,0,0,0
