LDEV_TransRate_X72-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:2C:3B X"
"1","2014/04/01 17:28",954
"2","2014/04/01 17:33",2542
"3","2014/04/01 17:38",3266
"4","2014/04/01 17:43",3252
"5","2014/04/01 17:48",4593
"6","2014/04/01 17:53",7996
"7","2014/04/01 17:58",9730
"8","2014/04/01 18:03",5624
"9","2014/04/01 18:08",3135
"10","2014/04/01 18:13",3769
"11","2014/04/01 18:18",3628
"12","2014/04/01 18:23",3641
"13","2014/04/01 18:28",3410
"14","2014/04/01 18:33",3563
"15","2014/04/01 18:38",3721
"16","2014/04/01 18:43",4968
"17","2014/04/01 18:48",3707
"18","2014/04/01 18:53",3495
"19","2014/04/01 18:58",3893
"20","2014/04/01 19:03",3358
"21","2014/04/01 19:08",3068
"22","2014/04/01 19:13",3610
"23","2014/04/01 19:18",3387
"24","2014/04/01 19:23",3494
"25","2014/04/01 19:28",4649
"26","2014/04/01 19:33",3136
"27","2014/04/01 19:38",3264
"28","2014/04/01 19:43",1463
"29","2014/04/01 19:48",2236
"30","2014/04/01 19:53",2609
"31","2014/04/01 19:58",3211
"32","2014/04/01 20:03",3001
"33","2014/04/01 20:08",3026
"34","2014/04/01 20:13",3430
"35","2014/04/01 20:18",1607
"36","2014/04/01 20:23",3815
"37","2014/04/01 20:28",3921
"38","2014/04/01 20:33",3606
"39","2014/04/01 20:38",3868
"40","2014/04/01 20:43",3590
"41","2014/04/01 20:48",3550
"42","2014/04/01 20:53",2661
"43","2014/04/01 20:58",2254
"44","2014/04/01 21:03",3958
"45","2014/04/01 21:08",4468
"46","2014/04/01 21:13",3625
"47","2014/04/01 21:18",3494
"48","2014/04/01 21:23",3240
"49","2014/04/01 21:28",3280
"50","2014/04/01 21:33",3493
"51","2014/04/01 21:38",5200
"52","2014/04/01 21:43",4666
"53","2014/04/01 21:48",7231
"54","2014/04/01 21:53",3648
"55","2014/04/01 21:58",4600
"56","2014/04/01 22:03",3966
"57","2014/04/01 22:08",2646
"58","2014/04/01 22:13",6307
"59","2014/04/01 22:18",11765
"60","2014/04/01 22:23",4857
"61","2014/04/01 22:28",11949
"62","2014/04/01 22:33",4212
"63","2014/04/01 22:38",3761
"64","2014/04/01 22:43",3166
"65","2014/04/01 22:48",1
"66","2014/04/01 22:53",1
"67","2014/04/01 22:58",0
"68","2014/04/01 23:03",0
"69","2014/04/01 23:08",1
"70","2014/04/01 23:13",0
"71","2014/04/01 23:18",1
"72","2014/04/01 23:23",0
"73","2014/04/01 23:28",0
"74","2014/04/01 23:33",4
"75","2014/04/01 23:38",3
"76","2014/04/01 23:43",0
"77","2014/04/01 23:48",0
"78","2014/04/01 23:53",0
"79","2014/04/01 23:58",0
"80","2014/04/02 00:03",0
"81","2014/04/02 00:08",0
"82","2014/04/02 00:13",0
"83","2014/04/02 00:18",0
"84","2014/04/02 00:23",0
"85","2014/04/02 00:28",0
"86","2014/04/02 00:33",0
"87","2014/04/02 00:38",0
"88","2014/04/02 00:43",0
"89","2014/04/02 00:48",0
"90","2014/04/02 00:53",0
"91","2014/04/02 00:58",0
"92","2014/04/02 01:03",0
"93","2014/04/02 01:08",1
"94","2014/04/02 01:13",0
"95","2014/04/02 01:18",1
"96","2014/04/02 01:23",0
