LDEV_BackTrans0C.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:0C:00X(X573-1)","00:0C:01X(X574-1)","00:0C:02X(X575-1)","00:0C:03X(X576-1)","00:0C:04X(X577-1)","00:0C:05X(X578-1)","00:0C:06X(X579-1)","00:0C:07X(X580-1)","00:0C:08X(X581-1)","00:0C:09X(X582-1)","00:0C:0AX(X583-1)","00:0C:0BX(X584-1)","00:0C:0CX(X585-1)"
"1","2014/04/01 17:28",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"2","2014/04/01 17:33",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"3","2014/04/01 17:38",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"4","2014/04/01 17:43",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"5","2014/04/01 17:48",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"6","2014/04/01 17:53",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"7","2014/04/01 17:58",0,0,0,0,0,0,0,0,0,0,0,0,0
"8","2014/04/01 18:03",0,0,1,0,1,1,0,0,1,0,0,0,1
"9","2014/04/01 18:08",1,0,1,0,0,0,0,0,0,0,1,0,0
"10","2014/04/01 18:13",0,0,1,0,0,0,0,0,1,0,0,0,0
"11","2014/04/01 18:18",0,0,1,1,0,0,0,0,0,1,0,0,0
"12","2014/04/01 18:23",0,1,1,2,1,2,1,2,2,2,1,1,1
"13","2014/04/01 18:28",2,2,2,2,2,2,2,2,2,2,2,2,2
"14","2014/04/01 18:33",1,1,1,1,2,2,1,1,2,1,1,1,1
"15","2014/04/01 18:38",1,2,2,2,2,2,1,2,2,2,0,2,2
"16","2014/04/01 18:43",1,1,1,2,2,1,1,1,2,1,1,1,1
"17","2014/04/01 18:48",0,0,0,0,1,0,0,0,0,0,0,0,1
"18","2014/04/01 18:53",1,1,1,1,1,1,1,1,1,1,0,1,1
"19","2014/04/01 18:58",0,0,0,0,1,0,0,0,0,0,0,0,0
