LDEV_BackTrans5A.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:5A:D6X(X68-1)","00:5A:D7X(X66-1)","00:5A:D8X(X50-1)","00:5A:D9X(X71-1)","00:5A:FC(5-6)","00:5A:FD(5-6)","00:5A:FEX(X69-1)","00:5A:FFX(X67-1)"
"1","2014/04/01 17:28",-4,-4,-4,-4,-4,-4,-4,-4
"2","2014/04/01 17:33",-4,-4,-4,-4,-4,-4,-4,-4
"3","2014/04/01 17:38",-4,-4,-4,-4,-4,-4,-4,-4
"4","2014/04/01 17:43",-4,-4,-4,-4,-4,-4,-4,-4
"5","2014/04/01 17:48",-4,-4,-4,-4,-4,-4,-4,-4
"6","2014/04/01 17:53",-4,-4,-4,-4,-4,-4,-4,-4
"7","2014/04/01 17:58",4,3,3,3,0,0,0,0
"8","2014/04/01 18:03",18,16,17,17,0,0,1,1
"9","2014/04/01 18:08",15,16,16,15,0,0,1,1
"10","2014/04/01 18:13",11,10,11,10,0,0,0,0
"11","2014/04/01 18:18",11,10,11,10,0,0,1,1
"12","2014/04/01 18:23",14,11,13,12,0,0,1,1
"13","2014/04/01 18:28",16,15,14,14,0,0,0,0
"14","2014/04/01 18:33",10,10,10,10,0,0,1,1
"15","2014/04/01 18:38",5,6,5,5,0,0,1,1
"16","2014/04/01 18:43",6,5,5,6,0,0,0,0
"17","2014/04/01 18:48",12,10,11,11,0,0,1,1
"18","2014/04/01 18:53",9,9,8,8,0,0,0,0
"19","2014/04/01 18:58",12,10,12,11,0,0,1,1
"20","2014/04/01 19:03",15,15,15,15,0,0,1,1
"21","2014/04/01 19:08",8,9,7,7,0,0,1,1
"22","2014/04/01 19:13",6,5,6,6,0,0,0,0
"23","2014/04/01 19:18",15,13,13,13,0,0,1,1
"24","2014/04/01 19:23",2,1,1,1,0,0,1,1
"25","2014/04/01 19:28",4,4,3,4,0,0,1,1
"26","2014/04/01 19:33",10,10,10,9,0,0,1,1
"27","2014/04/01 19:38",13,12,12,11,0,0,0,0
"28","2014/04/01 19:43",18,18,17,18,0,0,1,1
"29","2014/04/01 19:48",13,13,13,12,0,0,1,1
"30","2014/04/01 19:53",17,15,15,14,0,0,0,0
"31","2014/04/01 19:58",7,6,6,6,0,0,1,1
"32","2014/04/01 20:03",7,6,6,7,0,0,1,1
"33","2014/04/01 20:08",10,11,11,12,0,0,0,0
"34","2014/04/01 20:13",10,9,9,9,0,0,1,1
"35","2014/04/01 20:18",13,11,12,12,0,0,1,1
"36","2014/04/01 20:23",10,9,9,9,0,0,0,0
"37","2014/04/01 20:28",5,3,3,5,0,0,1,1
"38","2014/04/01 20:33",2,2,2,2,0,0,0,0
"39","2014/04/01 20:38",15,13,12,14,0,0,1,1
"40","2014/04/01 20:43",12,11,11,10,0,0,1,1
"41","2014/04/01 20:48",9,10,9,10,0,0,0,0
"42","2014/04/01 20:53",5,4,5,3,0,0,1,1
"43","2014/04/01 20:58",6,5,6,5,0,0,1,1
"44","2014/04/01 21:03",6,7,5,6,0,0,1,1
"45","2014/04/01 21:08",6,6,5,6,0,0,1,1
"46","2014/04/01 21:13",3,2,3,3,0,0,1,1
"47","2014/04/01 21:18",7,7,7,7,0,0,0,0
"48","2014/04/01 21:23",0,1,0,0,0,0,1,1
"49","2014/04/01 21:28",15,14,15,14,0,0,0,0
"50","2014/04/01 21:33",3,3,3,3,0,0,1,1
"51","2014/04/01 21:38",9,9,9,9,0,0,1,1
"52","2014/04/01 21:43",11,10,11,12,0,0,0,0
"53","2014/04/01 21:48",11,11,12,12,0,0,1,1
"54","2014/04/01 21:53",7,7,6,7,0,0,1,1
"55","2014/04/01 21:58",0,0,0,0,0,0,0,0
"56","2014/04/01 22:03",6,7,7,7,0,0,1,1
"57","2014/04/01 22:08",5,5,6,5,0,0,1,1
"58","2014/04/01 22:13",0,0,0,0,0,0,0,0
