LDEV_Seq_Read_IOPS_X485-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:F0:68 X"
"1","2014/04/01 17:28",13
"2","2014/04/01 17:33",23
"3","2014/04/01 17:38",15
"4","2014/04/01 17:43",27
"5","2014/04/01 17:48",16
"6","2014/04/01 17:53",175
"7","2014/04/01 17:58",67
"8","2014/04/01 18:03",73
"9","2014/04/01 18:08",47
"10","2014/04/01 18:13",36
"11","2014/04/01 18:18",27
"12","2014/04/01 18:23",25
"13","2014/04/01 18:28",43
"14","2014/04/01 18:33",196
"15","2014/04/01 18:38",66
"16","2014/04/01 18:43",62
"17","2014/04/01 18:48",159
"18","2014/04/01 18:53",88
"19","2014/04/01 18:58",54
"20","2014/04/01 19:03",39
"21","2014/04/01 19:08",59
"22","2014/04/01 19:13",124
"23","2014/04/01 19:18",75
"24","2014/04/01 19:23",42
"25","2014/04/01 19:28",52
"26","2014/04/01 19:33",31
"27","2014/04/01 19:38",41
"28","2014/04/01 19:43",21
"29","2014/04/01 19:48",82
"30","2014/04/01 19:53",171
"31","2014/04/01 19:58",9
"32","2014/04/01 20:03",38
"33","2014/04/01 20:08",22
"34","2014/04/01 20:13",24
"35","2014/04/01 20:18",30
"36","2014/04/01 20:23",72
"37","2014/04/01 20:28",192
"38","2014/04/01 20:33",5
"39","2014/04/01 20:38",34
"40","2014/04/01 20:43",26
"41","2014/04/01 20:48",29
"42","2014/04/01 20:53",35
"43","2014/04/01 20:58",58
"44","2014/04/01 21:03",96
"45","2014/04/01 21:08",44
"46","2014/04/01 21:13",116
"47","2014/04/01 21:18",99
"48","2014/04/01 21:23",33
"49","2014/04/01 21:28",45
"50","2014/04/01 21:33",39
"51","2014/04/01 21:38",48
"52","2014/04/01 21:43",71
"53","2014/04/01 21:48",88
"54","2014/04/01 21:53",104
"55","2014/04/01 21:58",57
"56","2014/04/01 22:03",47
"57","2014/04/01 22:08",61
"58","2014/04/01 22:13",137
"59","2014/04/01 22:18",194
"60","2014/04/01 22:23",114
"61","2014/04/01 22:28",93
"62","2014/04/01 22:33",80
"63","2014/04/01 22:38",15
"64","2014/04/01 22:43",51
"65","2014/04/01 22:48",32
"66","2014/04/01 22:53",30
"67","2014/04/01 22:58",172
"68","2014/04/01 23:03",82
"69","2014/04/01 23:08",73
"70","2014/04/01 23:13",56
"71","2014/04/01 23:18",57
"72","2014/04/01 23:23",48
"73","2014/04/01 23:28",33
"74","2014/04/01 23:33",38
"75","2014/04/01 23:38",35
"76","2014/04/01 23:43",33
"77","2014/04/01 23:48",23
"78","2014/04/01 23:53",31
"79","2014/04/01 23:58",36
"80","2014/04/02 00:03",163
"81","2014/04/02 00:08",93
"82","2014/04/02 00:13",18
"83","2014/04/02 00:18",41
"84","2014/04/02 00:23",37
"85","2014/04/02 00:28",23
"86","2014/04/02 00:33",32
"87","2014/04/02 00:38",27
"88","2014/04/02 00:43",137
"89","2014/04/02 00:48",198
"90","2014/04/02 00:53",223
"91","2014/04/02 00:58",246
"92","2014/04/02 01:03",134
"93","2014/04/02 01:08",61
"94","2014/04/02 01:13",160
"95","2014/04/02 01:18",187
"96","2014/04/02 01:23",281
