Port_KBPS.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","CL1-A","CL3-A","CL5-A","CL7-A","CL1-B","CL3-B","CL5-B","CL7-B","CL1-E","CL3-E","CL5-E","CL7-E","CL1-F","CL3-F","CL5-F","CL7-F","CL3-C","CL1-D","CL3-D","CL2-A","CL4-A","CL6-A","CL8-A","CL2-B","CL4-B","CL6-B","CL8-B","CL2-E","CL4-E","CL6-E","CL8-E","CL2-F","CL4-F","CL6-F","CL8-F","CL2-C","CL4-C","CL4-D"
"28","2014/04/01 19:43",0,0,0,9854,4747,0,17166,6353,0,0,10,13,8,102,23509,0,247838,3986,5057,0,0,0,9579,4666,0,15893,6344,0,0,11,11,13,76,22416,0,4003,263872,4927
"29","2014/04/01 19:48",0,0,0,7998,3481,0,125425,6080,0,0,14,13,50,77,14852,0,154947,2517,5663,0,0,0,8696,3509,0,127202,6115,0,0,13,12,48,102,15498,0,2481,142695,5737
"30","2014/04/01 19:53",0,0,0,7523,3048,0,41727,4166,0,0,12,11,13,95,30530,0,129682,2058,6263,0,0,0,7371,3115,0,41947,4142,0,0,12,11,13,85,30564,0,2051,132581,6351
"31","2014/04/01 19:58",0,0,0,10375,2657,0,11831,14539,0,0,13,11,5,91,14249,0,85908,1674,4476,0,0,0,10847,2580,0,11938,14396,0,0,11,11,4,87,13816,0,1652,84760,4188
"32","2014/04/01 20:03",0,0,0,16037,2272,0,9688,16110,0,0,11,11,7,302,14865,0,79284,483,7796,0,0,0,16428,2264,0,9811,16045,0,0,12,11,1,312,14887,0,466,77352,8164
"33","2014/04/01 20:08",0,0,0,10151,4572,0,5671,8653,0,0,13,10,0,89,17141,0,65862,2093,4944,0,0,0,10100,4377,0,5584,8704,0,0,11,13,9,91,16806,0,2051,66188,4245
"34","2014/04/01 20:13",0,0,0,21923,3046,0,3344,5712,0,0,13,11,8,101,16267,0,65459,1876,4376,0,0,0,20768,2922,0,3313,5719,0,0,11,11,2,81,16385,0,1850,62639,3825
"35","2014/04/01 20:18",0,0,0,9398,1364,0,7971,5926,0,0,12,13,5,80,25577,0,58449,555,7669,0,0,0,8708,1399,0,7760,5863,0,0,11,11,3,104,25891,0,548,59673,6182
"36","2014/04/01 20:23",0,0,0,12923,3003,0,4597,8652,0,0,11,12,0,93,15030,0,52571,2248,6324,0,0,0,12552,3015,0,4572,8692,0,0,12,12,9,92,15325,0,2282,55288,6962
"37","2014/04/01 20:28",0,0,0,10549,2399,0,8470,8159,0,0,14,11,10,103,11764,0,62194,1777,4467,0,0,0,11031,2515,0,8609,8250,0,0,10,11,0,81,11187,0,1812,62997,4837
"38","2014/04/01 20:33",0,0,0,12087,1599,0,3119,12542,0,0,12,11,2,85,8266,0,61915,471,6129,0,0,0,12207,1574,0,3210,12547,0,0,10,12,7,102,8589,0,467,62684,6257
"39","2014/04/01 20:38",0,0,0,10463,3392,0,3375,19396,0,0,13,12,3,88,22948,0,51240,1986,4301,0,0,0,10027,3243,0,3221,19474,0,0,10,11,6,90,22464,0,2035,49403,4214
"40","2014/04/01 20:43",0,0,0,9804,2502,0,3677,11068,0,0,11,11,9,97,21681,0,53995,1827,4253,0,0,0,10385,2605,0,3725,11146,0,0,11,12,0,83,21842,0,1796,50535,3711
