Port_Initiator_Response.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","CL1-C","CL2-D"
"1","2014/04/01 17:28",10333,8285
"2","2014/04/01 17:33",26456,14603
"3","2014/04/01 17:38",16533,11127
"4","2014/04/01 17:43",33829,17047
"5","2014/04/01 17:48",46202,17374
"6","2014/04/01 17:53",38173,17143
"7","2014/04/01 17:58",29891,15937
"8","2014/04/01 18:03",21010,12820
"9","2014/04/01 18:08",16247,10714
"10","2014/04/01 18:13",17483,10962
"11","2014/04/01 18:18",15452,11725
"12","2014/04/01 18:23",14906,10358
"13","2014/04/01 18:28",14832,10320
"14","2014/04/01 18:33",14570,10520
"15","2014/04/01 18:38",16908,11207
"16","2014/04/01 18:43",21343,12992
"17","2014/04/01 18:48",16502,10920
"18","2014/04/01 18:53",22267,13426
"19","2014/04/01 18:58",14159,11293
"20","2014/04/01 19:03",17900,11896
"21","2014/04/01 19:08",38866,17413
"22","2014/04/01 19:13",31075,16506
"23","2014/04/01 19:18",27802,15896
"24","2014/04/01 19:23",28758,15879
"25","2014/04/01 19:28",22162,13880
"26","2014/04/01 19:33",30480,16344
"27","2014/04/01 19:38",15018,10658
"28","2014/04/01 19:43",15057,12024
"29","2014/04/01 19:48",15297,12312
"30","2014/04/01 19:53",12180,10494
"31","2014/04/01 19:58",12200,9894
"32","2014/04/01 20:03",19854,12713
"33","2014/04/01 20:08",20972,14266
"34","2014/04/01 20:13",24293,12927
"35","2014/04/01 20:18",14622,10842
"36","2014/04/01 20:23",15134,11061
"37","2014/04/01 20:28",15052,10774
"38","2014/04/01 20:33",14087,10645
"39","2014/04/01 20:38",11737,9208
"40","2014/04/01 20:43",11531,9086
"41","2014/04/01 20:48",11495,8800
"42","2014/04/01 20:53",13867,9263
"43","2014/04/01 20:58",12848,9028
"44","2014/04/01 21:03",9679,7404
"45","2014/04/01 21:08",9838,7323
"46","2014/04/01 21:13",8760,6910
"47","2014/04/01 21:18",9842,7521
"48","2014/04/01 21:23",5667,5098
"49","2014/04/01 21:28",6671,5248
"50","2014/04/01 21:33",22501,10497
"51","2014/04/01 21:38",8588,6264
"52","2014/04/01 21:43",8134,7012
"53","2014/04/01 21:48",9594,7178
"54","2014/04/01 21:53",8773,7249
"55","2014/04/01 21:58",7353,5899
"56","2014/04/01 22:03",17720,10891
"57","2014/04/01 22:08",18884,12078
"58","2014/04/01 22:13",15251,9624
"59","2014/04/01 22:18",10177,7094
"60","2014/04/01 22:23",9338,6472
"61","2014/04/01 22:28",9248,6006
"62","2014/04/01 22:33",25737,12403
"63","2014/04/01 22:38",27691,14051
"64","2014/04/01 22:43",30726,17019
"65","2014/04/01 22:48",28883,14803
"66","2014/04/01 22:53",40504,17849
"67","2014/04/01 22:58",37507,16582
"68","2014/04/01 23:03",42924,17193
"69","2014/04/01 23:08",53453,18422
"70","2014/04/01 23:13",55057,18240
"71","2014/04/01 23:18",53112,17926
"72","2014/04/01 23:23",49432,17209
"73","2014/04/01 23:28",4414,18831
"74","2014/04/01 23:33",14319,23067
"75","2014/04/01 23:38",16933,23889
"76","2014/04/01 23:43",5523,21282
"77","2014/04/01 23:48",60146,20584
"78","2014/04/01 23:53",53416,20298
"79","2014/04/01 23:58",52866,20299
"80","2014/04/02 00:03",48041,19688
"81","2014/04/02 00:08",52128,19680
"82","2014/04/02 00:13",48071,19114
"83","2014/04/02 00:18",51260,18270
"84","2014/04/02 00:23",47658,18348
"85","2014/04/02 00:28",47737,19835
"86","2014/04/02 00:33",46246,19981
"87","2014/04/02 00:38",48313,19879
"88","2014/04/02 00:43",48380,19273
"89","2014/04/02 00:48",48377,21681
"90","2014/04/02 00:53",54821,22454
"91","2014/04/02 00:58",49644,20442
"92","2014/04/02 01:03",51362,21085
"93","2014/04/02 01:08",53086,21444
"94","2014/04/02 01:13",55967,22009
"95","2014/04/02 01:18",52682,21917
"96","2014/04/02 01:23",51862,20790
