Port_Initiator_IOPS.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","CL1-C","CL2-D"
"1","2014/04/01 17:28",177,177
"2","2014/04/01 17:33",189,189
"3","2014/04/01 17:38",184,184
"4","2014/04/01 17:43",189,189
"5","2014/04/01 17:48",204,204
"6","2014/04/01 17:53",195,196
"7","2014/04/01 17:58",187,187
"8","2014/04/01 18:03",184,184
"9","2014/04/01 18:08",185,185
"10","2014/04/01 18:13",182,183
"11","2014/04/01 18:18",183,184
"12","2014/04/01 18:23",184,183
"13","2014/04/01 18:28",184,184
"14","2014/04/01 18:33",181,181
"15","2014/04/01 18:38",183,183
"16","2014/04/01 18:43",186,186
"17","2014/04/01 18:48",183,183
"18","2014/04/01 18:53",189,189
"19","2014/04/01 18:58",184,184
"20","2014/04/01 19:03",190,190
"21","2014/04/01 19:08",202,202
"22","2014/04/01 19:13",196,196
"23","2014/04/01 19:18",189,189
"24","2014/04/01 19:23",195,195
"25","2014/04/01 19:28",191,190
"26","2014/04/01 19:33",196,197
"27","2014/04/01 19:38",188,188
"28","2014/04/01 19:43",184,184
"29","2014/04/01 19:48",185,185
"30","2014/04/01 19:53",187,187
"31","2014/04/01 19:58",185,185
"32","2014/04/01 20:03",191,191
"33","2014/04/01 20:08",198,197
"34","2014/04/01 20:13",192,193
"35","2014/04/01 20:18",184,184
"36","2014/04/01 20:23",186,186
"37","2014/04/01 20:28",182,182
"38","2014/04/01 20:33",181,180
"39","2014/04/01 20:38",180,181
"40","2014/04/01 20:43",178,178
"41","2014/04/01 20:48",182,182
"42","2014/04/01 20:53",182,182
"43","2014/04/01 20:58",176,177
"44","2014/04/01 21:03",180,179
"45","2014/04/01 21:08",181,181
"46","2014/04/01 21:13",175,176
"47","2014/04/01 21:18",179,179
"48","2014/04/01 21:23",173,172
"49","2014/04/01 21:28",176,176
"50","2014/04/01 21:33",184,184
"51","2014/04/01 21:38",176,176
"52","2014/04/01 21:43",170,171
"53","2014/04/01 21:48",173,172
"54","2014/04/01 21:53",174,174
"55","2014/04/01 21:58",170,170
"56","2014/04/01 22:03",178,178
"57","2014/04/01 22:08",182,182
"58","2014/04/01 22:13",176,175
"59","2014/04/01 22:18",172,172
"60","2014/04/01 22:23",174,175
"61","2014/04/01 22:28",169,169
"62","2014/04/01 22:33",183,183
"63","2014/04/01 22:38",187,187
"64","2014/04/01 22:43",182,182
"65","2014/04/01 22:48",181,181
"66","2014/04/01 22:53",194,194
"67","2014/04/01 22:58",189,189
"68","2014/04/01 23:03",197,197
"69","2014/04/01 23:08",207,207
"70","2014/04/01 23:13",202,202
"71","2014/04/01 23:18",204,203
"72","2014/04/01 23:23",202,202
"73","2014/04/01 23:28",215,215
"74","2014/04/01 23:33",221,221
"75","2014/04/01 23:38",226,226
"76","2014/04/01 23:43",219,219
"77","2014/04/01 23:48",216,215
"78","2014/04/01 23:53",211,210
"79","2014/04/01 23:58",201,201
"80","2014/04/02 00:03",196,196
"81","2014/04/02 00:08",207,207
"82","2014/04/02 00:13",201,200
"83","2014/04/02 00:18",205,206
"84","2014/04/02 00:23",205,205
"85","2014/04/02 00:28",197,198
"86","2014/04/02 00:33",193,193
"87","2014/04/02 00:38",201,201
"88","2014/04/02 00:43",193,193
"89","2014/04/02 00:48",194,195
"90","2014/04/02 00:53",203,203
"91","2014/04/02 00:58",195,195
"92","2014/04/02 01:03",197,197
"93","2014/04/02 01:08",202,202
"94","2014/04/02 01:13",200,200
"95","2014/04/02 01:18",198,198
"96","2014/04/02 01:23",202,201
