Port_Response.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","CL1-A","CL3-A","CL5-A","CL7-A","CL1-B","CL3-B","CL5-B","CL7-B","CL1-E","CL3-E","CL5-E","CL7-E","CL1-F","CL3-F","CL5-F","CL7-F","CL3-C","CL1-D","CL3-D","CL2-A","CL4-A","CL6-A","CL8-A","CL2-B","CL4-B","CL6-B","CL8-B","CL2-E","CL4-E","CL6-E","CL8-E","CL2-F","CL4-F","CL6-F","CL8-F","CL2-C","CL4-C","CL4-D"
"24","2014/04/01 19:23",-3,-3,-3,3592,17599,-3,4369,8438,-3,-3,-3,-3,-3,457,698,-3,1720,2442,2857,-3,-3,-3,4229,18906,-3,4470,8639,-3,-3,-3,-3,-3,514,699,-3,5156,1632,2561
"25","2014/04/01 19:28",-3,-3,-3,4427,18184,-3,7100,9469,-3,-3,-3,-3,-3,521,1348,-3,1666,2400,1091,-3,-3,-3,6284,16515,-3,6861,9480,-3,-3,-3,-3,-3,390,1326,-3,6445,1646,1006
"26","2014/04/01 19:33",-3,-3,-3,6841,17192,-3,6296,3548,-3,-3,-3,-3,-3,449,888,-3,1833,2439,1293,-3,-3,-3,8692,17671,-3,6265,3699,-3,-3,-3,-3,-3,528,927,-3,6090,1870,1763
"27","2014/04/01 19:38",-3,-3,-3,3854,13207,-3,6381,658,-3,-3,-3,-3,-3,400,815,-3,1799,3217,2021,-3,-3,-3,3554,13616,-3,6453,691,-3,-3,-3,-3,-3,472,794,-3,6826,1820,1777
"28","2014/04/01 19:43",-3,-3,-3,11119,13746,-3,5164,1101,-3,-3,-3,-3,-3,455,1948,-3,3088,2847,2713,-3,-3,-3,15980,13915,-3,5231,1130,-3,-3,-3,-3,1429,401,1844,-3,8426,5786,2682
"29","2014/04/01 19:48",-3,-3,-3,2535,14362,-3,9828,2042,-3,-3,-3,-3,1912,448,1189,-3,5588,2144,4588,-3,-3,-3,3112,14536,-3,10052,2036,-3,-3,-3,-3,1580,598,1288,-3,5160,5014,5010
"30","2014/04/01 19:53",-3,-3,-3,6334,13012,-3,3414,1055,-3,-3,-3,-3,1464,417,843,-3,4418,1923,4236,-3,-3,-3,3442,13370,-3,3419,1068,-3,-3,-3,-3,-3,435,853,-3,3627,4392,4332
"31","2014/04/01 19:58",-3,-3,-3,3549,9768,-3,2267,1205,-3,-3,-3,-3,-3,415,816,-3,2529,1635,3355,-3,-3,-3,4091,10365,-3,2282,1224,-3,-3,-3,-3,-3,799,770,-3,2882,2514,3333
"32","2014/04/01 20:03",-3,-3,-3,8045,9291,-3,2316,912,-3,-3,-3,-3,-3,1100,1118,-3,2026,1270,1370,-3,-3,-3,7144,10449,-3,2260,945,-3,-3,-3,-3,-3,939,1124,-3,1223,1996,1335
"33","2014/04/01 20:08",-3,-3,-3,2157,11855,-3,2424,968,-3,-3,-3,-3,-3,502,863,-3,1801,2005,1218,-3,-3,-3,2121,12082,-3,2521,979,-3,-3,-3,-3,-3,461,913,-3,3612,1783,1005
"34","2014/04/01 20:13",-3,-3,-3,11443,16165,-3,2213,907,-3,-3,-3,-3,-3,458,859,-3,1659,2083,1059,-3,-3,-3,7874,15857,-3,2221,928,-3,-3,-3,-3,-3,1089,825,-3,2928,1617,1195
"35","2014/04/01 20:18",-3,-3,-3,4229,16061,-3,2206,1152,-3,-3,-3,-3,-3,391,900,-3,1114,1424,3356,-3,-3,-3,4380,16216,-3,2278,1152,-3,-3,-3,-3,-3,1660,860,-3,1400,1170,2678
"36","2014/04/01 20:23",-3,-3,-3,6398,4891,-3,1414,939,-3,-3,-3,-3,-3,576,823,-3,1254,2195,2328,-3,-3,-3,7660,5053,-3,1429,951,-3,-3,-3,-3,-3,586,827,-3,3793,1395,2313
"37","2014/04/01 20:28",-3,-3,-3,4287,13232,-3,653,905,-3,-3,-3,-3,-3,508,765,-3,1707,1789,2077,-3,-3,-3,3763,12752,-3,676,925,-3,-3,-3,-3,-3,419,688,-3,3218,1620,2034
"38","2014/04/01 20:33",-3,-3,-3,5321,16128,-3,2623,1106,-3,-3,-3,-3,-3,511,649,-3,1658,1260,2525,-3,-3,-3,4370,16919,-3,2736,1103,-3,-3,-3,-3,-3,577,668,-3,1408,1707,2735
"39","2014/04/01 20:38",-3,-3,-3,2775,8604,-3,1929,1032,-3,-3,-3,-3,-3,583,881,-3,1173,1680,2083,-3,-3,-3,2787,9269,-3,1941,1077,-3,-3,-3,-3,-3,1426,883,-3,3440,1169,1895
"40","2014/04/01 20:43",-3,-3,-3,2631,13104,-3,1881,701,-3,-3,-3,-3,-3,535,798,-3,1330,1868,811,-3,-3,-3,2419,14585,-3,1944,693,-3,-3,-3,-3,-3,408,861,-3,3456,1247,723
"41","2014/04/01 20:48",-3,-3,-3,2589,15045,-3,2074,608,-3,-3,-3,-3,-3,375,865,-3,1368,1111,1284,-3,-3,-3,2801,14453,-3,2092,637,-3,-3,-3,-3,-3,533,774,-3,1049,1285,1240
"42","2014/04/01 20:53",-3,-3,-3,1978,8592,-3,1669,815,-3,-3,-3,-3,-3,552,775,-3,1248,1970,3221,-3,-3,-3,2013,8664,-3,1643,836,-3,-3,-3,-3,-3,399,814,-3,3042,1268,3397
"43","2014/04/01 20:58",-3,-3,-3,3850,9126,-3,1488,946,-3,-3,-3,-3,-3,403,795,-3,1884,1963,2677,-3,-3,-3,3448,9748,-3,1433,976,-3,-3,-3,-3,-3,544,891,-3,3390,2084,2540
"44","2014/04/01 21:03",-3,-3,-3,2670,12059,-3,1275,962,-3,-3,-3,-3,-3,1070,1056,-3,1532,864,1347,-3,-3,-3,3166,11339,-3,1266,989,-3,-3,-3,-3,-3,1106,1038,-3,1029,1475,1258
"45","2014/04/01 21:08",-3,-3,-3,1805,10752,-3,1714,869,-3,-3,-3,-3,-3,384,888,-3,1996,1944,2224,-3,-3,-3,1878,10483,-3,1729,891,-3,-3,-3,-3,-3,530,893,-3,4001,1917,1969
"46","2014/04/01 21:13",-3,-3,-3,1923,17257,-3,1009,909,-3,-3,-3,-3,-3,495,614,-3,1824,1992,3399,-3,-3,-3,1903,17661,-3,1065,929,-3,-3,-3,-3,-3,456,839,-3,3277,1899,3338
"47","2014/04/01 21:18",-3,-3,-3,2716,27359,-3,929,879,-3,-3,-3,-3,-3,448,797,-3,2744,1364,2679,-3,-3,-3,2554,25176,-3,959,883,-3,-3,-3,-3,-3,495,728,-3,1605,2982,2725
"48","2014/04/01 21:23",-3,-3,-3,1449,8312,-3,1975,616,-3,-3,-3,-3,-3,1032,645,-3,2510,1980,3656,-3,-3,-3,1917,8280,-3,1985,631,-3,-3,-3,-3,-3,469,740,-3,3586,2466,3801
"49","2014/04/01 21:28",-3,-3,-3,1927,14814,-3,1601,699,-3,-3,-3,-3,-3,469,953,-3,2271,1646,1290,-3,-3,-3,1733,15482,-3,1720,735,-3,-3,-3,-3,-3,452,980,-3,3578,2301,1254
"50","2014/04/01 21:33",-3,-3,-3,4084,23565,-3,2006,934,-3,-3,-3,-3,-3,503,717,-3,2516,1416,2673,-3,-3,-3,4164,25702,-3,2027,974,-3,-3,-3,-3,-3,415,835,-3,1550,2551,3096
"51","2014/04/01 21:38",-3,-3,-3,5582,9520,-3,1519,859,-3,-3,-3,-3,-3,408,866,-3,2094,1940,2528,-3,-3,-3,5600,9684,-3,1606,877,-3,-3,-3,-3,-3,451,921,-3,3840,1992,2542
"52","2014/04/01 21:43",-3,-3,-3,5112,11731,-3,1357,974,-3,-3,-3,-3,-3,528,1079,-3,2014,1750,1626,-3,-3,-3,5225,12750,-3,1416,993,-3,-3,-3,-3,-3,401,1024,-3,3086,2026,1672
"53","2014/04/01 21:48",-3,-3,-3,5927,8935,-3,1345,1195,-3,-3,-3,-3,-3,362,1379,-3,1803,894,2100,-3,-3,-3,5980,9038,-3,1373,1240,-3,-3,-3,-3,-3,483,1419,-3,1228,1928,2068
"54","2014/04/01 21:53",-3,-3,-3,6152,10607,-3,846,548,-3,-3,-3,-3,-3,584,935,-3,2197,2016,2446,-3,-3,-3,6383,10678,-3,841,581,-3,-3,-3,-3,-3,546,899,-3,3404,2095,2525
"55","2014/04/01 21:58",-3,-3,-3,4450,13501,-3,1392,493,-3,-3,-3,-3,438,479,699,-3,2763,1714,3074,-3,-3,-3,4425,13298,-3,1435,526,-3,-3,-3,-3,-3,413,672,-3,3130,2793,3031
"56","2014/04/01 22:03",-3,-3,-3,3470,11186,-3,1738,788,-3,-3,-3,-3,-3,998,1052,-3,2466,1461,3006,-3,-3,-3,3547,11188,-3,1633,790,-3,-3,-3,-3,-3,1145,990,-3,1820,2531,3087
"57","2014/04/01 22:08",-3,-3,-3,7570,15129,-3,1537,937,-3,-3,-3,-3,-3,417,984,-3,3985,2163,5182,-3,-3,-3,7504,15677,-3,1608,959,-3,-3,-3,-3,-3,490,891,-3,3791,3899,5218
"58","2014/04/01 22:13",-3,-3,-3,5684,12312,-3,975,2538,-3,-3,-3,-3,574,531,601,-3,2184,2044,463,-3,-3,-3,5658,12363,-3,888,2042,-3,-3,-3,-3,-3,417,591,-3,3099,2192,1800
"59","2014/04/01 22:18",-3,-3,-3,4292,14255,-3,646,1713,-3,-3,-3,-3,-3,452,851,-3,1269,1080,2773,-3,-3,-3,4024,13991,-3,631,1527,-3,-3,-3,-3,-3,552,886,-3,871,1301,2730
"60","2014/04/01 22:23",-3,-3,-3,3854,9962,-3,919,2168,-3,-3,-3,-3,-3,389,625,-3,1819,1793,2580,-3,-3,-3,3565,10659,-3,975,2279,-3,-3,-3,-3,-3,567,630,-3,3571,1890,2520
