LDEV_Rnd_Read_Hit_1-13.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:00:F2","00:00:F3","00:00:F9","00:00:FA","00:00:FB","00:00:FC","00:00:FD","00:00:FE","00:00:FF","00:01:00","00:01:01","00:01:02","00:01:03","00:20:18","00:20:19"
"60","2014/04/01 22:23",0,0,0,0,0,0,100,97,0,9,9,2,0,0,100
"61","2014/04/01 22:28",0,0,0,0,0,0,100,97,0,9,11,0,0,0,45
"62","2014/04/01 22:33",0,0,0,0,0,0,100,95,0,16,13,0,0,0,68
"63","2014/04/01 22:38",0,0,0,0,0,0,100,99,0,11,4,3,3,0,48
"64","2014/04/01 22:43",0,0,0,0,0,0,100,87,0,8,12,2,5,0,45
"65","2014/04/01 22:48",0,0,0,0,0,0,40,80,0,15,17,0,0,0,100
"66","2014/04/01 22:53",0,0,0,0,0,0,100,96,0,17,12,0,0,0,73
"67","2014/04/01 22:58",0,0,0,0,0,0,100,98,0,52,44,0,0,0,87
"68","2014/04/01 23:03",80,0,0,0,0,0,100,89,0,62,13,0,0,0,25
"69","2014/04/01 23:08",0,0,0,0,0,0,0,78,0,24,18,0,0,0,76
"70","2014/04/01 23:13",0,0,0,0,0,0,100,80,0,53,56,0,0,0,82
"71","2014/04/01 23:18",0,0,0,0,0,0,71,86,0,23,4,0,0,0,100
"72","2014/04/01 23:23",0,0,0,0,0,0,0,80,0,47,30,0,0,0,100
"73","2014/04/01 23:28",0,0,0,0,0,0,0,76,0,17,9,0,0,0,45
"74","2014/04/01 23:33",0,0,0,0,0,0,0,73,0,18,37,0,0,0,62
"75","2014/04/01 23:38",0,0,0,0,0,0,100,80,0,58,26,0,20,0,53
"76","2014/04/01 23:43",0,0,0,0,0,0,100,67,0,29,19,10,0,0,45
"77","2014/04/01 23:48",0,0,0,0,0,0,36,64,0,21,5,10,9,0,100
"78","2014/04/01 23:53",6,0,0,0,0,0,66,82,0,19,8,0,0,0,42
"79","2014/04/01 23:58",0,0,0,0,0,0,100,78,0,25,8,0,0,0,79
"80","2014/04/02 00:03",70,0,0,0,0,0,0,78,0,58,0,0,0,0,100
"81","2014/04/02 00:08",100,0,0,0,0,0,100,74,0,50,68,50,0,0,61
"82","2014/04/02 00:13",0,0,0,0,0,0,100,75,0,34,20,50,33,0,82
"83","2014/04/02 00:18",0,0,0,0,0,0,71,82,0,29,85,0,0,0,66
"84","2014/04/02 00:23",14,0,0,0,0,0,100,80,0,60,60,57,0,0,66
"85","2014/04/02 00:28",0,0,0,0,0,0,100,85,0,43,41,0,0,0,27
"86","2014/04/02 00:33",0,0,0,0,0,0,100,76,0,64,61,0,0,0,57
"87","2014/04/02 00:38",0,0,0,0,0,0,100,94,0,37,48,0,0,0,46
"88","2014/04/02 00:43",0,0,0,0,0,0,100,72,0,58,80,28,0,0,33
"89","2014/04/02 00:48",0,0,0,0,0,0,36,74,0,37,58,0,50,0,100
"90","2014/04/02 00:53",0,0,0,0,0,0,100,86,0,60,62,40,25,0,46
"91","2014/04/02 00:58",0,0,0,0,0,0,66,85,0,28,54,11,0,0,84
"92","2014/04/02 01:03",6,16,0,0,0,0,100,85,0,7,36,1,2,0,66
"93","2014/04/02 01:08",0,1,0,0,0,0,0,77,0,21,22,25,0,0,57
"94","2014/04/02 01:13",0,0,0,0,0,0,100,74,0,28,3,0,0,0,56
"95","2014/04/02 01:18",0,0,0,0,0,0,71,84,0,38,4,0,0,0,66
"96","2014/04/02 01:23",0,0,0,0,0,0,100,83,0,10,1,2,13,0,66
