LDEV_Rnd_Read_Hit_X502-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:01:ED X"
"1","2014/04/01 17:28",71
"2","2014/04/01 17:33",88
"3","2014/04/01 17:38",50
"4","2014/04/01 17:43",74
"5","2014/04/01 17:48",12
"6","2014/04/01 17:53",22
"7","2014/04/01 17:58",46
"8","2014/04/01 18:03",78
"9","2014/04/01 18:08",52
"10","2014/04/01 18:13",36
"11","2014/04/01 18:18",17
"12","2014/04/01 18:23",19
"13","2014/04/01 18:28",69
"14","2014/04/01 18:33",72
"15","2014/04/01 18:38",62
"16","2014/04/01 18:43",80
"17","2014/04/01 18:48",12
"18","2014/04/01 18:53",15
"19","2014/04/01 18:58",74
"20","2014/04/01 19:03",77
"21","2014/04/01 19:08",51
"22","2014/04/01 19:13",37
"23","2014/04/01 19:18",16
"24","2014/04/01 19:23",14
"25","2014/04/01 19:28",75
"26","2014/04/01 19:33",69
"27","2014/04/01 19:38",14
"28","2014/04/01 19:43",46
"29","2014/04/01 19:48",30
"30","2014/04/01 19:53",22
"31","2014/04/01 19:58",14
"32","2014/04/01 20:03",68
"33","2014/04/01 20:08",46
"34","2014/04/01 20:13",68
"35","2014/04/01 20:18",15
"36","2014/04/01 20:23",22
"37","2014/04/01 20:28",17
"38","2014/04/01 20:33",11
"39","2014/04/01 20:38",13
"40","2014/04/01 20:43",80
"41","2014/04/01 20:48",20
"42","2014/04/01 20:53",8
"43","2014/04/01 20:58",20
"44","2014/04/01 21:03",72
"45","2014/04/01 21:08",8
"46","2014/04/01 21:13",23
"47","2014/04/01 21:18",13
"48","2014/04/01 21:23",10
"49","2014/04/01 21:28",62
"50","2014/04/01 21:33",43
"51","2014/04/01 21:38",18
"52","2014/04/01 21:43",84
"53","2014/04/01 21:48",23
"54","2014/04/01 21:53",19
"55","2014/04/01 21:58",12
"56","2014/04/01 22:03",48
"57","2014/04/01 22:08",56
"58","2014/04/01 22:13",58
"59","2014/04/01 22:18",52
"60","2014/04/01 22:23",47
"61","2014/04/01 22:28",56
"62","2014/04/01 22:33",60
"63","2014/04/01 22:38",63
"64","2014/04/01 22:43",72
"65","2014/04/01 22:48",78
"66","2014/04/01 22:53",65
"67","2014/04/01 22:58",71
"68","2014/04/01 23:03",57
"69","2014/04/01 23:08",64
"70","2014/04/01 23:13",64
"71","2014/04/01 23:18",60
"72","2014/04/01 23:23",69
"73","2014/04/01 23:28",71
"74","2014/04/01 23:33",81
"75","2014/04/01 23:38",84
"76","2014/04/01 23:43",81
"77","2014/04/01 23:48",76
"78","2014/04/01 23:53",66
"79","2014/04/01 23:58",61
"80","2014/04/02 00:03",70
"81","2014/04/02 00:08",78
"82","2014/04/02 00:13",77
"83","2014/04/02 00:18",63
"84","2014/04/02 00:23",51
"85","2014/04/02 00:28",56
"86","2014/04/02 00:33",79
"87","2014/04/02 00:38",43
"88","2014/04/02 00:43",79
"89","2014/04/02 00:48",72
"90","2014/04/02 00:53",47
"91","2014/04/02 00:58",51
"92","2014/04/02 01:03",41
"93","2014/04/02 01:08",68
"94","2014/04/02 01:13",41
"95","2014/04/02 01:18",29
"96","2014/04/02 01:23",18
