LDEV_Rnd_Read_Hit_1-14.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:01:0B","00:01:0C","00:01:0D","00:01:0E","00:01:0F","00:01:10","00:01:11","00:01:12","00:01:13","00:01:14","00:01:15","00:20:1A","00:20:1B","00:AB:0C"
"1","2014/04/01 17:28",0,0,0,0,0,0,0,0,0,0,0,100,100,0
"2","2014/04/01 17:33",0,0,0,0,0,0,0,0,0,0,0,50,100,0
"3","2014/04/01 17:38",0,0,0,0,0,0,0,0,0,0,0,100,85,0
"4","2014/04/01 17:43",0,0,0,0,0,0,0,0,0,0,0,100,100,0
"5","2014/04/01 17:48",0,0,0,0,0,0,0,0,0,0,0,100,100,0
"6","2014/04/01 17:53",0,0,0,0,0,0,0,0,0,0,0,40,86,0
"7","2014/04/01 17:58",0,0,0,0,0,0,0,0,0,0,0,100,100,0
"8","2014/04/01 18:03",0,0,0,0,0,0,0,0,0,0,0,43,100,0
"9","2014/04/01 18:08",0,0,0,0,0,0,0,0,0,0,0,42,40,0
"10","2014/04/01 18:13",0,0,0,0,0,0,0,0,0,0,0,100,56,0
"11","2014/04/01 18:18",0,0,0,0,0,0,0,14,0,0,0,34,52,0
"12","2014/04/01 18:23",0,0,0,0,0,0,0,0,0,0,0,100,100,0
"13","2014/04/01 18:28",0,0,0,0,0,0,0,0,0,0,0,100,100,0
"14","2014/04/01 18:33",0,0,0,0,0,0,0,0,0,0,0,50,50,0
"15","2014/04/01 18:38",0,0,0,0,0,0,0,0,0,0,0,100,90,0
"16","2014/04/01 18:43",0,0,0,0,0,0,0,0,0,0,0,100,100,0
"17","2014/04/01 18:48",0,0,0,0,0,0,0,0,0,0,0,100,100,0
"18","2014/04/01 18:53",0,0,0,0,0,0,0,0,0,0,0,40,80,0
"19","2014/04/01 18:58",0,0,0,0,0,0,0,0,0,0,0,100,100,0
"20","2014/04/01 19:03",0,0,0,0,0,0,0,0,0,0,0,41,44,0
"21","2014/04/01 19:08",0,0,0,0,0,0,0,0,0,0,0,42,40,0
"22","2014/04/01 19:13",0,0,0,0,0,0,0,0,0,0,0,100,62,0
"23","2014/04/01 19:18",7,10,4,4,1,9,19,1,3,5,0,28,63,0
"24","2014/04/01 19:23",8,16,5,8,4,6,10,8,4,6,5,100,100,0
"25","2014/04/01 19:28",12,15,10,11,7,30,6,27,0,32,0,100,100,0
"26","2014/04/01 19:33",0,0,0,0,0,16,0,0,0,0,0,50,100,0
"27","2014/04/01 19:38",2,0,42,0,55,15,60,76,0,20,59,100,85,0
"28","2014/04/01 19:43",0,0,0,0,0,0,0,0,0,0,0,100,100,0
"29","2014/04/01 19:48",0,0,0,0,0,0,0,0,0,0,0,100,100,0
"30","2014/04/01 19:53",0,0,0,0,0,0,0,0,0,0,0,40,86,0
"31","2014/04/01 19:58",0,0,0,0,0,14,0,0,0,0,0,100,100,0
"32","2014/04/01 20:03",6,0,0,0,0,14,0,0,0,0,0,47,100,0
"33","2014/04/01 20:08",0,0,0,0,0,0,0,0,0,0,0,42,40,0
"34","2014/04/01 20:13",0,0,0,0,0,37,0,0,0,0,0,100,90,0
"35","2014/04/01 20:18",0,0,0,0,0,0,0,0,0,0,0,28,68,0
"36","2014/04/01 20:23",0,0,0,0,0,0,0,0,0,0,0,100,100,0
"37","2014/04/01 20:28",0,0,0,0,0,0,0,0,0,0,0,100,100,0
"38","2014/04/01 20:33",0,0,0,0,0,0,0,0,0,0,0,56,100,0
"39","2014/04/01 20:38",0,0,0,0,0,10,0,0,0,18,0,100,85,0
"40","2014/04/01 20:43",0,0,0,0,0,80,0,0,0,0,0,100,100,0
"41","2014/04/01 20:48",0,0,0,0,0,100,0,0,0,0,0,100,100,0
"42","2014/04/01 20:53",0,0,0,0,0,0,0,0,0,0,0,40,66,0
"43","2014/04/01 20:58",0,0,0,0,100,0,0,0,0,0,0,100,100,0
"44","2014/04/01 21:03",0,0,0,0,0,0,0,0,0,0,0,47,100,0
"45","2014/04/01 21:08",0,0,0,0,0,0,0,0,0,0,0,42,40,0
"46","2014/04/01 21:13",0,0,0,0,0,33,0,0,0,0,0,100,90,0
"47","2014/04/01 21:18",0,0,0,0,0,0,0,0,0,0,0,28,73,0
"48","2014/04/01 21:23",0,0,0,0,0,12,0,0,0,0,0,66,100,0
"49","2014/04/01 21:28",0,0,0,0,0,0,0,0,0,0,0,100,100,0
"50","2014/04/01 21:33",0,0,0,0,0,0,0,0,0,0,0,56,100,0
"51","2014/04/01 21:38",0,0,0,0,0,0,0,0,0,0,0,100,85,0
"52","2014/04/01 21:43",5,5,0,4,0,11,33,0,0,0,0,100,100,0
"53","2014/04/01 21:48",10,0,0,15,9,40,0,0,0,0,0,100,100,0
"54","2014/04/01 21:53",0,0,0,0,0,25,100,0,0,0,0,40,66,0
"55","2014/04/01 21:58",0,0,0,0,20,28,0,0,0,0,0,66,100,0
"56","2014/04/01 22:03",5,33,0,0,12,0,0,0,0,100,0,54,100,0
"57","2014/04/01 22:08",5,0,0,0,0,0,0,0,0,0,0,42,40,0
"58","2014/04/01 22:13",0,0,0,0,0,20,33,0,0,0,0,100,90,0
"59","2014/04/01 22:18",10,0,0,0,0,0,100,0,0,0,0,35,63,0
"60","2014/04/01 22:23",15,0,75,0,0,0,37,0,0,0,0,100,100,0
"61","2014/04/01 22:28",8,0,13,0,0,0,0,0,0,0,0,100,100,0
"62","2014/04/01 22:33",0,25,40,0,0,16,0,0,0,0,0,67,100,0
"63","2014/04/01 22:38",0,0,11,0,40,25,0,0,0,0,0,100,85,0
"64","2014/04/01 22:43",5,0,11,0,14,0,80,0,0,8,3,100,100,0
"65","2014/04/01 22:48",7,0,0,0,0,25,66,0,0,0,0,100,100,0
"66","2014/04/01 22:53",0,0,0,20,50,0,100,0,0,0,0,35,86,0
"67","2014/04/01 22:58",0,0,0,0,0,0,0,0,0,0,0,100,100,0
"68","2014/04/01 23:03",0,0,0,0,0,100,100,0,0,0,0,25,17,0
"69","2014/04/01 23:08",0,0,0,0,0,0,0,0,0,0,0,57,75,0
"70","2014/04/01 23:13",0,0,0,0,0,0,0,0,0,0,0,100,90,0
"71","2014/04/01 23:18",0,0,0,0,0,100,0,0,0,0,0,28,42,0
"72","2014/04/01 23:23",0,0,0,0,0,0,0,0,0,0,0,100,100,0
"73","2014/04/01 23:28",0,0,0,16,0,0,0,0,0,0,0,100,50,0
"74","2014/04/01 23:33",0,0,0,0,0,0,0,0,0,0,0,50,50,0
"75","2014/04/01 23:38",25,0,50,0,9,0,50,0,0,90,0,100,85,0
"76","2014/04/01 23:43",0,0,0,0,33,0,100,0,0,100,0,100,100,0
"77","2014/04/01 23:48",0,0,0,0,33,0,100,0,0,100,0,100,0,0
"78","2014/04/01 23:53",14,50,0,0,20,0,100,100,0,100,0,35,58,0
"79","2014/04/01 23:58",40,0,0,0,100,0,100,0,0,0,0,100,50,0
"80","2014/04/02 00:03",100,0,0,0,100,0,100,0,0,0,0,45,0,0
"81","2014/04/02 00:08",0,0,0,0,0,0,100,100,0,0,0,42,20,0
"82","2014/04/02 00:13",0,0,0,0,83,57,50,0,0,0,0,100,37,0
"83","2014/04/02 00:18",0,0,0,0,20,0,0,0,0,100,0,28,31,0
"84","2014/04/02 00:23",41,55,33,40,92,0,100,50,100,33,50,100,0,0
"85","2014/04/02 00:28",36,0,0,0,14,0,100,0,0,33,0,100,50,0
"86","2014/04/02 00:33",100,0,0,0,97,0,100,0,0,100,0,53,50,0
"87","2014/04/02 00:38",35,0,0,0,0,0,50,0,80,0,100,100,40,0
"88","2014/04/02 00:43",53,0,0,0,46,14,66,0,100,50,0,100,50,0
"89","2014/04/02 00:48",42,0,0,0,25,0,33,0,14,25,0,100,50,0
"90","2014/04/02 00:53",37,0,100,77,56,50,80,0,62,25,0,40,66,0
"91","2014/04/02 00:58",8,0,0,0,25,55,33,66,20,0,0,100,50,0
"92","2014/04/02 01:03",0,0,0,20,25,0,100,0,0,0,0,41,0,0
"93","2014/04/02 01:08",0,0,0,0,42,14,0,0,0,0,0,42,20,0
"94","2014/04/02 01:13",0,0,0,0,12,26,0,0,0,0,0,100,43,0
"95","2014/04/02 01:18",0,0,0,0,0,18,0,0,0,0,100,28,57,0
"96","2014/04/02 01:23",0,0,0,0,0,0,57,23,9,1,1,100,100,0
