LDEV_Rnd_Read_Hit_X491-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:01:DF X"
"1","2014/04/01 17:28",91
"2","2014/04/01 17:33",91
"3","2014/04/01 17:38",89
"4","2014/04/01 17:43",89
"5","2014/04/01 17:48",59
"6","2014/04/01 17:53",85
"7","2014/04/01 17:58",81
"8","2014/04/01 18:03",90
"9","2014/04/01 18:08",93
"10","2014/04/01 18:13",73
"11","2014/04/01 18:18",42
"12","2014/04/01 18:23",55
"13","2014/04/01 18:28",88
"14","2014/04/01 18:33",92
"15","2014/04/01 18:38",91
"16","2014/04/01 18:43",93
"17","2014/04/01 18:48",52
"18","2014/04/01 18:53",44
"19","2014/04/01 18:58",74
"20","2014/04/01 19:03",88
"21","2014/04/01 19:08",91
"22","2014/04/01 19:13",76
"23","2014/04/01 19:18",46
"24","2014/04/01 19:23",52
"25","2014/04/01 19:28",85
"26","2014/04/01 19:33",87
"27","2014/04/01 19:38",56
"28","2014/04/01 19:43",70
"29","2014/04/01 19:48",38
"30","2014/04/01 19:53",36
"31","2014/04/01 19:58",42
"32","2014/04/01 20:03",89
"33","2014/04/01 20:08",77
"34","2014/04/01 20:13",86
"35","2014/04/01 20:18",37
"36","2014/04/01 20:23",52
"37","2014/04/01 20:28",51
"38","2014/04/01 20:33",39
"39","2014/04/01 20:38",58
"40","2014/04/01 20:43",92
"41","2014/04/01 20:48",63
"42","2014/04/01 20:53",32
"43","2014/04/01 20:58",46
"44","2014/04/01 21:03",88
"45","2014/04/01 21:08",50
"46","2014/04/01 21:13",60
"47","2014/04/01 21:18",34
"48","2014/04/01 21:23",34
"49","2014/04/01 21:28",88
"50","2014/04/01 21:33",52
"51","2014/04/01 21:38",71
"52","2014/04/01 21:43",90
"53","2014/04/01 21:48",81
"54","2014/04/01 21:53",37
"55","2014/04/01 21:58",44
"56","2014/04/01 22:03",58
"57","2014/04/01 22:08",64
"58","2014/04/01 22:13",62
"59","2014/04/01 22:18",58
"60","2014/04/01 22:23",53
"61","2014/04/01 22:28",64
"62","2014/04/01 22:33",71
"63","2014/04/01 22:38",66
"64","2014/04/01 22:43",78
"65","2014/04/01 22:48",78
"66","2014/04/01 22:53",69
"67","2014/04/01 22:58",71
"68","2014/04/01 23:03",59
"69","2014/04/01 23:08",59
"70","2014/04/01 23:13",65
"71","2014/04/01 23:18",63
"72","2014/04/01 23:23",76
"73","2014/04/01 23:28",77
"74","2014/04/01 23:33",86
"75","2014/04/01 23:38",84
"76","2014/04/01 23:43",83
"77","2014/04/01 23:48",84
"78","2014/04/01 23:53",84
"79","2014/04/01 23:58",68
"80","2014/04/02 00:03",74
"81","2014/04/02 00:08",81
"82","2014/04/02 00:13",80
"83","2014/04/02 00:18",68
"84","2014/04/02 00:23",53
"85","2014/04/02 00:28",70
"86","2014/04/02 00:33",88
"87","2014/04/02 00:38",82
"88","2014/04/02 00:43",88
"89","2014/04/02 00:48",87
"90","2014/04/02 00:53",65
"91","2014/04/02 00:58",60
"92","2014/04/02 01:03",65
"93","2014/04/02 01:08",87
"94","2014/04/02 01:13",65
"95","2014/04/02 01:18",40
"96","2014/04/02 01:23",43
