LDEV_Rnd_Read_Hit_X584-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:0C:0B X"
"1","2014/04/01 17:28",90
"2","2014/04/01 17:33",86
"3","2014/04/01 17:38",87
"4","2014/04/01 17:43",90
"5","2014/04/01 17:48",84
"6","2014/04/01 17:53",82
"7","2014/04/01 17:58",95
"8","2014/04/01 18:03",85
"9","2014/04/01 18:08",91
"10","2014/04/01 18:13",87
"11","2014/04/01 18:18",84
"12","2014/04/01 18:23",86
"13","2014/04/01 18:28",81
"14","2014/04/01 18:33",78
"15","2014/04/01 18:38",82
"16","2014/04/01 18:43",86
"17","2014/04/01 18:48",85
"18","2014/04/01 18:53",78
"19","2014/04/01 18:58",82
"20","2014/04/01 19:03",80
"21","2014/04/01 19:08",76
"22","2014/04/01 19:13",85
"23","2014/04/01 19:18",81
"24","2014/04/01 19:23",84
"25","2014/04/01 19:28",78
"26","2014/04/01 19:33",70
"27","2014/04/01 19:38",82
"28","2014/04/01 19:43",49
"29","2014/04/01 19:48",51
"30","2014/04/01 19:53",41
"31","2014/04/01 19:58",81
"32","2014/04/01 20:03",83
"33","2014/04/01 20:08",86
"34","2014/04/01 20:13",91
"35","2014/04/01 20:18",94
"36","2014/04/01 20:23",95
"37","2014/04/01 20:28",91
"38","2014/04/01 20:33",91
"39","2014/04/01 20:38",95
"40","2014/04/01 20:43",95
"41","2014/04/01 20:48",95
"42","2014/04/01 20:53",90
"43","2014/04/01 20:58",93
"44","2014/04/01 21:03",93
"45","2014/04/01 21:08",64
"46","2014/04/01 21:13",81
"47","2014/04/01 21:18",81
"48","2014/04/01 21:23",76
"49","2014/04/01 21:28",87
"50","2014/04/01 21:33",69
"51","2014/04/01 21:38",82
"52","2014/04/01 21:43",81
"53","2014/04/01 21:48",77
"54","2014/04/01 21:53",85
"55","2014/04/01 21:58",75
"56","2014/04/01 22:03",71
"57","2014/04/01 22:08",57
"58","2014/04/01 22:13",70
"59","2014/04/01 22:18",77
"60","2014/04/01 22:23",70
"61","2014/04/01 22:28",60
"62","2014/04/01 22:33",57
"63","2014/04/01 22:38",58
"64","2014/04/01 22:43",70
"65","2014/04/01 22:48",64
"66","2014/04/01 22:53",56
"67","2014/04/01 22:58",57
"68","2014/04/01 23:03",54
"69","2014/04/01 23:08",57
"70","2014/04/01 23:13",71
"71","2014/04/01 23:18",68
"72","2014/04/01 23:23",70
"73","2014/04/01 23:28",69
"74","2014/04/01 23:33",71
"75","2014/04/01 23:38",70
"76","2014/04/01 23:43",77
"77","2014/04/01 23:48",68
"78","2014/04/01 23:53",74
"79","2014/04/01 23:58",76
"80","2014/04/02 00:03",76
"81","2014/04/02 00:08",75
"82","2014/04/02 00:13",75
"83","2014/04/02 00:18",73
"84","2014/04/02 00:23",75
"85","2014/04/02 00:28",80
"86","2014/04/02 00:33",80
"87","2014/04/02 00:38",75
"88","2014/04/02 00:43",80
"89","2014/04/02 00:48",88
"90","2014/04/02 00:53",76
"91","2014/04/02 00:58",85
"92","2014/04/02 01:03",84
"93","2014/04/02 01:08",65
"94","2014/04/02 01:13",82
"95","2014/04/02 01:18",81
"96","2014/04/02 01:23",81
