LDEV_Rnd_Read_Hit_X504-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:01:EF X"
"1","2014/04/01 17:28",73
"2","2014/04/01 17:33",75
"3","2014/04/01 17:38",50
"4","2014/04/01 17:43",88
"5","2014/04/01 17:48",33
"6","2014/04/01 17:53",18
"7","2014/04/01 17:58",52
"8","2014/04/01 18:03",58
"9","2014/04/01 18:08",34
"10","2014/04/01 18:13",46
"11","2014/04/01 18:18",7
"12","2014/04/01 18:23",16
"13","2014/04/01 18:28",78
"14","2014/04/01 18:33",71
"15","2014/04/01 18:38",53
"16","2014/04/01 18:43",84
"17","2014/04/01 18:48",12
"18","2014/04/01 18:53",11
"19","2014/04/01 18:58",35
"20","2014/04/01 19:03",71
"21","2014/04/01 19:08",44
"22","2014/04/01 19:13",50
"23","2014/04/01 19:18",9
"24","2014/04/01 19:23",10
"25","2014/04/01 19:28",75
"26","2014/04/01 19:33",63
"27","2014/04/01 19:38",7
"28","2014/04/01 19:43",36
"29","2014/04/01 19:48",27
"30","2014/04/01 19:53",19
"31","2014/04/01 19:58",12
"32","2014/04/01 20:03",66
"33","2014/04/01 20:08",18
"34","2014/04/01 20:13",83
"35","2014/04/01 20:18",5
"36","2014/04/01 20:23",16
"37","2014/04/01 20:28",18
"38","2014/04/01 20:33",11
"39","2014/04/01 20:38",6
"40","2014/04/01 20:43",81
"41","2014/04/01 20:48",15
"42","2014/04/01 20:53",6
"43","2014/04/01 20:58",16
"44","2014/04/01 21:03",54
"45","2014/04/01 21:08",4
"46","2014/04/01 21:13",22
"47","2014/04/01 21:18",5
"48","2014/04/01 21:23",7
"49","2014/04/01 21:28",67
"50","2014/04/01 21:33",15
"51","2014/04/01 21:38",15
"52","2014/04/01 21:43",86
"53","2014/04/01 21:48",54
"54","2014/04/01 21:53",17
"55","2014/04/01 21:58",15
"56","2014/04/01 22:03",53
"57","2014/04/01 22:08",58
"58","2014/04/01 22:13",60
"59","2014/04/01 22:18",44
"60","2014/04/01 22:23",47
"61","2014/04/01 22:28",59
"62","2014/04/01 22:33",57
"63","2014/04/01 22:38",65
"64","2014/04/01 22:43",73
"65","2014/04/01 22:48",77
"66","2014/04/01 22:53",62
"67","2014/04/01 22:58",68
"68","2014/04/01 23:03",56
"69","2014/04/01 23:08",64
"70","2014/04/01 23:13",61
"71","2014/04/01 23:18",61
"72","2014/04/01 23:23",70
"73","2014/04/01 23:28",66
"74","2014/04/01 23:33",79
"75","2014/04/01 23:38",85
"76","2014/04/01 23:43",77
"77","2014/04/01 23:48",80
"78","2014/04/01 23:53",70
"79","2014/04/01 23:58",60
"80","2014/04/02 00:03",58
"81","2014/04/02 00:08",77
"82","2014/04/02 00:13",74
"83","2014/04/02 00:18",40
"84","2014/04/02 00:23",25
"85","2014/04/02 00:28",62
"86","2014/04/02 00:33",77
"87","2014/04/02 00:38",32
"88","2014/04/02 00:43",72
"89","2014/04/02 00:48",84
"90","2014/04/02 00:53",30
"91","2014/04/02 00:58",39
"92","2014/04/02 01:03",55
"93","2014/04/02 01:08",65
"94","2014/04/02 01:13",25
"95","2014/04/02 01:18",19
"96","2014/04/02 01:23",14
