LDEV_Rnd_Read_Hit_X529-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:02:DA X"
"1","2014/04/01 17:28",76
"2","2014/04/01 17:33",92
"3","2014/04/01 17:38",72
"4","2014/04/01 17:43",84
"5","2014/04/01 17:48",62
"6","2014/04/01 17:53",22
"7","2014/04/01 17:58",48
"8","2014/04/01 18:03",90
"9","2014/04/01 18:08",71
"10","2014/04/01 18:13",51
"11","2014/04/01 18:18",60
"12","2014/04/01 18:23",28
"13","2014/04/01 18:28",75
"14","2014/04/01 18:33",92
"15","2014/04/01 18:38",81
"16","2014/04/01 18:43",82
"17","2014/04/01 18:48",62
"18","2014/04/01 18:53",21
"19","2014/04/01 18:58",41
"20","2014/04/01 19:03",91
"21","2014/04/01 19:08",77
"22","2014/04/01 19:13",52
"23","2014/04/01 19:18",61
"24","2014/04/01 19:23",25
"25","2014/04/01 19:28",72
"26","2014/04/01 19:33",89
"27","2014/04/01 19:38",29
"28","2014/04/01 19:43",70
"29","2014/04/01 19:48",50
"30","2014/04/01 19:53",22
"31","2014/04/01 19:58",16
"32","2014/04/01 20:03",89
"33","2014/04/01 20:08",71
"34","2014/04/01 20:13",70
"35","2014/04/01 20:18",58
"36","2014/04/01 20:23",23
"37","2014/04/01 20:28",17
"38","2014/04/01 20:33",50
"39","2014/04/01 20:38",28
"40","2014/04/01 20:43",76
"41","2014/04/01 20:48",77
"42","2014/04/01 20:53",13
"43","2014/04/01 20:58",19
"44","2014/04/01 21:03",88
"45","2014/04/01 21:08",17
"46","2014/04/01 21:13",19
"47","2014/04/01 21:18",56
"48","2014/04/01 21:23",15
"49","2014/04/01 21:28",67
"50","2014/04/01 21:33",63
"51","2014/04/01 21:38",36
"52","2014/04/01 21:43",90
"53","2014/04/01 21:48",82
"54","2014/04/01 21:53",21
"55","2014/04/01 21:58",17
"56","2014/04/01 22:03",61
"57","2014/04/01 22:08",59
"58","2014/04/01 22:13",63
"59","2014/04/01 22:18",63
"60","2014/04/01 22:23",53
"61","2014/04/01 22:28",55
"62","2014/04/01 22:33",71
"63","2014/04/01 22:38",69
"64","2014/04/01 22:43",77
"65","2014/04/01 22:48",82
"66","2014/04/01 22:53",61
"67","2014/04/01 22:58",70
"68","2014/04/01 23:03",59
"69","2014/04/01 23:08",59
"70","2014/04/01 23:13",67
"71","2014/04/01 23:18",70
"72","2014/04/01 23:23",74
"73","2014/04/01 23:28",71
"74","2014/04/01 23:33",86
"75","2014/04/01 23:38",83
"76","2014/04/01 23:43",83
"77","2014/04/01 23:48",86
"78","2014/04/01 23:53",62
"79","2014/04/01 23:58",55
"80","2014/04/02 00:03",78
"81","2014/04/02 00:08",80
"82","2014/04/02 00:13",76
"83","2014/04/02 00:18",70
"84","2014/04/02 00:23",31
"85","2014/04/02 00:28",60
"86","2014/04/02 00:33",90
"87","2014/04/02 00:38",71
"88","2014/04/02 00:43",79
"89","2014/04/02 00:48",91
"90","2014/04/02 00:53",46
"91","2014/04/02 00:58",51
"92","2014/04/02 01:03",75
"93","2014/04/02 01:08",63
"94","2014/04/02 01:13",33
"95","2014/04/02 01:18",53
"96","2014/04/02 01:23",26
