LDEV_TransRate0C.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:0C:00X(X573-1)","00:0C:01X(X574-1)","00:0C:02X(X575-1)","00:0C:03X(X576-1)","00:0C:04X(X577-1)","00:0C:05X(X578-1)","00:0C:06X(X579-1)","00:0C:07X(X580-1)","00:0C:08X(X581-1)","00:0C:09X(X582-1)","00:0C:0AX(X583-1)","00:0C:0BX(X584-1)","00:0C:0CX(X585-1)"
"1","2014/04/01 17:28",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"2","2014/04/01 17:33",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"3","2014/04/01 17:38",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"4","2014/04/01 17:43",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"5","2014/04/01 17:48",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"6","2014/04/01 17:53",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"7","2014/04/01 17:58",68,73,165,82,90,117,75,91,81,93,84,46,91
"8","2014/04/01 18:03",108,150,213,184,183,247,152,223,168,215,163,145,203
"9","2014/04/01 18:08",84,107,130,127,143,146,107,117,126,116,111,114,133
"10","2014/04/01 18:13",129,149,225,158,190,203,156,177,160,201,132,117,186
"11","2014/04/01 18:18",137,116,157,158,132,174,108,140,132,169,130,114,149
"12","2014/04/01 18:23",156,184,292,237,270,350,269,265,237,323,217,181,285
"13","2014/04/01 18:28",305,341,357,317,324,485,339,330,367,293,318,382,355
"14","2014/04/01 18:33",201,257,315,240,301,376,267,281,280,271,284,247,295
"15","2014/04/01 18:38",258,314,344,313,312,522,328,367,376,312,300,351,372
"16","2014/04/01 18:43",131,190,244,205,255,259,178,209,199,241,148,152,200
"17","2014/04/01 18:48",97,120,130,122,158,191,123,141,184,149,118,78,159
"18","2014/04/01 18:53",121,144,211,184,212,283,161,200,205,194,125,145,203
"19","2014/04/01 18:58",77,120,127,116,144,187,134,109,147,129,90,104,134
