LDEV_TransRate5D.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:5D:00X(X197-1)","00:5D:01(13-1)","00:5D:02(13-1)","00:5D:03(13-1)","00:5D:04(13-1)","00:5D:05(13-1)","00:5D:06(13-1)","00:5D:07(5-14)","00:5D:08(5-14)","00:5D:09X(X447-1)","00:5D:0AX(X280-1)"
"46","2014/04/01 21:13",0,0,0,0,0,0,0,0,0,0,0
"47","2014/04/01 21:18",6,0,0,0,0,0,0,0,0,0,0
"48","2014/04/01 21:23",5,0,0,0,0,0,0,0,0,0,0
"49","2014/04/01 21:28",360,0,0,0,0,0,0,0,0,0,0
"50","2014/04/01 21:33",10,0,0,0,0,0,0,0,0,0,0
"51","2014/04/01 21:38",0,0,0,0,0,0,0,0,0,0,0
"52","2014/04/01 21:43",6,0,0,0,0,0,0,0,0,0,0
"53","2014/04/01 21:48",0,0,0,0,0,0,0,0,0,0,0
"54","2014/04/01 21:53",6,0,0,0,0,0,0,0,0,0,0
"55","2014/04/01 21:58",6,0,0,0,0,0,0,0,0,0,0
"56","2014/04/01 22:03",0,0,0,0,0,0,0,0,0,0,0
"57","2014/04/01 22:08",6,0,0,0,0,0,0,0,0,0,0
"58","2014/04/01 22:13",0,0,0,0,0,0,0,0,0,0,0
"59","2014/04/01 22:18",6,0,0,0,0,0,0,0,0,0,0
"60","2014/04/01 22:23",6,0,0,0,0,0,0,0,0,0,0
"61","2014/04/01 22:28",0,0,0,0,0,0,0,0,0,0,0
"62","2014/04/01 22:33",6,0,0,0,0,0,0,0,0,0,0
"63","2014/04/01 22:38",0,0,0,0,0,0,0,0,0,0,0
"64","2014/04/01 22:43",6,0,0,0,0,0,0,0,0,0,0
"65","2014/04/01 22:48",6,0,0,0,0,0,0,0,0,0,0
"66","2014/04/01 22:53",0,0,0,0,0,0,0,0,0,0,0
"67","2014/04/01 22:58",98,0,0,0,0,14,0,0,0,0,0
"68","2014/04/01 23:03",274,3,0,0,0,45998,0,0,5735,268,517
"69","2014/04/01 23:08",6,9,0,0,0,13212,0,0,3439,0,53
"70","2014/04/01 23:13",0,1,0,0,0,148,0,0,0,19,26
"71","2014/04/01 23:18",5,0,0,0,0,42,0,0,0,84979,28
"72","2014/04/01 23:23",0,0,0,0,0,30,0,0,0,85524,34
"73","2014/04/01 23:28",5,0,0,0,0,25,0,0,0,92494,28
"74","2014/04/01 23:33",0,0,0,0,0,23,0,0,0,97936,15
"75","2014/04/01 23:38",5,0,0,0,0,23,0,0,0,96337,15
"76","2014/04/01 23:43",6,0,0,0,0,22,0,0,0,98094,13
"77","2014/04/01 23:48",0,0,0,0,0,24,0,0,0,99085,11
"78","2014/04/01 23:53",5,0,0,0,0,24,0,0,0,86086,64
"79","2014/04/01 23:58",0,0,0,0,0,17,0,0,0,96111,13
"80","2014/04/02 00:03",5,0,0,0,0,14,0,0,0,99992,29
"81","2014/04/02 00:08",6,0,0,0,0,14,0,0,0,99825,14
"82","2014/04/02 00:13",0,0,0,0,0,16,0,0,0,99445,38
"83","2014/04/02 00:18",8,0,0,0,0,52,0,0,0,101131,0
"84","2014/04/02 00:23",0,0,0,0,0,13,0,0,0,100876,0
"85","2014/04/02 00:28",5,0,0,0,0,12,0,0,0,76504,0
"86","2014/04/02 00:33",0,0,0,0,0,15,0,0,0,98011,0
"87","2014/04/02 00:38",6,0,0,0,0,15,0,0,0,100230,0
"88","2014/04/02 00:43",5,0,0,0,0,16,0,0,0,99105,0
"89","2014/04/02 00:48",0,0,0,0,0,15,0,0,0,97301,0
"90","2014/04/02 00:53",7,0,0,0,0,15,0,0,0,97119,0
"91","2014/04/02 00:58",0,0,0,0,0,12,0,0,0,99466,0
"92","2014/04/02 01:03",5,0,0,0,0,13,0,0,0,99875,0
"93","2014/04/02 01:08",6,0,0,0,0,15,0,0,0,94716,0
"94","2014/04/02 01:13",0,0,0,0,0,16,0,0,0,97481,0
"95","2014/04/02 01:18",5,0,0,0,0,15,0,0,0,99874,0
"96","2014/04/02 01:23",0,0,0,0,0,9,0,0,0,99532,0
