LDEV_TransRate10.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:10:00X(X327-1)","00:10:01X(X404-1)","00:10:02X(X246-1)","00:10:03X(X247-1)","00:10:04X(X248-1)","00:10:05X(X853-1)","00:10:06X(X612-1)","00:10:07X(X675-1)","00:10:08X(X712-1)","00:10:09X(X32-1)","00:10:0AX(X51-1)","00:10:0CX(X170-1)","00:10:0DX(X221-1)","00:10:C2X(X217-1)"
"59","2014/04/01 22:18",157,164,124,12,1,3,0,0,0,0,0,0,0,0
"60","2014/04/01 22:23",137,158,122,12,1,3,0,0,0,0,0,0,0,0
"61","2014/04/01 22:28",147,161,122,12,1,2,0,0,0,0,0,0,0,0
"62","2014/04/01 22:33",140,155,122,12,1,3,0,0,0,0,0,0,0,0
"63","2014/04/01 22:38",153,154,124,12,1,3,0,0,0,0,0,0,0,0
"64","2014/04/01 22:43",142,159,127,12,1,3,0,0,0,0,0,0,0,0
"65","2014/04/01 22:48",145,154,122,12,1,3,0,0,0,0,0,0,0,0
"66","2014/04/01 22:53",151,163,123,12,1,3,0,0,0,0,0,0,0,0
"67","2014/04/01 22:58",149,158,121,12,1,2,0,0,0,0,0,0,0,0
"68","2014/04/01 23:03",152,162,149,12,1,4,0,0,0,0,0,0,0,0
"69","2014/04/01 23:08",154,163,192,12,1,3,0,0,0,0,0,0,0,0
"70","2014/04/01 23:13",155,337,612,62,1,3,0,0,0,0,0,0,3,0
"71","2014/04/01 23:18",152,160,122,13,1,3,0,0,0,0,0,0,0,0
"72","2014/04/01 23:23",142,158,122,12,1,3,0,0,0,0,0,0,0,0
"73","2014/04/01 23:28",153,163,127,12,1,3,0,0,0,0,0,0,0,0
"74","2014/04/01 23:33",138,160,122,12,1,3,0,0,0,0,0,0,0,0
"75","2014/04/01 23:38",151,163,123,12,1,3,0,0,0,0,0,0,0,0
"76","2014/04/01 23:43",148,197,121,12,1,3,0,0,0,0,0,0,0,0
"77","2014/04/01 23:48",143,161,120,12,1,3,0,0,0,0,0,0,0,0
"78","2014/04/01 23:53",143,164,129,12,1,3,0,0,0,0,0,0,0,0
"79","2014/04/01 23:58",142,158,121,12,1,3,0,0,0,0,0,0,0,0
"80","2014/04/02 00:03",156,164,148,12,1,10,0,0,0,0,0,0,0,0
"81","2014/04/02 00:08",144,163,151,12,1,3,0,0,0,0,0,0,0,0
"82","2014/04/02 00:13",143,159,125,12,1,4,0,0,0,0,0,0,0,0
"83","2014/04/02 00:18",156,166,335,16,1,3,0,0,0,0,0,0,0,0
"84","2014/04/02 00:23",151,160,308,13,1,3,0,0,0,0,0,0,0,0
"85","2014/04/02 00:28",154,166,121,12,1,3,0,0,0,0,0,0,0,0
"86","2014/04/02 00:33",145,153,122,12,1,3,0,0,0,0,0,0,0,0
"87","2014/04/02 00:38",154,162,130,12,1,3,0,0,0,0,0,0,0,0
"88","2014/04/02 00:43",144,158,122,12,1,3,0,0,0,0,0,0,2,0
"89","2014/04/02 00:48",153,162,121,12,1,3,0,0,0,0,0,0,0,0
"90","2014/04/02 00:53",151,164,122,12,1,3,0,0,0,0,0,0,0,0
"91","2014/04/02 00:58",144,152,122,12,1,3,0,0,0,0,0,0,0,0
"92","2014/04/02 01:03",157,165,151,12,1,3,0,0,0,0,0,0,0,0
"93","2014/04/02 01:08",144,153,151,12,1,3,0,0,0,0,0,0,0,0
"94","2014/04/02 01:13",159,322,829,501,1,3,0,0,0,0,0,0,0,0
"95","2014/04/02 01:18",149,160,123,12,1,3,0,0,0,0,0,0,0,0
"96","2014/04/02 01:23",154,164,129,12,1,3,0,0,0,0,0,0,0,0
