LDEV_TransRate16.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:16:00X(X154-1)","00:16:04X(X196-1)","00:16:05X(X654-1)","00:16:08X(X656-1)","00:16:0FX(X81-1)","00:16:10X(X192-1)","00:16:11X(X190-1)","00:16:12X(X193-1)","00:16:13(11-12)","00:16:14(11-13)","00:16:15(11-13)","00:16:16X(X670-1)","00:16:24X(X571-1)"
"1","2014/04/01 17:28",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"2","2014/04/01 17:33",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"3","2014/04/01 17:38",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"4","2014/04/01 17:43",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"5","2014/04/01 17:48",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"6","2014/04/01 17:53",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"7","2014/04/01 17:58",47,141,0,0,29,0,0,0,2,1,0,277,107
"8","2014/04/01 18:03",66,126,0,0,26,0,0,0,1,0,0,227,99
"9","2014/04/01 18:08",39,90,0,0,26,0,0,0,0,0,0,375,76
"10","2014/04/01 18:13",46,88,0,0,25,0,0,0,4,0,0,332,77
"11","2014/04/01 18:18",35,96,0,0,28,0,0,0,0,1,0,276,83
"12","2014/04/01 18:23",41,82,0,0,74,0,0,0,4,8,0,238,78
"13","2014/04/01 18:28",45,103,0,0,31,0,0,0,0,2,0,172,87
"14","2014/04/01 18:33",37,96,0,0,12,0,0,0,12,1,0,178,75
"15","2014/04/01 18:38",37,100,0,0,38,0,0,0,0,2,0,179,87
"16","2014/04/01 18:43",44,75,0,0,10,0,0,0,0,8,0,250,76
"17","2014/04/01 18:48",35,119,0,0,9,0,0,0,30,12,0,165,99
"18","2014/04/01 18:53",34,83,0,0,20,0,0,0,2,3,0,269,78
"19","2014/04/01 18:58",41,132,0,0,26,0,0,0,4,0,0,211,104
