LDEV_TransRateF0.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:F0:00X(X175-1)","00:F0:01X(X5-1)","00:F0:02X(X391-1)","00:F0:03X(X270-1)","00:F0:1AX(X450-1)","00:F0:59X(X369-1)","00:F0:67X(X484-1)","00:F0:68X(X485-1)","00:F0:69X(X486-1)"
"85","2014/04/02 00:28",184,0,475,499,503,0,5971,5961,6077
"86","2014/04/02 00:33",187,0,478,504,504,0,5923,5811,5959
"87","2014/04/02 00:38",177,0,478,490,510,0,3206,3313,3277
"88","2014/04/02 00:43",180,0,483,483,506,0,3392,3467,3435
"89","2014/04/02 00:48",178,0,463,483,486,0,6927,6903,6977
"90","2014/04/02 00:53",180,0,463,486,488,0,7472,7539,7527
"91","2014/04/02 00:58",180,0,464,487,492,0,7198,7269,7291
"92","2014/04/02 01:03",629,0,825,849,845,0,3760,3751,3778
"93","2014/04/02 01:08",180,0,468,491,497,0,2225,2324,2265
"94","2014/04/02 01:13",183,0,472,496,497,0,3174,3264,3263
"95","2014/04/02 01:18",183,0,472,496,501,0,3330,3414,3283
"96","2014/04/02 01:23",184,0,476,501,500,0,3776,3856,3842
