LDEV_TransRate40.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:40:00X(X275-1)","00:40:01X(X276-1)","00:40:06X(X6-1)","00:40:1EX(X31-1)"
"1","2014/04/01 17:28",-4,-4,-4,-4
"2","2014/04/01 17:33",-4,-4,-4,-4
"3","2014/04/01 17:38",-4,-4,-4,-4
"4","2014/04/01 17:43",-4,-4,-4,-4
"5","2014/04/01 17:48",-4,-4,-4,-4
"6","2014/04/01 17:53",-4,-4,-4,-4
"7","2014/04/01 17:58",0,0,3255,47
"8","2014/04/01 18:03",0,0,2107,48
"9","2014/04/01 18:08",0,0,5910,47
"10","2014/04/01 18:13",0,0,4718,48
"11","2014/04/01 18:18",0,0,19116,47
"12","2014/04/01 18:23",0,0,18508,48
"13","2014/04/01 18:28",0,0,5213,47
"14","2014/04/01 18:33",0,0,6582,48
"15","2014/04/01 18:38",0,0,6892,61
"16","2014/04/01 18:43",0,0,1794,47
"17","2014/04/01 18:48",0,0,1,51
"18","2014/04/01 18:53",0,0,21219,48
"19","2014/04/01 18:58",0,0,24705,47
"20","2014/04/01 19:03",0,0,6005,47
"21","2014/04/01 19:08",0,0,5490,48
"22","2014/04/01 19:13",0,0,3804,47
"23","2014/04/01 19:18",0,0,14766,35
"24","2014/04/01 19:23",0,0,26020,48
"25","2014/04/01 19:28",0,0,5338,47
"26","2014/04/01 19:33",0,0,2475,48
"27","2014/04/01 19:38",0,0,4225,47
"28","2014/04/01 19:43",0,0,5500,47
"29","2014/04/01 19:48",0,0,2711,54
"30","2014/04/01 19:53",0,0,1301,48
"31","2014/04/01 19:58",0,0,21222,47
"32","2014/04/01 20:03",0,0,18357,47
"33","2014/04/01 20:08",0,0,3915,49
"34","2014/04/01 20:13",0,0,1451,47
"35","2014/04/01 20:18",0,0,1692,49
"36","2014/04/01 20:23",0,0,3312,48
"37","2014/04/01 20:28",0,0,2792,47
"38","2014/04/01 20:33",0,0,8837,47
"39","2014/04/01 20:38",0,0,23991,48
"40","2014/04/01 20:43",0,0,8687,47
"41","2014/04/01 20:48",0,0,4312,47
"42","2014/04/01 20:53",0,0,2020,48
"43","2014/04/01 20:58",0,0,4055,47
"44","2014/04/01 21:03",0,0,2375,47
"45","2014/04/01 21:08",0,0,8117,48
"46","2014/04/01 21:13",0,0,22943,47
"47","2014/04/01 21:18",0,0,10295,47
"48","2014/04/01 21:23",0,0,1101,48
"49","2014/04/01 21:28",0,0,1650,47
"50","2014/04/01 21:33",0,0,3288,48
"51","2014/04/01 21:38",0,0,2334,47
"52","2014/04/01 21:43",0,0,5289,54
"53","2014/04/01 21:48",0,0,22598,47
"54","2014/04/01 21:53",0,0,11296,47
"55","2014/04/01 21:58",0,0,3331,48
"56","2014/04/01 22:03",0,0,878,47
"57","2014/04/01 22:08",0,0,3953,48
"58","2014/04/01 22:13",0,0,18,47
"59","2014/04/01 22:18",0,0,0,48
"60","2014/04/01 22:23",0,0,0,47
"61","2014/04/01 22:28",0,0,0,47
"62","2014/04/01 22:33",0,0,0,47
"63","2014/04/01 22:38",0,0,0,47
"64","2014/04/01 22:43",0,0,0,62
"65","2014/04/01 22:48",0,0,0,47
"66","2014/04/01 22:53",0,0,0,47
"67","2014/04/01 22:58",0,0,0,48
"68","2014/04/01 23:03",161,138,0,47
"69","2014/04/01 23:08",81,0,1,48
"70","2014/04/01 23:13",11,0,0,47
"71","2014/04/01 23:18",15,249,0,51
"72","2014/04/01 23:23",1,2,0,47
"73","2014/04/01 23:28",0,0,0,47
"74","2014/04/01 23:33",0,0,0,48
"75","2014/04/01 23:38",0,0,0,35
"76","2014/04/01 23:43",0,0,0,48
"77","2014/04/01 23:48",0,0,0,47
"78","2014/04/01 23:53",0,0,0,50
"79","2014/04/01 23:58",0,0,0,47
"80","2014/04/02 00:03",0,0,0,48
"81","2014/04/02 00:08",0,0,0,47
"82","2014/04/02 00:13",0,0,30,47
"83","2014/04/02 00:18",0,0,5,47
"84","2014/04/02 00:23",0,0,0,48
"85","2014/04/02 00:28",0,0,0,47
"86","2014/04/02 00:33",0,0,1,48
"87","2014/04/02 00:38",0,0,0,47
"88","2014/04/02 00:43",0,0,0,48
"89","2014/04/02 00:48",0,0,0,47
"90","2014/04/02 00:53",0,0,0,48
"91","2014/04/02 00:58",0,0,0,47
"92","2014/04/02 01:03",0,0,0,47
"93","2014/04/02 01:08",0,0,11067,47
"94","2014/04/02 01:13",0,0,23969,47
"95","2014/04/02 01:18",0,0,13211,48
"96","2014/04/02 01:23",0,0,22708,47
