LDEV_TransRate06.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:06:06X(X24-1)","00:06:07X(X26-1)","00:06:08X(X27-1)","00:06:09X(X25-1)","00:06:0AX(X29-1)","00:06:0CX(X172-1)","00:06:0DX(X163-1)","00:06:0EX(X406-1)","00:06:0FX(X434-1)","00:06:10X(X16-1)","00:06:11X(X446-1)","00:06:12X(X392-1)","00:06:13X(X162-1)","00:06:14X(X383-1)","00:06:15X(X444-1)","00:06:16X(X176-1)","00:06:26X(X408-1)"
"1","2014/04/01 17:28",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"2","2014/04/01 17:33",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"3","2014/04/01 17:38",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"4","2014/04/01 17:43",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"5","2014/04/01 17:48",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"6","2014/04/01 17:53",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"7","2014/04/01 17:58",209,290,0,242,243,592,478,523,585,625,498,546,946,1023,924,953,5
"8","2014/04/01 18:03",627,743,0,700,678,1013,887,934,1047,1011,919,995,1323,1436,1321,1387,5
"9","2014/04/01 18:08",214,285,0,248,250,596,475,527,590,600,498,529,859,967,872,962,3
"10","2014/04/01 18:13",216,275,0,244,246,601,472,529,592,599,501,532,859,931,875,921,7
"11","2014/04/01 18:18",214,275,0,246,239,580,474,528,594,606,501,532,867,935,878,921,2
"12","2014/04/01 18:23",216,279,0,249,234,587,473,538,600,604,503,535,875,945,887,929,5
"13","2014/04/01 18:28",217,282,0,249,236,579,477,535,600,609,504,536,875,945,886,930,2
"14","2014/04/01 18:33",207,281,0,249,235,582,476,537,601,609,506,538,876,948,889,932,3
"15","2014/04/01 18:38",206,285,0,253,239,584,489,540,597,614,510,538,886,955,899,942,3
"16","2014/04/01 18:43",210,283,0,252,240,588,481,543,579,613,512,542,883,958,899,941,7
