LDEV_Response_1-12.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:00:DD","00:00:DF","00:00:E0","00:00:E6","00:00:E7","00:00:E8","00:00:E9","00:00:EA","00:00:EB","00:00:EC","00:00:ED","00:00:EE","00:00:EF","00:20:16","00:20:17"
"52","2014/04/01 21:43",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2521,2263,1429,1496
"53","2014/04/01 21:48",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1990,1907,1250,1426
"54","2014/04/01 21:53",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,3001,2364,1272,1394
"55","2014/04/01 21:58",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2873,2332,1270,1687
"56","2014/04/01 22:03",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2302,2193,1265,1488
"57","2014/04/01 22:08",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,3166,2153,1207,2184
"58","2014/04/01 22:13",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,3120,2765,1392,1408
"59","2014/04/01 22:18",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2475,2232,1056,1303
"60","2014/04/01 22:23",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2251,1916,1366,1455
"61","2014/04/01 22:28",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,4412,2961,1152,1545
"62","2014/04/01 22:33",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,3137,2919,1095,1542
"63","2014/04/01 22:38",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2555,1999,1118,1604
"64","2014/04/01 22:43",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2507,2281,1288,1692
"65","2014/04/01 22:48",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2463,2050,885,1456
"66","2014/04/01 22:53",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2857,3384,1131,1934
