LDEV_Response_11-2.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:FA:09","00:FA:0A","00:FA:0B","00:FA:0C","00:FA:12","00:FA:13","00:FA:14","00:FA:15","00:FA:16","00:FA:17","00:FA:18","00:FA:19","00:FA:1A","00:FA:1F","00:FA:20","00:FA:21","00:FA:22","00:FA:23"
"62","2014/04/01 22:33",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,628,-3,2853,-3,-3,-3,-3,-3
"63","2014/04/01 22:38",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1328,-3,6012,-3,-3,-3,-3,-3
"64","2014/04/01 22:43",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1260,-3,6757,-3,-3,-3,-3,-3
"65","2014/04/01 22:48",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,771,-3,2649,-3,-3,-3,-3,-3
"66","2014/04/01 22:53",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1502,-3,6161,-3,-3,-3,-3,-3
"67","2014/04/01 22:58",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1257,-3,6325,-3,-3,-3,-3,-3
"68","2014/04/01 23:03",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,810,-3,3117,-3,-3,-3,-3,-3
"69","2014/04/01 23:08",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1587,-3,6157,-3,-3,-3,-3,-3
"70","2014/04/01 23:13",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1469,-3,6508,-3,-3,-3,-3,-3
"71","2014/04/01 23:18",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,894,-3,3341,-3,-3,-3,-3,-3
"72","2014/04/01 23:23",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2095,-3,9860,-3,-3,-3,-3,-3
"73","2014/04/01 23:28",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2379,-3,9746,-3,-3,-3,-3,-3
"74","2014/04/01 23:33",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,947,-3,3039,-3,-3,-3,-3,-3
"75","2014/04/01 23:38",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1715,-3,7095,-3,-3,-3,-3,-3
"76","2014/04/01 23:43",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1414,-3,6860,-3,-3,-3,-3,-3
"77","2014/04/01 23:48",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,876,-3,2778,-3,-3,-3,-3,-3
"78","2014/04/01 23:53",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1519,-3,6454,-3,-3,-3,-3,-3
"79","2014/04/01 23:58",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1436,-3,6811,-3,-3,-3,-3,-3
"80","2014/04/02 00:03",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,782,-3,2780,-3,-3,-3,-3,-3
"81","2014/04/02 00:08",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1491,-3,6509,-3,-3,-3,-3,-3
"82","2014/04/02 00:13",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1416,-3,6562,-3,-3,-3,-3,-3
"83","2014/04/02 00:18",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,748,-3,2958,-3,-3,-3,-3,-3
"84","2014/04/02 00:23",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1370,-3,7064,-3,-3,-3,-3,-3
"85","2014/04/02 00:28",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1355,-3,6260,-3,-3,-3,-3,-3
"86","2014/04/02 00:33",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,750,-3,2821,-3,-3,-3,-3,-3
"87","2014/04/02 00:38",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1349,-3,7168,-3,-3,-3,-3,-3
"88","2014/04/02 00:43",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1327,-3,6738,-3,-3,-3,-3,-3
"89","2014/04/02 00:48",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,730,-3,2489,-3,-3,-3,-3,-3
"90","2014/04/02 00:53",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1418,-3,6732,-3,-3,-3,-3,-3
"91","2014/04/02 00:58",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1288,-3,6365,-3,-3,-3,-3,-3
"92","2014/04/02 01:03",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,914,-3,3035,-3,-3,-3,-3,-3
"93","2014/04/02 01:08",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1947,-3,9307,-3,-3,-3,-3,-3
"94","2014/04/02 01:13",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2032,-3,8909,-3,-3,-3,-3,-3
"95","2014/04/02 01:18",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,999,-3,3949,-3,-3,-3,-3,-3
"96","2014/04/02 01:23",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1542,-3,6419,-3,-3,-3,-3,-3
