LDEV_Response_X536-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:02:FE X"
"1","2014/04/01 17:28",216
"2","2014/04/01 17:33",357
"3","2014/04/01 17:38",186
"4","2014/04/01 17:43",214
"5","2014/04/01 17:48",227
"6","2014/04/01 17:53",209
"7","2014/04/01 17:58",202
"8","2014/04/01 18:03",183
"9","2014/04/01 18:08",208
"10","2014/04/01 18:13",161
"11","2014/04/01 18:18",215
"12","2014/04/01 18:23",148
"13","2014/04/01 18:28",135
"14","2014/04/01 18:33",193
"15","2014/04/01 18:38",192
"16","2014/04/01 18:43",193
"17","2014/04/01 18:48",158
"18","2014/04/01 18:53",178
"19","2014/04/01 18:58",228
"20","2014/04/01 19:03",529
"21","2014/04/01 19:08",174
"22","2014/04/01 19:13",161
"23","2014/04/01 19:18",316
"24","2014/04/01 19:23",195
"25","2014/04/01 19:28",272
"26","2014/04/01 19:33",668
"27","2014/04/01 19:38",152
"28","2014/04/01 19:43",261
"29","2014/04/01 19:48",311
"30","2014/04/01 19:53",145
"31","2014/04/01 19:58",146
"32","2014/04/01 20:03",159
"33","2014/04/01 20:08",191
"34","2014/04/01 20:13",330
"35","2014/04/01 20:18",229
"36","2014/04/01 20:23",179
"37","2014/04/01 20:28",149
"38","2014/04/01 20:33",224
"39","2014/04/01 20:38",136
"40","2014/04/01 20:43",220
"41","2014/04/01 20:48",164
"42","2014/04/01 20:53",165
"43","2014/04/01 20:58",137
"44","2014/04/01 21:03",150
"45","2014/04/01 21:08",151
"46","2014/04/01 21:13",314
"47","2014/04/01 21:18",155
"48","2014/04/01 21:23",130
"49","2014/04/01 21:28",174
"50","2014/04/01 21:33",187
"51","2014/04/01 21:38",130
"52","2014/04/01 21:43",200
"53","2014/04/01 21:48",162
"54","2014/04/01 21:53",161
"55","2014/04/01 21:58",144
"56","2014/04/01 22:03",172
"57","2014/04/01 22:08",311
"58","2014/04/01 22:13",2449
"59","2014/04/01 22:18",169
"60","2014/04/01 22:23",160
"61","2014/04/01 22:28",201
"62","2014/04/01 22:33",349
"63","2014/04/01 22:38",315
"64","2014/04/01 22:43",232
"65","2014/04/01 22:48",1254
"66","2014/04/01 22:53",1339
"67","2014/04/01 22:58",1742
"68","2014/04/01 23:03",937
"69","2014/04/01 23:08",1380
"70","2014/04/01 23:13",955
"71","2014/04/01 23:18",2236
"72","2014/04/01 23:23",1479
"73","2014/04/01 23:28",4648
"74","2014/04/01 23:33",965
"75","2014/04/01 23:38",2763
"76","2014/04/01 23:43",1510
"77","2014/04/01 23:48",1848
"78","2014/04/01 23:53",1930
"79","2014/04/01 23:58",3213
"80","2014/04/02 00:03",400
"81","2014/04/02 00:08",846
"82","2014/04/02 00:13",504
"83","2014/04/02 00:18",365
"84","2014/04/02 00:23",367
"85","2014/04/02 00:28",442
"86","2014/04/02 00:33",298
"87","2014/04/02 00:38",231
"88","2014/04/02 00:43",247
"89","2014/04/02 00:48",263
"90","2014/04/02 00:53",515
"91","2014/04/02 00:58",585
"92","2014/04/02 01:03",347
"93","2014/04/02 01:08",364
"94","2014/04/02 01:13",395
"95","2014/04/02 01:18",1245
"96","2014/04/02 01:23",418
