LDEV_Response_X711-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:C8:68 X"
"1","2014/04/01 17:28",2534
"2","2014/04/01 17:33",1362
"3","2014/04/01 17:38",1468
"4","2014/04/01 17:43",1483
"5","2014/04/01 17:48",2349
"6","2014/04/01 17:53",1446
"7","2014/04/01 17:58",1031
"8","2014/04/01 18:03",1400
"9","2014/04/01 18:08",1327
"10","2014/04/01 18:13",1138
"11","2014/04/01 18:18",2439
"12","2014/04/01 18:23",1624
"13","2014/04/01 18:28",3622
"14","2014/04/01 18:33",2258
"15","2014/04/01 18:38",2711
"16","2014/04/01 18:43",1659
"17","2014/04/01 18:48",2071
"18","2014/04/01 18:53",2065
"19","2014/04/01 18:58",2245
"20","2014/04/01 19:03",1931
"21","2014/04/01 19:08",2252
"22","2014/04/01 19:13",1729
"23","2014/04/01 19:18",1461
"24","2014/04/01 19:23",2154
"25","2014/04/01 19:28",2191
"26","2014/04/01 19:33",2514
"27","2014/04/01 19:38",2329
"28","2014/04/01 19:43",32285
"29","2014/04/01 19:48",8796
"30","2014/04/01 19:53",7870
"31","2014/04/01 19:58",4392
"32","2014/04/01 20:03",3150
"33","2014/04/01 20:08",2252
"34","2014/04/01 20:13",1795
"35","2014/04/01 20:18",1366
"36","2014/04/01 20:23",1121
"37","2014/04/01 20:28",2006
"38","2014/04/01 20:33",1935
"39","2014/04/01 20:38",1097
"40","2014/04/01 20:43",1234
"41","2014/04/01 20:48",1365
"42","2014/04/01 20:53",1030
"43","2014/04/01 20:58",2713
"44","2014/04/01 21:03",1853
"45","2014/04/01 21:08",4017
"46","2014/04/01 21:13",2943
"47","2014/04/01 21:18",5128
"48","2014/04/01 21:23",3953
"49","2014/04/01 21:28",3208
"50","2014/04/01 21:33",4711
"51","2014/04/01 21:38",3686
"52","2014/04/01 21:43",3443
"53","2014/04/01 21:48",4684
"54","2014/04/01 21:53",3780
"55","2014/04/01 21:58",6042
"56","2014/04/01 22:03",4308
"57","2014/04/01 22:08",5945
"58","2014/04/01 22:13",3137
"59","2014/04/01 22:18",1992
"60","2014/04/01 22:23",2386
"61","2014/04/01 22:28",10541
"62","2014/04/01 22:33",6811
"63","2014/04/01 22:38",3936
"64","2014/04/01 22:43",2114
"65","2014/04/01 22:48",2721
"66","2014/04/01 22:53",3330
"67","2014/04/01 22:58",3880
"68","2014/04/01 23:03",5846
"69","2014/04/01 23:08",7866
"70","2014/04/01 23:13",5214
"71","2014/04/01 23:18",8454
"72","2014/04/01 23:23",8780
"73","2014/04/01 23:28",4983
"74","2014/04/01 23:33",5065
"75","2014/04/01 23:38",9591
"76","2014/04/01 23:43",16196
"77","2014/04/01 23:48",5301
"78","2014/04/01 23:53",6948
"79","2014/04/01 23:58",8313
"80","2014/04/02 00:03",6663
"81","2014/04/02 00:08",12342
"82","2014/04/02 00:13",13514
"83","2014/04/02 00:18",9316
"84","2014/04/02 00:23",5505
"85","2014/04/02 00:28",4494
"86","2014/04/02 00:33",5505
"87","2014/04/02 00:38",7763
"88","2014/04/02 00:43",4969
"89","2014/04/02 00:48",3806
"90","2014/04/02 00:53",22916
"91","2014/04/02 00:58",1284
"92","2014/04/02 01:03",1821
"93","2014/04/02 01:08",4403
"94","2014/04/02 01:13",2952
"95","2014/04/02 01:18",2454
"96","2014/04/02 01:23",2199
