LDEV_Response_11-3.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:FA:24","00:FA:25","00:FA:26","00:FA:27","00:FA:28","00:FA:29","00:FA:2A","00:FA:2B","00:FA:2C","00:FA:2D","00:FA:2E","00:FA:35"
"1","2014/04/01 17:28",5482,5786,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"2","2014/04/01 17:33",2134,1911,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"3","2014/04/01 17:38",5803,5882,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"4","2014/04/01 17:43",4486,4599,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"5","2014/04/01 17:48",2673,2305,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"6","2014/04/01 17:53",6468,6605,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"7","2014/04/01 17:58",5196,5157,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"8","2014/04/01 18:03",1929,1952,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"9","2014/04/01 18:08",5952,6516,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"10","2014/04/01 18:13",5385,5884,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"11","2014/04/01 18:18",1697,1568,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"12","2014/04/01 18:23",5993,5827,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"13","2014/04/01 18:28",5007,5154,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"14","2014/04/01 18:33",1789,1191,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"15","2014/04/01 18:38",5360,5519,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"16","2014/04/01 18:43",5156,4706,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"17","2014/04/01 18:48",2082,2080,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"18","2014/04/01 18:53",7649,7464,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"19","2014/04/01 18:58",7457,6942,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"20","2014/04/01 19:03",1805,1879,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"21","2014/04/01 19:08",6173,6011,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"22","2014/04/01 19:13",5839,5903,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"23","2014/04/01 19:18",3164,2923,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"24","2014/04/01 19:23",7465,7614,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"25","2014/04/01 19:28",9367,9728,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"26","2014/04/01 19:33",7332,7614,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"27","2014/04/01 19:38",8344,8923,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"28","2014/04/01 19:43",10554,10971,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"29","2014/04/01 19:48",7048,7466,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"30","2014/04/01 19:53",5095,5244,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"31","2014/04/01 19:58",4776,4876,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"32","2014/04/01 20:03",2654,2436,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"33","2014/04/01 20:08",5111,5197,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"34","2014/04/01 20:13",5040,4917,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"35","2014/04/01 20:18",2852,2975,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"36","2014/04/01 20:23",6021,6122,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"37","2014/04/01 20:28",5013,4979,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"38","2014/04/01 20:33",2487,2864,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"39","2014/04/01 20:38",5395,4974,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"40","2014/04/01 20:43",5665,5476,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"41","2014/04/01 20:48",2171,2498,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"42","2014/04/01 20:53",5279,5153,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"43","2014/04/01 20:58",5838,5920,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"44","2014/04/01 21:03",1989,1906,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"45","2014/04/01 21:08",5956,6609,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"46","2014/04/01 21:13",5889,5846,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"47","2014/04/01 21:18",3066,3176,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"48","2014/04/01 21:23",5767,5583,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"49","2014/04/01 21:28",5090,5376,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"50","2014/04/01 21:33",3273,3182,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"51","2014/04/01 21:38",6549,6595,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"52","2014/04/01 21:43",4982,4560,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"53","2014/04/01 21:48",2353,2359,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"54","2014/04/01 21:53",5962,5823,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"55","2014/04/01 21:58",4240,4234,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"56","2014/04/01 22:03",3943,3590,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"57","2014/04/01 22:08",6605,6077,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"58","2014/04/01 22:13",5288,5481,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"59","2014/04/01 22:18",2229,2235,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"60","2014/04/01 22:23",5931,5718,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"61","2014/04/01 22:28",5313,5537,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"62","2014/04/01 22:33",2768,2818,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"63","2014/04/01 22:38",6307,6075,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"64","2014/04/01 22:43",6540,6787,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"65","2014/04/01 22:48",2715,2682,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"66","2014/04/01 22:53",6862,6128,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"67","2014/04/01 22:58",6619,6417,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"68","2014/04/01 23:03",3152,3115,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"69","2014/04/01 23:08",7087,6516,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"70","2014/04/01 23:13",6254,6337,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"71","2014/04/01 23:18",3237,3310,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"72","2014/04/01 23:23",9104,9754,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"73","2014/04/01 23:28",10130,9828,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"74","2014/04/01 23:33",3420,2988,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"75","2014/04/01 23:38",6443,7117,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"76","2014/04/01 23:43",5848,6867,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"77","2014/04/01 23:48",2950,2761,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"78","2014/04/01 23:53",6811,6334,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"79","2014/04/01 23:58",6206,7339,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"80","2014/04/02 00:03",2830,2656,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"81","2014/04/02 00:08",6913,6921,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"82","2014/04/02 00:13",6627,6707,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"83","2014/04/02 00:18",2863,3164,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"84","2014/04/02 00:23",6378,7231,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"85","2014/04/02 00:28",6476,6537,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"86","2014/04/02 00:33",3053,2835,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"87","2014/04/02 00:38",6400,7056,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"88","2014/04/02 00:43",6300,6459,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"89","2014/04/02 00:48",2398,2457,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"90","2014/04/02 00:53",6364,6956,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"91","2014/04/02 00:58",6355,6324,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"92","2014/04/02 01:03",3127,3036,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"93","2014/04/02 01:08",10105,9441,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"94","2014/04/02 01:13",10178,9075,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"95","2014/04/02 01:18",3459,3969,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"96","2014/04/02 01:23",6992,6283,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
