LDEV_Response_3-9.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:20:1F","00:20:20","00:20:21","00:20:22","00:20:23","00:20:24","00:20:25","00:20:26","00:20:27","00:20:28","00:20:2E","00:20:2F","00:5C:E6"
"1","2014/04/01 17:28",1943,1568,-3,-3,2279,-3,-3,-3,-3,-3,-3,-3,-3
"2","2014/04/01 17:33",1751,1627,-3,-3,2534,-3,-3,-3,-3,-3,-3,-3,-3
"3","2014/04/01 17:38",1834,1832,-3,-3,2626,-3,-3,-3,-3,-3,-3,-3,-3
"4","2014/04/01 17:43",1975,1544,-3,-3,2381,-3,-3,-3,-3,-3,-3,-3,-3
"5","2014/04/01 17:48",2100,1633,-3,-3,2079,-3,-3,-3,-3,-3,-3,-3,-3
"6","2014/04/01 17:53",1968,1813,-3,-3,2608,-3,-3,-3,-3,-3,-3,-3,-3
"7","2014/04/01 17:58",2156,1848,-3,-3,2209,-3,-3,-3,-3,-3,-3,-3,-3
"8","2014/04/01 18:03",1999,1821,-3,-3,2093,-3,-3,-3,-3,-3,-3,-3,-3
"9","2014/04/01 18:08",2886,1841,-3,-3,2481,-3,-3,-3,-3,-3,-3,-3,-3
"10","2014/04/01 18:13",3000,2321,-3,-3,3886,-3,-3,-3,-3,-3,-3,-3,-3
"11","2014/04/01 18:18",1942,1942,-3,-3,2004,-3,-3,-3,-3,-3,-3,-3,-3
"12","2014/04/01 18:23",2103,2131,-3,-3,2343,-3,-3,-3,-3,-3,-3,-3,-3
"13","2014/04/01 18:28",3461,1985,-3,125,3484,-3,-3,-3,-3,-3,-3,-3,-3
"14","2014/04/01 18:33",2166,1747,-3,-3,2297,-3,-3,-3,-3,-3,-3,-3,-3
"15","2014/04/01 18:38",2360,1735,-3,-3,2021,-3,-3,-3,-3,-3,-3,-3,-3
"16","2014/04/01 18:43",2076,1840,-3,-3,2504,-3,-3,-3,-3,-3,-3,-3,-3
"17","2014/04/01 18:48",2122,2037,-3,-3,2735,-3,-3,-3,-3,-3,-3,-3,-3
"18","2014/04/01 18:53",1615,1487,-3,608,1919,-3,-3,-3,-3,-3,-3,-3,-3
"19","2014/04/01 18:58",2256,1435,-3,-3,1939,-3,-3,-3,-3,-3,-3,-3,-3
"20","2014/04/01 19:03",1903,2029,-3,-3,2626,-3,-3,-3,-3,-3,-3,-3,-3
"21","2014/04/01 19:08",2709,2145,-3,-3,3687,-3,-3,-3,-3,-3,-3,-3,-3
"22","2014/04/01 19:13",2245,3006,-3,-3,3972,-3,-3,-3,-3,-3,-3,-3,-3
"23","2014/04/01 19:18",3687,1870,-3,-3,2765,-3,-3,-3,-3,-3,-3,-3,-3
"24","2014/04/01 19:23",1945,1779,-3,-3,6528,-3,-3,-3,-3,-3,-3,-3,-3
"25","2014/04/01 19:28",2595,2640,-3,-3,3571,-3,-3,-3,-3,-3,-3,-3,-3
"26","2014/04/01 19:33",2030,2371,-3,-3,2195,-3,-3,-3,-3,-3,-3,-3,-3
"27","2014/04/01 19:38",3564,3053,-3,-3,3698,-3,-3,-3,-3,-3,-3,-3,-3
"28","2014/04/01 19:43",2448,1872,-3,-3,2366,-3,-3,-3,-3,-3,-3,-3,-3
"29","2014/04/01 19:48",5424,3183,-3,-3,4840,-3,-3,-3,-3,-3,-3,-3,-3
"30","2014/04/01 19:53",1854,1576,-3,-3,2171,-3,-3,-3,-3,-3,-3,-3,-3
"31","2014/04/01 19:58",2163,1888,-3,-3,2677,-3,-3,-3,-3,-3,-3,-3,-3
"32","2014/04/01 20:03",1979,1690,-3,-3,2266,-3,-3,-3,-3,-3,-3,-3,-3
"33","2014/04/01 20:08",2401,1713,-3,-3,2062,-3,-3,-3,-3,-3,-3,-3,-3
"34","2014/04/01 20:13",1802,1535,-3,-3,2204,-3,-3,-3,-3,-3,-3,-3,-3
"35","2014/04/01 20:18",1888,3150,-3,-3,2307,-3,-3,-3,-3,-3,-3,-3,-3
"36","2014/04/01 20:23",2294,2185,-3,799,2136,-3,-3,-3,-3,-3,-3,-3,-3
"37","2014/04/01 20:28",1679,1529,-3,-3,1884,-3,-3,-3,-3,-3,-3,-3,-3
"38","2014/04/01 20:33",1726,1640,-3,-3,2323,-3,-3,-3,-3,-3,-3,-3,-3
"39","2014/04/01 20:38",1634,1481,-3,-3,2207,-3,-3,-3,-3,-3,-3,-3,-3
