LDEV_Response_X14-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:FE:50 X"
"1","2014/04/01 17:28",109
"2","2014/04/01 17:33",134
"3","2014/04/01 17:38",119
"4","2014/04/01 17:43",159
"5","2014/04/01 17:48",65
"6","2014/04/01 17:53",102
"7","2014/04/01 17:58",138
"8","2014/04/01 18:03",-3
"9","2014/04/01 18:08",95
"10","2014/04/01 18:13",120
"11","2014/04/01 18:18",152
"12","2014/04/01 18:23",107
"13","2014/04/01 18:28",115
"14","2014/04/01 18:33",151
"15","2014/04/01 18:38",97
"16","2014/04/01 18:43",68
"17","2014/04/01 18:48",73
"18","2014/04/01 18:53",127
"19","2014/04/01 18:58",120
"20","2014/04/01 19:03",111
"21","2014/04/01 19:08",122
"22","2014/04/01 19:13",137
"23","2014/04/01 19:18",100
"24","2014/04/01 19:23",118
"25","2014/04/01 19:28",78
"26","2014/04/01 19:33",128
"27","2014/04/01 19:38",97
"28","2014/04/01 19:43",102
"29","2014/04/01 19:48",103
"30","2014/04/01 19:53",73
"31","2014/04/01 19:58",104
"32","2014/04/01 20:03",117
"33","2014/04/01 20:08",480
"34","2014/04/01 20:13",105
"35","2014/04/01 20:18",126
"36","2014/04/01 20:23",143
"37","2014/04/01 20:28",90
"38","2014/04/01 20:33",62
"39","2014/04/01 20:38",70
"40","2014/04/01 20:43",61
"41","2014/04/01 20:48",70
"42","2014/04/01 20:53",77
"43","2014/04/01 20:58",103
"44","2014/04/01 21:03",-3
"45","2014/04/01 21:08",59
"46","2014/04/01 21:13",59
"47","2014/04/01 21:18",59
"48","2014/04/01 21:23",61
"49","2014/04/01 21:28",109
"50","2014/04/01 21:33",65
"51","2014/04/01 21:38",104
"52","2014/04/01 21:43",71
"53","2014/04/01 21:48",59
"54","2014/04/01 21:53",113
"55","2014/04/01 21:58",87
"56","2014/04/01 22:03",162
"57","2014/04/01 22:08",116
"58","2014/04/01 22:13",157
"59","2014/04/01 22:18",105
"60","2014/04/01 22:23",96
"61","2014/04/01 22:28",96
"62","2014/04/01 22:33",107
"63","2014/04/01 22:38",144
"64","2014/04/01 22:43",116
"65","2014/04/01 22:48",114
"66","2014/04/01 22:53",83
"67","2014/04/01 22:58",137
"68","2014/04/01 23:03",156
"69","2014/04/01 23:08",156
"70","2014/04/01 23:13",175
"71","2014/04/01 23:18",150
"72","2014/04/01 23:23",118
"73","2014/04/01 23:28",363
"74","2014/04/01 23:33",166
"75","2014/04/01 23:38",121
"76","2014/04/01 23:43",199
"77","2014/04/01 23:48",206
"78","2014/04/01 23:53",159
"79","2014/04/01 23:58",203
"80","2014/04/02 00:03",111
"81","2014/04/02 00:08",96
"82","2014/04/02 00:13",73
"83","2014/04/02 00:18",396
"84","2014/04/02 00:23",136
"85","2014/04/02 00:28",152
"86","2014/04/02 00:33",96
"87","2014/04/02 00:38",130
"88","2014/04/02 00:43",60
"89","2014/04/02 00:48",74
"90","2014/04/02 00:53",162
"91","2014/04/02 00:58",192
"92","2014/04/02 01:03",168
"93","2014/04/02 01:08",218
"94","2014/04/02 01:13",108
"95","2014/04/02 01:18",154
"96","2014/04/02 01:23",257
