LDEV_Response_1-14.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:01:0B","00:01:0C","00:01:0D","00:01:0E","00:01:0F","00:01:10","00:01:11","00:01:12","00:01:13","00:01:14","00:01:15","00:20:1A","00:20:1B","00:AB:0C"
"1","2014/04/01 17:28",-3,902,-3,-3,1624,-3,-3,-3,-3,-3,-3,1921,-3,-3
"2","2014/04/01 17:33",-3,1121,-3,-3,-3,-3,-3,-3,-3,1034,-3,2149,-3,-3
"3","2014/04/01 17:38",-3,1318,-3,-3,-3,-3,-3,-3,-3,1122,-3,1970,-3,-3
"4","2014/04/01 17:43",-3,1145,-3,-3,-3,-3,-3,-3,-3,-3,-3,2087,-3,-3
"5","2014/04/01 17:48",-3,1416,-3,-3,-3,-3,-3,-3,-3,1213,-3,2200,-3,-3
"6","2014/04/01 17:53",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2241,-3,-3
"7","2014/04/01 17:58",-3,1028,-3,-3,-3,-3,-3,-3,-3,694,-3,2221,-3,-3
"8","2014/04/01 18:03",-3,3477,-3,-3,-3,-3,-3,-3,-3,-3,-3,2088,-3,-3
"9","2014/04/01 18:08",-3,1310,-3,-3,-3,-3,-3,-3,-3,2152,-3,1961,-3,-3
"10","2014/04/01 18:13",-3,957,-3,-3,-3,-3,-3,-3,-3,836,-3,2208,-3,-3
"11","2014/04/01 18:18",-3,1088,-3,-3,-3,-3,-3,-3,-3,864,-3,2022,-3,-3
"12","2014/04/01 18:23",-3,993,-3,-3,-3,-3,-3,-3,-3,840,-3,2229,-3,-3
"13","2014/04/01 18:28",-3,799,-3,-3,-3,-3,-3,-3,-3,-3,-3,2218,-3,-3
"14","2014/04/01 18:33",-3,1436,-3,-3,-3,-3,-3,-3,-3,-3,-3,2324,-3,-3
"15","2014/04/01 18:38",-3,896,-3,-3,-3,-3,-3,-3,-3,-3,-3,2746,-3,-3
"16","2014/04/01 18:43",-3,1095,-3,-3,-3,-3,-3,-3,-3,-3,-3,2562,-3,-3
"17","2014/04/01 18:48",-3,1004,-3,-3,-3,-3,-3,-3,-3,-3,-3,2136,-3,-3
"18","2014/04/01 18:53",-3,899,-3,-3,-3,-3,-3,-3,-3,-3,-3,2395,-3,-3
"19","2014/04/01 18:58",-3,1052,-3,-3,-3,-3,-3,-3,-3,-3,-3,2085,-3,-3
"20","2014/04/01 19:03",-3,1862,-3,-3,-3,-3,-3,-3,-3,-3,-3,2198,-3,-3
"21","2014/04/01 19:08",-3,1049,-3,-3,-3,-3,-3,-3,-3,-3,-3,3870,-3,-3
"22","2014/04/01 19:13",-3,1152,-3,-3,-3,-3,-3,-3,-3,-3,-3,1971,-3,-3
"23","2014/04/01 19:18",4493,2505,4287,4359,4434,-3,-3,-3,-3,-3,-3,2371,-3,-3
"24","2014/04/01 19:23",4152,3359,3537,3472,4156,-3,-3,-3,-3,-3,-3,2782,-3,-3
"25","2014/04/01 19:28",4067,3701,-3,-3,4037,-3,-3,-3,-3,-3,-3,3040,-3,-3
"26","2014/04/01 19:33",-3,935,-3,-3,-3,-3,-3,-3,-3,-3,-3,3198,-3,-3
"27","2014/04/01 19:38",-3,986,-3,-3,1810,-3,1651,1318,-3,-3,1852,1969,-3,-3
"28","2014/04/01 19:43",-3,894,-3,-3,-3,-3,-3,-3,-3,-3,-3,1875,-3,-3
"29","2014/04/01 19:48",-3,2170,-3,-3,-3,-3,-3,-3,-3,-3,-3,3825,-3,-3
"30","2014/04/01 19:53",-3,878,-3,-3,-3,-3,-3,-3,-3,-3,-3,2472,-3,-3
"31","2014/04/01 19:58",-3,1636,-3,-3,-3,-3,-3,-3,-3,-3,-3,2040,-3,-3
"32","2014/04/01 20:03",-3,855,-3,-3,-3,-3,-3,-3,-3,-3,-3,1799,-3,-3
"33","2014/04/01 20:08",-3,1879,-3,-3,-3,-3,-3,-3,-3,-3,-3,2139,-3,-3
"34","2014/04/01 20:13",-3,6451,-3,-3,-3,-3,-3,-3,-3,-3,-3,2065,-3,-3
"35","2014/04/01 20:18",-3,1405,-3,-3,-3,-3,-3,-3,-3,-3,-3,3054,-3,-3
"36","2014/04/01 20:23",-3,881,-3,-3,732,-3,-3,-3,-3,-3,-3,1904,-3,-3
"37","2014/04/01 20:28",-3,781,-3,-3,1248,-3,-3,-3,-3,-3,-3,1920,-3,-3
"38","2014/04/01 20:33",-3,5518,-3,-3,972,-3,-3,-3,-3,-3,-3,1825,-3,-3
"39","2014/04/01 20:38",-3,830,-3,-3,824,-3,-3,-3,-3,-3,-3,2138,-3,-3
"40","2014/04/01 20:43",-3,890,-3,-3,1052,-3,-3,-3,-3,-3,-3,2190,-3,-3
"41","2014/04/01 20:48",-3,816,-3,-3,886,-3,-3,-3,-3,-3,-3,2781,-3,-3
"42","2014/04/01 20:53",-3,1058,-3,-3,-3,-3,-3,-3,-3,-3,-3,1901,-3,-3
"43","2014/04/01 20:58",-3,787,-3,-3,737,-3,-3,-3,-3,1016,-3,1857,-3,-3
"44","2014/04/01 21:03",-3,821,-3,-3,-3,-3,-3,-3,-3,-3,-3,1945,-3,-3
"45","2014/04/01 21:08",-3,865,-3,-3,-3,-3,-3,-3,-3,1046,-3,1901,-3,-3
"46","2014/04/01 21:13",-3,952,-3,-3,-3,-3,-3,-3,-3,739,-3,1768,-3,-3
"47","2014/04/01 21:18",-3,1048,-3,-3,-3,-3,-3,-3,-3,768,-3,1922,-3,-3
"48","2014/04/01 21:23",-3,777,-3,-3,716,-3,-3,-3,-3,775,-3,1940,-3,-3
"49","2014/04/01 21:28",-3,951,-3,-3,-3,-3,-3,-3,-3,-3,-3,1755,-3,-3
"50","2014/04/01 21:33",-3,910,-3,-3,-3,-3,-3,-3,-3,885,-3,1802,-3,-3
"51","2014/04/01 21:38",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1615,-3,-3
"52","2014/04/01 21:43",-3,1050,-3,-3,461,-3,475,-3,-3,1583,-3,1601,-3,-3
"53","2014/04/01 21:48",-3,1080,-3,-3,893,-3,-3,-3,-3,1611,-3,1819,-3,-3
"54","2014/04/01 21:53",-3,1079,-3,-3,-3,-3,-3,-3,-3,1516,-3,1860,-3,-3
"55","2014/04/01 21:58",-3,1423,-3,-3,664,-3,-3,-3,-3,685,-3,1948,-3,-3
"56","2014/04/01 22:03",-3,1388,-3,-3,931,-3,-3,-3,-3,-3,-3,1784,-3,-3
"57","2014/04/01 22:08",-3,-3,-3,-3,980,-3,-3,-3,-3,-3,-3,2674,-3,-3
"58","2014/04/01 22:13",-3,1457,-3,-3,801,-3,512,-3,-3,1676,-3,1815,-3,-3
"59","2014/04/01 22:18",-3,1493,-3,-3,649,-3,324,-3,-3,-3,-3,1828,-3,-3
"60","2014/04/01 22:23",-3,1400,-3,-3,683,-3,-3,-3,-3,-3,-3,2259,-3,-3
"61","2014/04/01 22:28",-3,1128,-3,-3,654,-3,-3,-3,-3,-3,-3,1777,-3,-3
"62","2014/04/01 22:33",-3,1455,-3,-3,516,-3,392,997,-3,785,-3,1866,-3,-3
"63","2014/04/01 22:38",-3,1040,-3,-3,365,-3,374,1696,-3,940,-3,2075,-3,-3
"64","2014/04/01 22:43",-3,1080,-3,-3,952,-3,383,-3,-3,1863,-3,2330,-3,-3
"65","2014/04/01 22:48",-3,-3,-3,-3,925,-3,-3,-3,-3,-3,-3,1866,-3,-3
"66","2014/04/01 22:53",-3,-3,-3,-3,1048,-3,-3,-3,-3,-3,-3,1917,-3,-3
"67","2014/04/01 22:58",-3,1255,-3,-3,933,-3,539,-3,-3,-3,-3,1885,-3,-3
"68","2014/04/01 23:03",-3,-3,-3,-3,772,-3,461,-3,-3,-3,-3,2711,-3,-3
"69","2014/04/01 23:08",-3,-3,-3,-3,1024,-3,-3,-3,-3,-3,-3,2135,-3,-3
"70","2014/04/01 23:13",-3,-3,-3,-3,1330,-3,486,-3,-3,871,-3,4344,-3,-3
"71","2014/04/01 23:18",-3,-3,-3,-3,999,-3,1398,-3,-3,1062,-3,2216,-3,-3
"72","2014/04/01 23:23",-3,-3,-3,-3,-3,-3,-3,-3,-3,809,-3,2405,-3,-3
"73","2014/04/01 23:28",-3,-3,-3,-3,994,-3,-3,-3,-3,1238,-3,2257,-3,-3
"74","2014/04/01 23:33",-3,-3,-3,-3,-3,-3,614,-3,-3,1092,-3,2543,-3,-3
"75","2014/04/01 23:38",-3,-3,-3,-3,-3,-3,-3,-3,-3,1140,-3,2559,-3,-3
"76","2014/04/01 23:43",-3,-3,-3,-3,578,-3,732,-3,-3,1168,-3,2375,-3,-3
"77","2014/04/01 23:48",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2798,-3,-3
"78","2014/04/01 23:53",-3,-3,-3,-3,-3,-3,-3,-3,-3,1246,-3,2134,-3,-3
"79","2014/04/01 23:58",-3,-3,-3,-3,-3,-3,-3,-3,-3,601,-3,3105,-3,-3
"80","2014/04/02 00:03",-3,-3,-3,-3,-3,-3,-3,-3,-3,632,-3,3274,-3,-3
"81","2014/04/02 00:08",-3,-3,-3,-3,-3,-3,-3,1367,-3,463,-3,2471,-3,-3
"82","2014/04/02 00:13",-3,-3,-3,-3,732,-3,-3,1086,-3,502,-3,2193,-3,-3
"83","2014/04/02 00:18",-3,-3,-3,-3,901,-3,-3,-3,-3,424,-3,2418,-3,-3
"84","2014/04/02 00:23",-3,-3,-3,-3,3114,-3,-3,-3,-3,472,-3,2705,-3,-3
"85","2014/04/02 00:28",-3,-3,-3,-3,1063,-3,-3,-3,-3,439,-3,2680,-3,-3
"86","2014/04/02 00:33",-3,-3,-3,-3,-3,-3,-3,-3,-3,380,-3,2322,-3,-3
"87","2014/04/02 00:38",-3,-3,-3,-3,-3,-3,-3,-3,-3,406,-3,2363,-3,-3
"88","2014/04/02 00:43",-3,-3,-3,-3,993,-3,-3,-3,-3,556,-3,2515,-3,-3
"89","2014/04/02 00:48",-3,-3,-3,-3,-3,-3,-3,-3,-3,305,-3,2347,-3,-3
"90","2014/04/02 00:53",-3,-3,-3,-3,-3,-3,-3,-3,-3,372,-3,2312,-3,-3
"91","2014/04/02 00:58",-3,-3,-3,-3,-3,-3,-3,-3,-3,361,-3,2302,-3,-3
"92","2014/04/02 01:03",-3,-3,-3,-3,1020,-3,-3,-3,-3,417,-3,3034,-3,-3
"93","2014/04/02 01:08",-3,-3,-3,-3,877,-3,-3,-3,-3,438,-3,2262,-3,-3
"94","2014/04/02 01:13",-3,-3,-3,-3,1325,-3,810,-3,-3,434,-3,2725,-3,-3
"95","2014/04/02 01:18",-3,-3,-3,-3,-3,-3,-3,1837,-3,655,-3,2439,-3,-3
"96","2014/04/02 01:23",-3,-3,-3,-3,-3,-3,-3,-3,4453,1259,-3,2786,-3,-3
