LDEV_Response_X72-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:2C:3B X"
"1","2014/04/01 17:28",4871
"2","2014/04/01 17:33",3984
"3","2014/04/01 17:38",4764
"4","2014/04/01 17:43",4513
"5","2014/04/01 17:48",2837
"6","2014/04/01 17:53",1050
"7","2014/04/01 17:58",831
"8","2014/04/01 18:03",2202
"9","2014/04/01 18:08",5166
"10","2014/04/01 18:13",4221
"11","2014/04/01 18:18",4300
"12","2014/04/01 18:23",3785
"13","2014/04/01 18:28",4416
"14","2014/04/01 18:33",4677
"15","2014/04/01 18:38",4396
"16","2014/04/01 18:43",2489
"17","2014/04/01 18:48",4152
"18","2014/04/01 18:53",4434
"19","2014/04/01 18:58",3930
"20","2014/04/01 19:03",4361
"21","2014/04/01 19:08",4555
"22","2014/04/01 19:13",3846
"23","2014/04/01 19:18",4509
"24","2014/04/01 19:23",4204
"25","2014/04/01 19:28",2456
"26","2014/04/01 19:33",4789
"27","2014/04/01 19:38",4570
"28","2014/04/01 19:43",9496
"29","2014/04/01 19:48",6575
"30","2014/04/01 19:53",5721
"31","2014/04/01 19:58",4308
"32","2014/04/01 20:03",4808
"33","2014/04/01 20:08",4961
"34","2014/04/01 20:13",4539
"35","2014/04/01 20:18",3219
"36","2014/04/01 20:23",3824
"37","2014/04/01 20:28",3539
"38","2014/04/01 20:33",3562
"39","2014/04/01 20:38",3500
"40","2014/04/01 20:43",4263
"41","2014/04/01 20:48",4298
"42","2014/04/01 20:53",3912
"43","2014/04/01 20:58",4021
"44","2014/04/01 21:03",3263
"45","2014/04/01 21:08",2091
"46","2014/04/01 21:13",3812
"47","2014/04/01 21:18",4271
"48","2014/04/01 21:23",4709
"49","2014/04/01 21:28",4621
"50","2014/04/01 21:33",4152
"51","2014/04/01 21:38",2696
"52","2014/04/01 21:43",2510
"53","2014/04/01 21:48",1951
"54","2014/04/01 21:53",4242
"55","2014/04/01 21:58",3468
"56","2014/04/01 22:03",3408
"57","2014/04/01 22:08",6227
"58","2014/04/01 22:13",2088
"59","2014/04/01 22:18",567
"60","2014/04/01 22:23",2595
"61","2014/04/01 22:28",1083
"62","2014/04/01 22:33",1919
"63","2014/04/01 22:38",2715
"64","2014/04/01 22:43",2624
"65","2014/04/01 22:48",-3
"66","2014/04/01 22:53",-3
"67","2014/04/01 22:58",-3
"68","2014/04/01 23:03",-3
"69","2014/04/01 23:08",-3
"70","2014/04/01 23:13",-3
"71","2014/04/01 23:18",-3
"72","2014/04/01 23:23",-3
"73","2014/04/01 23:28",-3
"74","2014/04/01 23:33",-3
"75","2014/04/01 23:38",-3
"76","2014/04/01 23:43",-3
"77","2014/04/01 23:48",-3
"78","2014/04/01 23:53",-3
"79","2014/04/01 23:58",-3
"80","2014/04/02 00:03",-3
"81","2014/04/02 00:08",-3
"82","2014/04/02 00:13",-3
"83","2014/04/02 00:18",-3
"84","2014/04/02 00:23",-3
"85","2014/04/02 00:28",-3
"86","2014/04/02 00:33",-3
"87","2014/04/02 00:38",-3
"88","2014/04/02 00:43",-3
"89","2014/04/02 00:48",-3
"90","2014/04/02 00:53",-3
"91","2014/04/02 00:58",-3
"92","2014/04/02 01:03",-3
"93","2014/04/02 01:08",-3
"94","2014/04/02 01:13",-3
"95","2014/04/02 01:18",-3
"96","2014/04/02 01:23",-3
