LDEV_Response_X651-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:C8:72 X"
"1","2014/04/01 17:28",2632
"2","2014/04/01 17:33",1482
"3","2014/04/01 17:38",1519
"4","2014/04/01 17:43",1200
"5","2014/04/01 17:48",3413
"6","2014/04/01 17:53",1801
"7","2014/04/01 17:58",1008
"8","2014/04/01 18:03",1319
"9","2014/04/01 18:08",1123
"10","2014/04/01 18:13",1375
"11","2014/04/01 18:18",2336
"12","2014/04/01 18:23",1928
"13","2014/04/01 18:28",3503
"14","2014/04/01 18:33",2674
"15","2014/04/01 18:38",2376
"16","2014/04/01 18:43",1587
"17","2014/04/01 18:48",1704
"18","2014/04/01 18:53",1865
"19","2014/04/01 18:58",1930
"20","2014/04/01 19:03",2141
"21","2014/04/01 19:08",2577
"22","2014/04/01 19:13",2026
"23","2014/04/01 19:18",1967
"24","2014/04/01 19:23",2044
"25","2014/04/01 19:28",2972
"26","2014/04/01 19:33",2729
"27","2014/04/01 19:38",2383
"28","2014/04/01 19:43",30758
"29","2014/04/01 19:48",9475
"30","2014/04/01 19:53",9361
"31","2014/04/01 19:58",3938
"32","2014/04/01 20:03",2938
"33","2014/04/01 20:08",1857
"34","2014/04/01 20:13",1822
"35","2014/04/01 20:18",1122
"36","2014/04/01 20:23",1123
"37","2014/04/01 20:28",2029
"38","2014/04/01 20:33",2082
"39","2014/04/01 20:38",1092
"40","2014/04/01 20:43",1130
"41","2014/04/01 20:48",1004
"42","2014/04/01 20:53",1376
"43","2014/04/01 20:58",2883
"44","2014/04/01 21:03",2045
"45","2014/04/01 21:08",3997
"46","2014/04/01 21:13",3216
"47","2014/04/01 21:18",5116
"48","2014/04/01 21:23",3826
"49","2014/04/01 21:28",3617
"50","2014/04/01 21:33",4856
"51","2014/04/01 21:38",3827
"52","2014/04/01 21:43",3002
"53","2014/04/01 21:48",5359
"54","2014/04/01 21:53",3474
"55","2014/04/01 21:58",4967
"56","2014/04/01 22:03",3135
"57","2014/04/01 22:08",6567
"58","2014/04/01 22:13",3546
"59","2014/04/01 22:18",2087
"60","2014/04/01 22:23",2391
"61","2014/04/01 22:28",18216
"62","2014/04/01 22:33",5466
"63","2014/04/01 22:38",3892
"64","2014/04/01 22:43",2007
"65","2014/04/01 22:48",3668
"66","2014/04/01 22:53",4285
"67","2014/04/01 22:58",3625
"68","2014/04/01 23:03",7374
"69","2014/04/01 23:08",6755
"70","2014/04/01 23:13",6152
"71","2014/04/01 23:18",7727
"72","2014/04/01 23:23",8942
"73","2014/04/01 23:28",5702
"74","2014/04/01 23:33",5900
"75","2014/04/01 23:38",7483
"76","2014/04/01 23:43",15315
"77","2014/04/01 23:48",5899
"78","2014/04/01 23:53",5878
"79","2014/04/01 23:58",6533
"80","2014/04/02 00:03",6810
"81","2014/04/02 00:08",16908
"82","2014/04/02 00:13",17342
"83","2014/04/02 00:18",11929
"84","2014/04/02 00:23",7463
"85","2014/04/02 00:28",4288
"86","2014/04/02 00:33",4307
"87","2014/04/02 00:38",5263
"88","2014/04/02 00:43",8198
"89","2014/04/02 00:48",5590
"90","2014/04/02 00:53",24842
"91","2014/04/02 00:58",1200
"92","2014/04/02 01:03",1818
"93","2014/04/02 01:08",4879
"94","2014/04/02 01:13",3136
"95","2014/04/02 01:18",2703
"96","2014/04/02 01:23",1887
