LDEV_Response_X539-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:02:FF X"
"1","2014/04/01 17:28",908
"2","2014/04/01 17:33",842
"3","2014/04/01 17:38",1374
"4","2014/04/01 17:43",1453
"5","2014/04/01 17:48",1200
"6","2014/04/01 17:53",1818
"7","2014/04/01 17:58",1087
"8","2014/04/01 18:03",1676
"9","2014/04/01 18:08",1094
"10","2014/04/01 18:13",910
"11","2014/04/01 18:18",1002
"12","2014/04/01 18:23",1070
"13","2014/04/01 18:28",926
"14","2014/04/01 18:33",-3
"15","2014/04/01 18:38",1131
"16","2014/04/01 18:43",1633
"17","2014/04/01 18:48",1039
"18","2014/04/01 18:53",1143
"19","2014/04/01 18:58",931
"20","2014/04/01 19:03",1817
"21","2014/04/01 19:08",782
"22","2014/04/01 19:13",1533
"23","2014/04/01 19:18",-3
"24","2014/04/01 19:23",1039
"25","2014/04/01 19:28",-3
"26","2014/04/01 19:33",1142
"27","2014/04/01 19:38",915
"28","2014/04/01 19:43",1012
"29","2014/04/01 19:48",1024
"30","2014/04/01 19:53",978
"31","2014/04/01 19:58",1002
"32","2014/04/01 20:03",1960
"33","2014/04/01 20:08",1241
"34","2014/04/01 20:13",929
"35","2014/04/01 20:18",1457
"36","2014/04/01 20:23",960
"37","2014/04/01 20:28",931
"38","2014/04/01 20:33",946
"39","2014/04/01 20:38",5472
"40","2014/04/01 20:43",820
"41","2014/04/01 20:48",843
"42","2014/04/01 20:53",1128
"43","2014/04/01 20:58",795
"44","2014/04/01 21:03",1334
"45","2014/04/01 21:08",672
"46","2014/04/01 21:13",798
"47","2014/04/01 21:18",1440
"48","2014/04/01 21:23",1124
"49","2014/04/01 21:28",870
"50","2014/04/01 21:33",814
"51","2014/04/01 21:38",961
"52","2014/04/01 21:43",1216
"53","2014/04/01 21:48",1275
"54","2014/04/01 21:53",1183
"55","2014/04/01 21:58",960
"56","2014/04/01 22:03",2280
"57","2014/04/01 22:08",1431
"58","2014/04/01 22:13",792
"59","2014/04/01 22:18",1005
"60","2014/04/01 22:23",1131
"61","2014/04/01 22:28",998
"62","2014/04/01 22:33",742
"63","2014/04/01 22:38",1289
"64","2014/04/01 22:43",1418
"65","2014/04/01 22:48",1066
"66","2014/04/01 22:53",2568
"67","2014/04/01 22:58",1224
"68","2014/04/01 23:03",1913
"69","2014/04/01 23:08",1903
"70","2014/04/01 23:13",-3
"71","2014/04/01 23:18",13584
"72","2014/04/01 23:23",1011
"73","2014/04/01 23:28",9145
"74","2014/04/01 23:33",1031
"75","2014/04/01 23:38",1097
"76","2014/04/01 23:43",2856
"77","2014/04/01 23:48",3876
"78","2014/04/01 23:53",1153
"79","2014/04/01 23:58",1235
"80","2014/04/02 00:03",2416
"81","2014/04/02 00:08",1502
"82","2014/04/02 00:13",1666
"83","2014/04/02 00:18",1452
"84","2014/04/02 00:23",1238
"85","2014/04/02 00:28",1588
"86","2014/04/02 00:33",732
"87","2014/04/02 00:38",1138
"88","2014/04/02 00:43",1161
"89","2014/04/02 00:48",1030
"90","2014/04/02 00:53",923
"91","2014/04/02 00:58",1181
"92","2014/04/02 01:03",2382
"93","2014/04/02 01:08",1310
"94","2014/04/02 01:13",1632
"95","2014/04/02 01:18",1211
"96","2014/04/02 01:23",894
