LDEV_Response_1-13.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:00:F2","00:00:F3","00:00:F9","00:00:FA","00:00:FB","00:00:FC","00:00:FD","00:00:FE","00:00:FF","00:01:00","00:01:01","00:01:02","00:01:03","00:20:18","00:20:19"
"1","2014/04/01 17:28",-3,-3,4991,-3,-3,-3,2627,2631,-3,608,-3,-3,-3,-3,-3
"2","2014/04/01 17:33",-3,-3,-3,-3,-3,-3,1769,1827,-3,465,-3,-3,-3,-3,-3
"3","2014/04/01 17:38",-3,-3,-3,-3,-3,-3,3179,2179,-3,486,-3,-3,-3,-3,-3
"4","2014/04/01 17:43",-3,-3,-3,-3,-3,-3,2683,1856,-3,539,-3,-3,-3,-3,-3
"5","2014/04/01 17:48",-3,-3,5399,-3,-3,-3,2535,2184,-3,562,-3,-3,-3,-3,-3
"6","2014/04/01 17:53",-3,1544,-3,-3,-3,-3,4104,2413,-3,694,-3,-3,-3,-3,-3
"7","2014/04/01 17:58",-3,-3,-3,-3,-3,-3,2483,2074,-3,412,-3,-3,-3,-3,-3
"8","2014/04/01 18:03",-3,-3,-3,-3,-3,-3,2297,2006,-3,776,-3,-3,-3,-3,-3
"9","2014/04/01 18:08",-3,-3,-3,-3,-3,-3,1955,1752,-3,892,-3,-3,-3,-3,-3
"10","2014/04/01 18:13",-3,-3,-3,-3,-3,-3,2186,1947,-3,511,-3,-3,-3,-3,-3
"11","2014/04/01 18:18",-3,-3,-3,-3,-3,-3,1838,1498,-3,398,-3,-3,-3,-3,-3
"12","2014/04/01 18:23",-3,-3,-3,-3,-3,-3,1952,1944,-3,453,-3,-3,-3,-3,-3
"13","2014/04/01 18:28",-3,-3,-3,-3,-3,-3,2493,2203,-3,624,-3,-3,-3,-3,-3
"14","2014/04/01 18:33",1688,-3,-3,-3,-3,-3,2321,2257,-3,433,-3,-3,-3,-3,-3
"15","2014/04/01 18:38",-3,-3,-3,-3,-3,-3,2768,2185,-3,690,-3,-3,-3,-3,-3
"16","2014/04/01 18:43",-3,-3,-3,-3,-3,-3,2861,3449,-3,832,-3,-3,-3,-3,-3
"17","2014/04/01 18:48",-3,-3,-3,-3,-3,-3,2523,2188,-3,1391,-3,-3,-3,-3,-3
"18","2014/04/01 18:53",-3,-3,-3,-3,-3,-3,2537,2548,-3,512,-3,-3,-3,-3,-3
"19","2014/04/01 18:58",-3,-3,28987,-3,-3,-3,1972,2376,-3,755,-3,-3,-3,-3,-3
"20","2014/04/01 19:03",-3,-3,-3,-3,-3,-3,2893,2248,-3,775,-3,-3,-3,-3,-3
"21","2014/04/01 19:08",-3,-3,7059,-3,-3,-3,2373,2538,-3,782,-3,-3,-3,-3,-3
"22","2014/04/01 19:13",-3,-3,-3,-3,-3,-3,2249,1973,-3,582,-3,-3,-3,-3,-3
"23","2014/04/01 19:18",-3,-3,-3,-3,-3,-3,2368,1955,-3,3328,4383,4486,4348,-3,-3
"24","2014/04/01 19:23",-3,-3,-3,-3,-3,-3,2096,2232,-3,3215,4023,3648,3618,-3,-3
"25","2014/04/01 19:28",-3,-3,-3,-3,-3,-3,2339,2513,-3,2652,3733,3902,-3,-3,-3
"26","2014/04/01 19:33",-3,-3,-3,-3,-3,-3,6696,3561,-3,1324,-3,-3,-3,-3,-3
"27","2014/04/01 19:38",-3,-3,-3,-3,-3,-3,3217,2530,-3,2400,2403,-3,-3,-3,-3
"28","2014/04/01 19:43",-3,-3,-3,-3,-3,-3,3542,3853,-3,752,-3,-3,-3,-3,-3
"29","2014/04/01 19:48",25512,26681,-3,-3,-3,-3,2656,2676,-3,464,-3,-3,-3,-3,-3
"30","2014/04/01 19:53",-3,-3,-3,-3,-3,-3,2354,2823,-3,468,-3,-3,-3,-3,-3
"31","2014/04/01 19:58",-3,-3,-3,-3,-3,-3,2285,2441,-3,429,-3,-3,-3,-3,-3
"32","2014/04/01 20:03",-3,-3,-3,-3,-3,-3,2761,2403,-3,498,-3,-3,-3,-3,-3
"33","2014/04/01 20:08",-3,-3,-3,-3,-3,-3,3217,2016,-3,523,-3,-3,-3,-3,-3
"34","2014/04/01 20:13",-3,97771,-3,-3,-3,-3,2472,1368,-3,1490,-3,-3,-3,-3,-3
"35","2014/04/01 20:18",-3,-3,-3,-3,-3,-3,2742,2160,-3,417,-3,-3,-3,-3,-3
"36","2014/04/01 20:23",-3,-3,-3,-3,-3,-3,2758,2544,-3,795,-3,-3,-3,-3,-3
"37","2014/04/01 20:28",-3,-3,-3,-3,-3,-3,3972,2939,-3,482,-3,-3,-3,-3,-3
"38","2014/04/01 20:33",-3,-3,-3,-3,-3,-3,2081,2243,-3,449,-3,-3,-3,-3,-3
"39","2014/04/01 20:38",-3,-3,-3,-3,-3,-3,1728,1881,-3,515,-3,-3,-3,-3,-3
"40","2014/04/01 20:43",934,-3,-3,-3,-3,-3,2028,1709,-3,398,-3,-3,-3,-3,-3
"41","2014/04/01 20:48",-3,-3,-3,-3,-3,-3,2779,2470,-3,403,-3,-3,-3,-3,-3
"42","2014/04/01 20:53",-3,-3,-3,-3,-3,-3,3019,2470,-3,349,-3,-3,-3,-3,-3
"43","2014/04/01 20:58",-3,-3,-3,-3,-3,-3,2824,2277,-3,361,-3,-3,-3,-3,-3
"44","2014/04/01 21:03",-3,-3,-3,-3,-3,-3,2064,1926,-3,383,-3,-3,-3,-3,-3
"45","2014/04/01 21:08",-3,-3,-3,-3,-3,-3,3310,2914,-3,315,-3,-3,-3,-3,-3
"46","2014/04/01 21:13",-3,-3,-3,-3,-3,-3,2370,2092,-3,396,-3,-3,-3,-3,-3
