LDEV_Response_X827-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:21:0D X"
"1","2014/04/01 17:28",9280
"2","2014/04/01 17:33",11257
"3","2014/04/01 17:38",12405
"4","2014/04/01 17:43",10309
"5","2014/04/01 17:48",9736
"6","2014/04/01 17:53",9921
"7","2014/04/01 17:58",6735
"8","2014/04/01 18:03",11382
"9","2014/04/01 18:08",17631
"10","2014/04/01 18:13",17931
"11","2014/04/01 18:18",6497
"12","2014/04/01 18:23",14795
"13","2014/04/01 18:28",17998
"14","2014/04/01 18:33",6589
"15","2014/04/01 18:38",9646
"16","2014/04/01 18:43",19655
"17","2014/04/01 18:48",28706
"18","2014/04/01 18:53",19408
"19","2014/04/01 18:58",30211
"20","2014/04/01 19:03",35152
"21","2014/04/01 19:08",15866
"22","2014/04/01 19:13",10443
"23","2014/04/01 19:18",7245
"24","2014/04/01 19:23",9544
"25","2014/04/01 19:28",11187
"26","2014/04/01 19:33",22616
"27","2014/04/01 19:38",9155
"28","2014/04/01 19:43",36792
"29","2014/04/01 19:48",9063
"30","2014/04/01 19:53",10419
"31","2014/04/01 19:58",9189
"32","2014/04/01 20:03",20716
"33","2014/04/01 20:08",6530
"34","2014/04/01 20:13",25122
"35","2014/04/01 20:18",12570
"36","2014/04/01 20:23",23184
"37","2014/04/01 20:28",11363
"38","2014/04/01 20:33",12490
"39","2014/04/01 20:38",7045
"40","2014/04/01 20:43",6814
"41","2014/04/01 20:48",7213
"42","2014/04/01 20:53",4856
"43","2014/04/01 20:58",5374
"44","2014/04/01 21:03",7366
"45","2014/04/01 21:08",4625
"46","2014/04/01 21:13",5902
"47","2014/04/01 21:18",8262
"48","2014/04/01 21:23",4663
"49","2014/04/01 21:28",4297
"50","2014/04/01 21:33",8643
"51","2014/04/01 21:38",9624
"52","2014/04/01 21:43",8962
"53","2014/04/01 21:48",9393
"54","2014/04/01 21:53",10172
"55","2014/04/01 21:58",-3
"56","2014/04/01 22:03",3265
"57","2014/04/01 22:08",10829
"58","2014/04/01 22:13",8059
"59","2014/04/01 22:18",4544
"60","2014/04/01 22:23",3854
"61","2014/04/01 22:28",-3
"62","2014/04/01 22:33",-3
"63","2014/04/01 22:38",1701
"64","2014/04/01 22:43",1255
"65","2014/04/01 22:48",1019
"66","2014/04/01 22:53",1481
"67","2014/04/01 22:58",1495
"68","2014/04/01 23:03",4360
"69","2014/04/01 23:08",8233
"70","2014/04/01 23:13",4455
"71","2014/04/01 23:18",3255
"72","2014/04/01 23:23",3231
"73","2014/04/01 23:28",4232
"74","2014/04/01 23:33",12096
"75","2014/04/01 23:38",4319
"76","2014/04/01 23:43",6500
"77","2014/04/01 23:48",2587
"78","2014/04/01 23:53",2874
"79","2014/04/01 23:58",1824
"80","2014/04/02 00:03",2040
"81","2014/04/02 00:08",1129
"82","2014/04/02 00:13",1511
"83","2014/04/02 00:18",776
"84","2014/04/02 00:23",1087
"85","2014/04/02 00:28",1241
"86","2014/04/02 00:33",1344
"87","2014/04/02 00:38",1779
"88","2014/04/02 00:43",1452
"89","2014/04/02 00:48",1268
"90","2014/04/02 00:53",1863
"91","2014/04/02 00:58",2022
"92","2014/04/02 01:03",2099
"93","2014/04/02 01:08",2147
"94","2014/04/02 01:13",1621
"95","2014/04/02 01:18",2018
"96","2014/04/02 01:23",1488
