LDEV_Response_X529-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:02:DA X"
"1","2014/04/01 17:28",-3
"2","2014/04/01 17:33",1425
"3","2014/04/01 17:38",-3
"4","2014/04/01 17:43",2576
"5","2014/04/01 17:48",3545
"6","2014/04/01 17:53",7718
"7","2014/04/01 17:58",-3
"8","2014/04/01 18:03",1940
"9","2014/04/01 18:08",2015
"10","2014/04/01 18:13",-3
"11","2014/04/01 18:18",3224
"12","2014/04/01 18:23",6489
"13","2014/04/01 18:28",-3
"14","2014/04/01 18:33",1352
"15","2014/04/01 18:38",-3
"16","2014/04/01 18:43",2879
"17","2014/04/01 18:48",3175
"18","2014/04/01 18:53",8667
"19","2014/04/01 18:58",-3
"20","2014/04/01 19:03",1741
"21","2014/04/01 19:08",2162
"22","2014/04/01 19:13",-3
"23","2014/04/01 19:18",3431
"24","2014/04/01 19:23",8106
"25","2014/04/01 19:28",-3
"26","2014/04/01 19:33",1374
"27","2014/04/01 19:38",-3
"28","2014/04/01 19:43",7773
"29","2014/04/01 19:48",6275
"30","2014/04/01 19:53",8728
"31","2014/04/01 19:58",10019
"32","2014/04/01 20:03",2118
"33","2014/04/01 20:08",2480
"34","2014/04/01 20:13",-3
"35","2014/04/01 20:18",4726
"36","2014/04/01 20:23",8013
"37","2014/04/01 20:28",9168
"38","2014/04/01 20:33",4496
"39","2014/04/01 20:38",8162
"40","2014/04/01 20:43",-3
"41","2014/04/01 20:48",2106
"42","2014/04/01 20:53",7656
"43","2014/04/01 20:58",7005
"44","2014/04/01 21:03",2497
"45","2014/04/01 21:08",5581
"46","2014/04/01 21:13",3391
"47","2014/04/01 21:18",3557
"48","2014/04/01 21:23",9209
"49","2014/04/01 21:28",-3
"50","2014/04/01 21:33",3950
"51","2014/04/01 21:38",-3
"52","2014/04/01 21:43",2472
"53","2014/04/01 21:48",2258
"54","2014/04/01 21:53",7344
"55","2014/04/01 21:58",8727
"56","2014/04/01 22:03",3696
"57","2014/04/01 22:08",5725
"58","2014/04/01 22:13",18158
"59","2014/04/01 22:18",2422
"60","2014/04/01 22:23",2469
"61","2014/04/01 22:28",4217
"62","2014/04/01 22:33",2873
"63","2014/04/01 22:38",2821
"64","2014/04/01 22:43",1265
"65","2014/04/01 22:48",4118
"66","2014/04/01 22:53",4791
"67","2014/04/01 22:58",6655
"68","2014/04/01 23:03",8673
"69","2014/04/01 23:08",7162
"70","2014/04/01 23:13",7316
"71","2014/04/01 23:18",14991
"72","2014/04/01 23:23",6903
"73","2014/04/01 23:28",28732
"74","2014/04/01 23:33",4432
"75","2014/04/01 23:38",12487
"76","2014/04/01 23:43",7652
"77","2014/04/01 23:48",7732
"78","2014/04/01 23:53",6082
"79","2014/04/01 23:58",17087
"80","2014/04/02 00:03",1770
"81","2014/04/02 00:08",13153
"82","2014/04/02 00:13",2221
"83","2014/04/02 00:18",2196
"84","2014/04/02 00:23",3564
"85","2014/04/02 00:28",2319
"86","2014/04/02 00:33",1063
"87","2014/04/02 00:38",1893
"88","2014/04/02 00:43",2647
"89","2014/04/02 00:48",922
"90","2014/04/02 00:53",8256
"91","2014/04/02 00:58",8834
"92","2014/04/02 01:03",1553
"93","2014/04/02 01:08",2421
"94","2014/04/02 01:13",10193
"95","2014/04/02 01:18",22255
"96","2014/04/02 01:23",12536
