LDEV_Response_X501-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:01:EC X"
"1","2014/04/01 17:28",-3
"2","2014/04/01 17:33",-3
"3","2014/04/01 17:38",-3
"4","2014/04/01 17:43",2937
"5","2014/04/01 17:48",6022
"6","2014/04/01 17:53",9807
"7","2014/04/01 17:58",-3
"8","2014/04/01 18:03",-3
"9","2014/04/01 18:08",2781
"10","2014/04/01 18:13",-3
"11","2014/04/01 18:18",6967
"12","2014/04/01 18:23",9233
"13","2014/04/01 18:28",-3
"14","2014/04/01 18:33",-3
"15","2014/04/01 18:38",-3
"16","2014/04/01 18:43",-3
"17","2014/04/01 18:48",7485
"18","2014/04/01 18:53",9764
"19","2014/04/01 18:58",-3
"20","2014/04/01 19:03",-3
"21","2014/04/01 19:08",3451
"22","2014/04/01 19:13",-3
"23","2014/04/01 19:18",6884
"24","2014/04/01 19:23",9434
"25","2014/04/01 19:28",-3
"26","2014/04/01 19:33",1392
"27","2014/04/01 19:38",-3
"28","2014/04/01 19:43",5407
"29","2014/04/01 19:48",7894
"30","2014/04/01 19:53",6024
"31","2014/04/01 19:58",10439
"32","2014/04/01 20:03",3240
"33","2014/04/01 20:08",2880
"34","2014/04/01 20:13",-3
"35","2014/04/01 20:18",8172
"36","2014/04/01 20:23",6881
"37","2014/04/01 20:28",10647
"38","2014/04/01 20:33",7219
"39","2014/04/01 20:38",8560
"40","2014/04/01 20:43",-3
"41","2014/04/01 20:48",-3
"42","2014/04/01 20:53",6962
"43","2014/04/01 20:58",7006
"44","2014/04/01 21:03",-3
"45","2014/04/01 21:08",5150
"46","2014/04/01 21:13",-3
"47","2014/04/01 21:18",7403
"48","2014/04/01 21:23",10733
"49","2014/04/01 21:28",-3
"50","2014/04/01 21:33",7658
"51","2014/04/01 21:38",-3
"52","2014/04/01 21:43",2675
"53","2014/04/01 21:48",6393
"54","2014/04/01 21:53",7966
"55","2014/04/01 21:58",8390
"56","2014/04/01 22:03",3566
"57","2014/04/01 22:08",7584
"58","2014/04/01 22:13",27989
"59","2014/04/01 22:18",3325
"60","2014/04/01 22:23",2268
"61","2014/04/01 22:28",4050
"62","2014/04/01 22:33",3065
"63","2014/04/01 22:38",3629
"64","2014/04/01 22:43",1446
"65","2014/04/01 22:48",4549
"66","2014/04/01 22:53",5226
"67","2014/04/01 22:58",7947
"68","2014/04/01 23:03",9010
"69","2014/04/01 23:08",9828
"70","2014/04/01 23:13",7180
"71","2014/04/01 23:18",13359
"72","2014/04/01 23:23",6618
"73","2014/04/01 23:28",28645
"74","2014/04/01 23:33",5087
"75","2014/04/01 23:38",12983
"76","2014/04/01 23:43",7546
"77","2014/04/01 23:48",9711
"78","2014/04/01 23:53",8627
"79","2014/04/01 23:58",25558
"80","2014/04/02 00:03",1868
"81","2014/04/02 00:08",13861
"82","2014/04/02 00:13",2256
"83","2014/04/02 00:18",2733
"84","2014/04/02 00:23",3695
"85","2014/04/02 00:28",1899
"86","2014/04/02 00:33",1223
"87","2014/04/02 00:38",2855
"88","2014/04/02 00:43",6254
"89","2014/04/02 00:48",784
"90","2014/04/02 00:53",7447
"91","2014/04/02 00:58",10315
"92","2014/04/02 01:03",2207
"93","2014/04/02 01:08",3112
"94","2014/04/02 01:13",7553
"95","2014/04/02 01:18",36474
"96","2014/04/02 01:23",10094
