LDEV_Response_X120-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:5C:DA X"
"1","2014/04/01 17:28",1036
"2","2014/04/01 17:33",1253
"3","2014/04/01 17:38",1704
"4","2014/04/01 17:43",1013
"5","2014/04/01 17:48",1374
"6","2014/04/01 17:53",1454
"7","2014/04/01 17:58",2478
"8","2014/04/01 18:03",1973
"9","2014/04/01 18:08",1709
"10","2014/04/01 18:13",1642
"11","2014/04/01 18:18",4824
"12","2014/04/01 18:23",1545
"13","2014/04/01 18:28",1122
"14","2014/04/01 18:33",1304
"15","2014/04/01 18:38",1374
"16","2014/04/01 18:43",1143
"17","2014/04/01 18:48",1273
"18","2014/04/01 18:53",2022
"19","2014/04/01 18:58",1374
"20","2014/04/01 19:03",1534
"21","2014/04/01 19:08",1995
"22","2014/04/01 19:13",928
"23","2014/04/01 19:18",1702
"24","2014/04/01 19:23",1061
"25","2014/04/01 19:28",1265
"26","2014/04/01 19:33",1273
"27","2014/04/01 19:38",844
"28","2014/04/01 19:43",1434
"29","2014/04/01 19:48",1040
"30","2014/04/01 19:53",838
"31","2014/04/01 19:58",1231
"32","2014/04/01 20:03",2072
"33","2014/04/01 20:08",1065
"34","2014/04/01 20:13",1269
"35","2014/04/01 20:18",1542
"36","2014/04/01 20:23",1028
"37","2014/04/01 20:28",1116
"38","2014/04/01 20:33",1151
"39","2014/04/01 20:38",1436
"40","2014/04/01 20:43",1296
"41","2014/04/01 20:48",908
"42","2014/04/01 20:53",1552
"43","2014/04/01 20:58",1546
"44","2014/04/01 21:03",815
"45","2014/04/01 21:08",1443
"46","2014/04/01 21:13",1397
"47","2014/04/01 21:18",957
"48","2014/04/01 21:23",1393
"49","2014/04/01 21:28",1804
"50","2014/04/01 21:33",1406
"51","2014/04/01 21:38",1285
"52","2014/04/01 21:43",3124
"53","2014/04/01 21:48",4468
"54","2014/04/01 21:53",1122
"55","2014/04/01 21:58",1179
"56","2014/04/01 22:03",1026
"57","2014/04/01 22:08",1332
"58","2014/04/01 22:13",982
"59","2014/04/01 22:18",1221
"60","2014/04/01 22:23",1222
"61","2014/04/01 22:28",1229
"62","2014/04/01 22:33",1310
"63","2014/04/01 22:38",1042
"64","2014/04/01 22:43",1058
"65","2014/04/01 22:48",1257
"66","2014/04/01 22:53",1163
"67","2014/04/01 22:58",4518
"68","2014/04/01 23:03",2295
"69","2014/04/01 23:08",2137
"70","2014/04/01 23:13",3403
"71","2014/04/01 23:18",1478
"72","2014/04/01 23:23",2596
"73","2014/04/01 23:28",945
"74","2014/04/01 23:33",1293
"75","2014/04/01 23:38",1272
"76","2014/04/01 23:43",1180
"77","2014/04/01 23:48",1114
"78","2014/04/01 23:53",1508
"79","2014/04/01 23:58",885
"80","2014/04/02 00:03",1224
"81","2014/04/02 00:08",1359
"82","2014/04/02 00:13",1175
"83","2014/04/02 00:18",1235
"84","2014/04/02 00:23",1048
"85","2014/04/02 00:28",1218
"86","2014/04/02 00:33",1614
"87","2014/04/02 00:38",1259
"88","2014/04/02 00:43",984
"89","2014/04/02 00:48",1508
"90","2014/04/02 00:53",1277
"91","2014/04/02 00:58",1247
"92","2014/04/02 01:03",1018
"93","2014/04/02 01:08",1376
"94","2014/04/02 01:13",973
"95","2014/04/02 01:18",1176
"96","2014/04/02 01:23",1425
