LDEV_Response_3-6.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:20:29","00:5C:8E","00:5C:9B"
"1","2014/04/01 17:28",-3,131,-3
"2","2014/04/01 17:33",-3,158,-3
"3","2014/04/01 17:38",-3,119,-3
"4","2014/04/01 17:43",-3,144,-3
"5","2014/04/01 17:48",-3,184,3036
"6","2014/04/01 17:53",-3,138,-3
"7","2014/04/01 17:58",-3,158,-3
"8","2014/04/01 18:03",-3,176,-3
"9","2014/04/01 18:08",-3,162,-3
"10","2014/04/01 18:13",-3,128,-3
"11","2014/04/01 18:18",-3,128,-3
"12","2014/04/01 18:23",-3,136,-3
"13","2014/04/01 18:28",-3,187,-3
"14","2014/04/01 18:33",-3,151,-3
"15","2014/04/01 18:38",-3,152,-3
"16","2014/04/01 18:43",-3,146,-3
"17","2014/04/01 18:48",-3,166,-3
"18","2014/04/01 18:53",-3,157,-3
"19","2014/04/01 18:58",-3,158,-3
"20","2014/04/01 19:03",-3,183,-3
"21","2014/04/01 19:08",-3,170,-3
"22","2014/04/01 19:13",-3,151,-3
"23","2014/04/01 19:18",-3,146,-3
"24","2014/04/01 19:23",-3,151,-3
"25","2014/04/01 19:28",-3,151,-3
"26","2014/04/01 19:33",-3,160,-3
"27","2014/04/01 19:38",-3,144,-3
"28","2014/04/01 19:43",-3,207,-3
"29","2014/04/01 19:48",-3,146,-3
"30","2014/04/01 19:53",-3,152,-3
"31","2014/04/01 19:58",-3,154,-3
"32","2014/04/01 20:03",-3,144,-3
"33","2014/04/01 20:08",-3,138,-3
"34","2014/04/01 20:13",-3,147,-3
"35","2014/04/01 20:18",-3,160,-3
"36","2014/04/01 20:23",-3,135,-3
"37","2014/04/01 20:28",-3,145,-3
"38","2014/04/01 20:33",-3,241,-3
"39","2014/04/01 20:38",-3,133,-3
"40","2014/04/01 20:43",-3,183,-3
"41","2014/04/01 20:48",-3,139,-3
"42","2014/04/01 20:53",-3,128,-3
"43","2014/04/01 20:58",-3,131,-3
"44","2014/04/01 21:03",-3,129,-3
"45","2014/04/01 21:08",-3,128,-3
"46","2014/04/01 21:13",-3,137,-3
"47","2014/04/01 21:18",-3,134,-3
"48","2014/04/01 21:23",-3,195,-3
"49","2014/04/01 21:28",-3,122,-3
"50","2014/04/01 21:33",-3,153,-3
"51","2014/04/01 21:38",-3,130,-3
"52","2014/04/01 21:43",-3,124,-3
"53","2014/04/01 21:48",-3,180,3744
"54","2014/04/01 21:53",-3,150,-3
"55","2014/04/01 21:58",-3,124,-3
"56","2014/04/01 22:03",-3,176,-3
"57","2014/04/01 22:08",-3,141,-3
"58","2014/04/01 22:13",-3,119,-3
"59","2014/04/01 22:18",-3,192,-3
"60","2014/04/01 22:23",-3,147,-3
"61","2014/04/01 22:28",-3,125,-3
"62","2014/04/01 22:33",-3,157,-3
"63","2014/04/01 22:38",-3,163,171
"64","2014/04/01 22:43",-3,150,-3
"65","2014/04/01 22:48",-3,142,-3
"66","2014/04/01 22:53",-3,149,-3
"67","2014/04/01 22:58",-3,163,-3
"68","2014/04/01 23:03",-3,154,-3
"69","2014/04/01 23:08",-3,176,-3
"70","2014/04/01 23:13",-3,661,-3
"71","2014/04/01 23:18",-3,234,-3
"72","2014/04/01 23:23",-3,219,-3
"73","2014/04/01 23:28",-3,194,-3
"74","2014/04/01 23:33",-3,158,-3
"75","2014/04/01 23:38",-3,778,-3
"76","2014/04/01 23:43",-3,196,-3
"77","2014/04/01 23:48",-3,176,-3
"78","2014/04/01 23:53",-3,141,-3
"79","2014/04/01 23:58",-3,241,-3
"80","2014/04/02 00:03",-3,173,-3
"81","2014/04/02 00:08",-3,214,-3
"82","2014/04/02 00:13",-3,290,651
"83","2014/04/02 00:18",-3,200,-3
"84","2014/04/02 00:23",-3,135,-3
"85","2014/04/02 00:28",-3,279,110
"86","2014/04/02 00:33",-3,342,-3
"87","2014/04/02 00:38",-3,133,-3
"88","2014/04/02 00:43",-3,168,-3
"89","2014/04/02 00:48",-3,221,-3
"90","2014/04/02 00:53",-3,171,-3
"91","2014/04/02 00:58",-3,149,-3
"92","2014/04/02 01:03",-3,208,-3
"93","2014/04/02 01:08",-3,178,-3
"94","2014/04/02 01:13",-3,174,-3
"95","2014/04/02 01:18",-3,157,-3
"96","2014/04/02 01:23",-3,147,-3
