LDEV_Response_X124-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:5C:DB X"
"1","2014/04/01 17:28",260
"2","2014/04/01 17:33",348
"3","2014/04/01 17:38",277
"4","2014/04/01 17:43",300
"5","2014/04/01 17:48",402
"6","2014/04/01 17:53",558
"7","2014/04/01 17:58",251
"8","2014/04/01 18:03",246
"9","2014/04/01 18:08",297
"10","2014/04/01 18:13",289
"11","2014/04/01 18:18",286
"12","2014/04/01 18:23",303
"13","2014/04/01 18:28",266
"14","2014/04/01 18:33",274
"15","2014/04/01 18:38",374
"16","2014/04/01 18:43",282
"17","2014/04/01 18:48",267
"18","2014/04/01 18:53",279
"19","2014/04/01 18:58",343
"20","2014/04/01 19:03",288
"21","2014/04/01 19:08",355
"22","2014/04/01 19:13",360
"23","2014/04/01 19:18",346
"24","2014/04/01 19:23",356
"25","2014/04/01 19:28",314
"26","2014/04/01 19:33",264
"27","2014/04/01 19:38",260
"28","2014/04/01 19:43",330
"29","2014/04/01 19:48",272
"30","2014/04/01 19:53",433
"31","2014/04/01 19:58",238
"32","2014/04/01 20:03",289
"33","2014/04/01 20:08",555
"34","2014/04/01 20:13",260
"35","2014/04/01 20:18",259
"36","2014/04/01 20:23",284
"37","2014/04/01 20:28",249
"38","2014/04/01 20:33",266
"39","2014/04/01 20:38",279
"40","2014/04/01 20:43",250
"41","2014/04/01 20:48",290
"42","2014/04/01 20:53",282
"43","2014/04/01 20:58",256
"44","2014/04/01 21:03",310
"45","2014/04/01 21:08",370
"46","2014/04/01 21:13",222
"47","2014/04/01 21:18",317
"48","2014/04/01 21:23",232
"49","2014/04/01 21:28",438
"50","2014/04/01 21:33",220
"51","2014/04/01 21:38",283
"52","2014/04/01 21:43",347
"53","2014/04/01 21:48",222
"54","2014/04/01 21:53",287
"55","2014/04/01 21:58",263
"56","2014/04/01 22:03",290
"57","2014/04/01 22:08",288
"58","2014/04/01 22:13",247
"59","2014/04/01 22:18",273
"60","2014/04/01 22:23",248
"61","2014/04/01 22:28",281
"62","2014/04/01 22:33",310
"63","2014/04/01 22:38",434
"64","2014/04/01 22:43",893
"65","2014/04/01 22:48",297
"66","2014/04/01 22:53",353
"67","2014/04/01 22:58",382
"68","2014/04/01 23:03",248
"69","2014/04/01 23:08",339
"70","2014/04/01 23:13",962
"71","2014/04/01 23:18",618
"72","2014/04/01 23:23",328
"73","2014/04/01 23:28",334
"74","2014/04/01 23:33",335
"75","2014/04/01 23:38",454
"76","2014/04/01 23:43",660
"77","2014/04/01 23:48",276
"78","2014/04/01 23:53",451
"79","2014/04/01 23:58",431
"80","2014/04/02 00:03",432
"81","2014/04/02 00:08",273
"82","2014/04/02 00:13",371
"83","2014/04/02 00:18",487
"84","2014/04/02 00:23",304
"85","2014/04/02 00:28",350
"86","2014/04/02 00:33",398
"87","2014/04/02 00:38",277
"88","2014/04/02 00:43",307
"89","2014/04/02 00:48",311
"90","2014/04/02 00:53",417
"91","2014/04/02 00:58",354
"92","2014/04/02 01:03",279
"93","2014/04/02 01:08",574
"94","2014/04/02 01:13",582
"95","2014/04/02 01:18",425
"96","2014/04/02 01:23",332
