LDEV_Response_X502-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:01:ED X"
"1","2014/04/01 17:28",-3
"2","2014/04/01 17:33",1131
"3","2014/04/01 17:38",-3
"4","2014/04/01 17:43",4417
"5","2014/04/01 17:48",6849
"6","2014/04/01 17:53",10804
"7","2014/04/01 17:58",-3
"8","2014/04/01 18:03",1641
"9","2014/04/01 18:08",2429
"10","2014/04/01 18:13",-3
"11","2014/04/01 18:18",5307
"12","2014/04/01 18:23",8217
"13","2014/04/01 18:28",-3
"14","2014/04/01 18:33",-3
"15","2014/04/01 18:38",-3
"16","2014/04/01 18:43",-3
"17","2014/04/01 18:48",6238
"18","2014/04/01 18:53",10864
"19","2014/04/01 18:58",2409
"20","2014/04/01 19:03",1197
"21","2014/04/01 19:08",2718
"22","2014/04/01 19:13",-3
"23","2014/04/01 19:18",7299
"24","2014/04/01 19:23",10381
"25","2014/04/01 19:28",-3
"26","2014/04/01 19:33",2592
"27","2014/04/01 19:38",-3
"28","2014/04/01 19:43",7744
"29","2014/04/01 19:48",8480
"30","2014/04/01 19:53",9884
"31","2014/04/01 19:58",12456
"32","2014/04/01 20:03",1971
"33","2014/04/01 20:08",1675
"34","2014/04/01 20:13",-3
"35","2014/04/01 20:18",6589
"36","2014/04/01 20:23",6947
"37","2014/04/01 20:28",7624
"38","2014/04/01 20:33",6588
"39","2014/04/01 20:38",-3
"40","2014/04/01 20:43",-3
"41","2014/04/01 20:48",5599
"42","2014/04/01 20:53",4489
"43","2014/04/01 20:58",3914
"44","2014/04/01 21:03",-3
"45","2014/04/01 21:08",5754
"46","2014/04/01 21:13",8153
"47","2014/04/01 21:18",6628
"48","2014/04/01 21:23",9857
"49","2014/04/01 21:28",-3
"50","2014/04/01 21:33",4283
"51","2014/04/01 21:38",-3
"52","2014/04/01 21:43",2793
"53","2014/04/01 21:48",-3
"54","2014/04/01 21:53",7829
"55","2014/04/01 21:58",7548
"56","2014/04/01 22:03",5139
"57","2014/04/01 22:08",6288
"58","2014/04/01 22:13",30431
"59","2014/04/01 22:18",3222
"60","2014/04/01 22:23",2530
"61","2014/04/01 22:28",4448
"62","2014/04/01 22:33",3174
"63","2014/04/01 22:38",3346
"64","2014/04/01 22:43",1589
"65","2014/04/01 22:48",4643
"66","2014/04/01 22:53",4953
"67","2014/04/01 22:58",7124
"68","2014/04/01 23:03",9171
"69","2014/04/01 23:08",7605
"70","2014/04/01 23:13",7567
"71","2014/04/01 23:18",14850
"72","2014/04/01 23:23",6175
"73","2014/04/01 23:28",26691
"74","2014/04/01 23:33",5178
"75","2014/04/01 23:38",13539
"76","2014/04/01 23:43",6707
"77","2014/04/01 23:48",10383
"78","2014/04/01 23:53",6800
"79","2014/04/01 23:58",23469
"80","2014/04/02 00:03",2033
"81","2014/04/02 00:08",11275
"82","2014/04/02 00:13",2084
"83","2014/04/02 00:18",2683
"84","2014/04/02 00:23",3324
"85","2014/04/02 00:28",2032
"86","2014/04/02 00:33",1297
"87","2014/04/02 00:38",3638
"88","2014/04/02 00:43",4662
"89","2014/04/02 00:48",1136
"90","2014/04/02 00:53",8916
"91","2014/04/02 00:58",6792
"92","2014/04/02 01:03",2203
"93","2014/04/02 01:08",2358
"94","2014/04/02 01:13",9206
"95","2014/04/02 01:18",30790
"96","2014/04/02 01:23",13542
