LDEV_Response_X620-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:2A:C1 X"
"1","2014/04/01 17:28",-3
"2","2014/04/01 17:33",571
"3","2014/04/01 17:38",-3
"4","2014/04/01 17:43",707
"5","2014/04/01 17:48",677
"6","2014/04/01 17:53",630
"7","2014/04/01 17:58",575
"8","2014/04/01 18:03",444
"9","2014/04/01 18:08",537
"10","2014/04/01 18:13",566
"11","2014/04/01 18:18",575
"12","2014/04/01 18:23",429
"13","2014/04/01 18:28",457
"14","2014/04/01 18:33",521
"15","2014/04/01 18:38",408
"16","2014/04/01 18:43",577
"17","2014/04/01 18:48",471
"18","2014/04/01 18:53",679
"19","2014/04/01 18:58",570
"20","2014/04/01 19:03",535
"21","2014/04/01 19:08",444
"22","2014/04/01 19:13",2597
"23","2014/04/01 19:18",484
"24","2014/04/01 19:23",-3
"25","2014/04/01 19:28",-3
"26","2014/04/01 19:33",-3
"27","2014/04/01 19:38",-3
"28","2014/04/01 19:43",1338
"29","2014/04/01 19:48",1639
"30","2014/04/01 19:53",1176
"31","2014/04/01 19:58",-3
"32","2014/04/01 20:03",-3
"33","2014/04/01 20:08",-3
"34","2014/04/01 20:13",-3
"35","2014/04/01 20:18",-3
"36","2014/04/01 20:23",-3
"37","2014/04/01 20:28",-3
"38","2014/04/01 20:33",-3
"39","2014/04/01 20:38",-3
"40","2014/04/01 20:43",-3
"41","2014/04/01 20:48",-3
"42","2014/04/01 20:53",-3
"43","2014/04/01 20:58",576
"44","2014/04/01 21:03",550
"45","2014/04/01 21:08",611
"46","2014/04/01 21:13",737
"47","2014/04/01 21:18",-3
"48","2014/04/01 21:23",462
"49","2014/04/01 21:28",444
"50","2014/04/01 21:33",446
"51","2014/04/01 21:38",504
"52","2014/04/01 21:43",685
"53","2014/04/01 21:48",487
"54","2014/04/01 21:53",447
"55","2014/04/01 21:58",423
"56","2014/04/01 22:03",497
"57","2014/04/01 22:08",559
"58","2014/04/01 22:13",509
"59","2014/04/01 22:18",462
"60","2014/04/01 22:23",599
"61","2014/04/01 22:28",458
"62","2014/04/01 22:33",462
"63","2014/04/01 22:38",577
"64","2014/04/01 22:43",493
"65","2014/04/01 22:48",470
"66","2014/04/01 22:53",1387
"67","2014/04/01 22:58",463
"68","2014/04/01 23:03",555
"69","2014/04/01 23:08",1267
"70","2014/04/01 23:13",2485
"71","2014/04/01 23:18",9649
"72","2014/04/01 23:23",6823
"73","2014/04/01 23:28",13371
"74","2014/04/01 23:33",4887
"75","2014/04/01 23:38",1725
"76","2014/04/01 23:43",1184
"77","2014/04/01 23:48",979
"78","2014/04/01 23:53",915
"79","2014/04/01 23:58",774
"80","2014/04/02 00:03",1615
"81","2014/04/02 00:08",1864
"82","2014/04/02 00:13",1390
"83","2014/04/02 00:18",1167
"84","2014/04/02 00:23",2048
"85","2014/04/02 00:28",1168
"86","2014/04/02 00:33",1277
"87","2014/04/02 00:38",1270
"88","2014/04/02 00:43",1431
"89","2014/04/02 00:48",1144
"90","2014/04/02 00:53",1077
"91","2014/04/02 00:58",1563
"92","2014/04/02 01:03",1833
"93","2014/04/02 01:08",1180
"94","2014/04/02 01:13",1596
"95","2014/04/02 01:18",2352
"96","2014/04/02 01:23",812
