LDEV_Response_X66-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:5A:D7 X"
"1","2014/04/01 17:28",600
"2","2014/04/01 17:33",2104
"3","2014/04/01 17:38",2448
"4","2014/04/01 17:43",1620
"5","2014/04/01 17:48",2769
"6","2014/04/01 17:53",2706
"7","2014/04/01 17:58",2051
"8","2014/04/01 18:03",1470
"9","2014/04/01 18:08",1848
"10","2014/04/01 18:13",1771
"11","2014/04/01 18:18",1755
"12","2014/04/01 18:23",1130
"13","2014/04/01 18:28",1951
"14","2014/04/01 18:33",1784
"15","2014/04/01 18:38",3361
"16","2014/04/01 18:43",2294
"17","2014/04/01 18:48",2192
"18","2014/04/01 18:53",2763
"19","2014/04/01 18:58",1432
"20","2014/04/01 19:03",1963
"21","2014/04/01 19:08",3385
"22","2014/04/01 19:13",3047
"23","2014/04/01 19:18",2092
"24","2014/04/01 19:23",2038
"25","2014/04/01 19:28",3383
"26","2014/04/01 19:33",3449
"27","2014/04/01 19:38",1903
"28","2014/04/01 19:43",7515
"29","2014/04/01 19:48",5707
"30","2014/04/01 19:53",1678
"31","2014/04/01 19:58",2413
"32","2014/04/01 20:03",3467
"33","2014/04/01 20:08",2958
"34","2014/04/01 20:13",2652
"35","2014/04/01 20:18",1865
"36","2014/04/01 20:23",2688
"37","2014/04/01 20:28",2120
"38","2014/04/01 20:33",4355
"39","2014/04/01 20:38",2092
"40","2014/04/01 20:43",2068
"41","2014/04/01 20:48",2211
"42","2014/04/01 20:53",2374
"43","2014/04/01 20:58",2678
"44","2014/04/01 21:03",3825
"45","2014/04/01 21:08",5032
"46","2014/04/01 21:13",4322
"47","2014/04/01 21:18",1563
"48","2014/04/01 21:23",4039
"49","2014/04/01 21:28",2630
"50","2014/04/01 21:33",5691
"51","2014/04/01 21:38",2488
"52","2014/04/01 21:43",1874
"53","2014/04/01 21:48",1462
"54","2014/04/01 21:53",3208
"55","2014/04/01 21:58",-3
"56","2014/04/01 22:03",2855
"57","2014/04/01 22:08",4424
"58","2014/04/01 22:13",-3
"59","2014/04/01 22:18",2224
"60","2014/04/01 22:23",-3
"61","2014/04/01 22:28",-3
"62","2014/04/01 22:33",3861
"63","2014/04/01 22:38",-3
"64","2014/04/01 22:43",-3
"65","2014/04/01 22:48",-3
"66","2014/04/01 22:53",3304
"67","2014/04/01 22:58",2059
"68","2014/04/01 23:03",3903
"69","2014/04/01 23:08",2021
"70","2014/04/01 23:13",6356
"71","2014/04/01 23:18",3882
"72","2014/04/01 23:23",3114
"73","2014/04/01 23:28",3170
"74","2014/04/01 23:33",5386
"75","2014/04/01 23:38",4024
"76","2014/04/01 23:43",2450
"77","2014/04/01 23:48",4137
"78","2014/04/01 23:53",6859
"79","2014/04/01 23:58",3450
"80","2014/04/02 00:03",961
"81","2014/04/02 00:08",-3
"82","2014/04/02 00:13",-3
"83","2014/04/02 00:18",5418
"84","2014/04/02 00:23",-3
"85","2014/04/02 00:28",-3
"86","2014/04/02 00:33",6170
"87","2014/04/02 00:38",3766
"88","2014/04/02 00:43",-3
"89","2014/04/02 00:48",4824
"90","2014/04/02 00:53",2137
"91","2014/04/02 00:58",-3
"92","2014/04/02 01:03",2082
"93","2014/04/02 01:08",-3
"94","2014/04/02 01:13",-3
"95","2014/04/02 01:18",4238
"96","2014/04/02 01:23",-3
