LDEV_Read_Hit_X501-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:01:EC X"
"1","2014/04/01 17:28",57
"2","2014/04/01 17:33",73
"3","2014/04/01 17:38",47
"4","2014/04/01 17:43",91
"5","2014/04/01 17:48",28
"6","2014/04/01 17:53",15
"7","2014/04/01 17:58",40
"8","2014/04/01 18:03",79
"9","2014/04/01 18:08",36
"10","2014/04/01 18:13",36
"11","2014/04/01 18:18",11
"12","2014/04/01 18:23",16
"13","2014/04/01 18:28",49
"14","2014/04/01 18:33",75
"15","2014/04/01 18:38",40
"16","2014/04/01 18:43",83
"17","2014/04/01 18:48",13
"18","2014/04/01 18:53",9
"19","2014/04/01 18:58",24
"20","2014/04/01 19:03",74
"21","2014/04/01 19:08",34
"22","2014/04/01 19:13",48
"23","2014/04/01 19:18",10
"24","2014/04/01 19:23",12
"25","2014/04/01 19:28",52
"26","2014/04/01 19:33",87
"27","2014/04/01 19:38",14
"28","2014/04/01 19:43",63
"29","2014/04/01 19:48",30
"30","2014/04/01 19:53",19
"31","2014/04/01 19:58",9
"32","2014/04/01 20:03",83
"33","2014/04/01 20:08",30
"34","2014/04/01 20:13",60
"35","2014/04/01 20:18",9
"36","2014/04/01 20:23",38
"37","2014/04/01 20:28",17
"38","2014/04/01 20:33",29
"39","2014/04/01 20:38",7
"40","2014/04/01 20:43",75
"41","2014/04/01 20:48",29
"42","2014/04/01 20:53",7
"43","2014/04/01 20:58",12
"44","2014/04/01 21:03",76
"45","2014/04/01 21:08",5
"46","2014/04/01 21:13",23
"47","2014/04/01 21:18",6
"48","2014/04/01 21:23",7
"49","2014/04/01 21:28",45
"50","2014/04/01 21:33",18
"51","2014/04/01 21:38",13
"52","2014/04/01 21:43",92
"53","2014/04/01 21:48",39
"54","2014/04/01 21:53",18
"55","2014/04/01 21:58",10
"56","2014/04/01 22:03",67
"57","2014/04/01 22:08",65
"58","2014/04/01 22:13",70
"59","2014/04/01 22:18",71
"60","2014/04/01 22:23",76
"61","2014/04/01 22:28",80
"62","2014/04/01 22:33",85
"63","2014/04/01 22:38",81
"64","2014/04/01 22:43",91
"65","2014/04/01 22:48",91
"66","2014/04/01 22:53",90
"67","2014/04/01 22:58",89
"68","2014/04/01 23:03",78
"69","2014/04/01 23:08",83
"70","2014/04/01 23:13",82
"71","2014/04/01 23:18",86
"72","2014/04/01 23:23",89
"73","2014/04/01 23:28",90
"74","2014/04/01 23:33",93
"75","2014/04/01 23:38",93
"76","2014/04/01 23:43",91
"77","2014/04/01 23:48",92
"78","2014/04/01 23:53",89
"79","2014/04/01 23:58",89
"80","2014/04/02 00:03",87
"81","2014/04/02 00:08",89
"82","2014/04/02 00:13",84
"83","2014/04/02 00:18",85
"84","2014/04/02 00:23",77
"85","2014/04/02 00:28",88
"86","2014/04/02 00:33",93
"87","2014/04/02 00:38",31
"88","2014/04/02 00:43",90
"89","2014/04/02 00:48",94
"90","2014/04/02 00:53",83
"91","2014/04/02 00:58",77
"92","2014/04/02 01:03",83
"93","2014/04/02 01:08",88
"94","2014/04/02 01:13",64
"95","2014/04/02 01:18",25
"96","2014/04/02 01:23",39
