LDEV_Rnd_Read_Hit32.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:32:1B(11-13)","00:32:1C(11-13)","00:32:1D(11-13)","00:32:37X(X858-1)","00:32:38(11-4)","00:32:39(11-4)","00:32:43(11-6)","00:32:44(11-6)","00:32:4CX(X179-1)","00:32:4F(13-5)","00:32:50(13-15)","00:32:51(13-3)","00:32:52(5-4)","00:32:61X(X457-1)","00:32:65X(X160-1)","00:32:66X(X159-1)","00:32:69X(X416-1)","00:32:6AX(X417-1)","00:32:6CX(X424-1)","00:32:6DX(X425-1)","00:32:6EX(X428-1)"
"1","2014/04/01 17:28",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"2","2014/04/01 17:33",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"3","2014/04/01 17:38",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"4","2014/04/01 17:43",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"5","2014/04/01 17:48",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"6","2014/04/01 17:53",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"7","2014/04/01 17:58",0,5,0,0,0,0,0,0,0,0,0,0,0,0,94,100,10,0,0,0,0
"8","2014/04/01 18:03",0,3,15,0,96,0,96,0,0,0,0,0,0,0,91,100,5,0,0,0,0
"9","2014/04/01 18:08",65,0,0,0,0,0,0,0,0,0,0,0,0,0,66,100,3,0,0,0,0
"10","2014/04/01 18:13",0,18,0,0,0,0,0,0,0,0,0,0,0,0,88,100,10,0,0,0,0
"11","2014/04/01 18:18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,100,2,0,0,0,0
"12","2014/04/01 18:23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,100,11,0,0,0,0
"13","2014/04/01 18:28",0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,100,3,0,0,0,0
"14","2014/04/01 18:33",0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,100,1,0,0,0,0
"15","2014/04/01 18:38",7,0,3,0,0,0,0,0,0,0,0,0,0,0,84,100,6,0,0,0,0
"16","2014/04/01 18:43",0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,100,9,0,0,0,0
"17","2014/04/01 18:48",0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,100,3,0,0,0,0
"18","2014/04/01 18:53",0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,100,5,41,0,0,0
"19","2014/04/01 18:58",0,1,0,0,0,0,0,0,0,0,0,0,0,0,100,100,9,41,0,0,0
"20","2014/04/01 19:03",0,0,0,0,96,0,96,0,0,0,0,0,0,0,89,100,2,0,0,0,0
"21","2014/04/01 19:08",0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,100,3,0,0,0,0
"22","2014/04/01 19:13",0,1,0,0,0,0,0,0,0,0,0,0,0,0,87,100,2,0,0,0,0
"23","2014/04/01 19:18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,100,6,69,0,0,0
"24","2014/04/01 19:23",0,1,0,0,0,0,0,0,0,0,0,0,0,0,90,100,6,0,0,0,0
"25","2014/04/01 19:28",0,2,1,0,0,0,0,0,0,0,0,0,0,0,91,100,5,0,0,0,0
"26","2014/04/01 19:33",0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,100,4,0,0,0,0
"27","2014/04/01 19:38",0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,100,4,0,0,0,0
"28","2014/04/01 19:43",0,11,5,0,0,0,0,0,0,0,0,0,0,0,85,100,1,0,0,0,0
"29","2014/04/01 19:48",0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,100,3,0,0,0,0
"30","2014/04/01 19:53",0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,100,0,0,0,0,0
"31","2014/04/01 19:58",0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,4,0,0,0,0
"32","2014/04/01 20:03",0,0,0,0,96,0,96,0,0,0,0,0,0,0,98,100,5,0,0,0,0
"33","2014/04/01 20:08",0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,100,3,33,0,0,0
"34","2014/04/01 20:13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,100,5,0,0,0,0
"35","2014/04/01 20:18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,100,5,0,0,0,0
"36","2014/04/01 20:23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,100,9,60,0,0,0
"37","2014/04/01 20:28",0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,100,2,0,0,0,0
"38","2014/04/01 20:33",0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,100,9,0,0,0,0
"39","2014/04/01 20:38",0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,100,10,15,0,0,0
"40","2014/04/01 20:43",0,5,1,0,0,0,0,0,0,0,0,0,0,0,85,100,5,0,0,0,0
"41","2014/04/01 20:48",0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,100,4,0,0,0,0
"42","2014/04/01 20:53",0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,100,0,10,0,0,0
"43","2014/04/01 20:58",0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,1,0,0,0,0
"44","2014/04/01 21:03",0,0,0,0,96,0,96,0,0,0,0,0,0,0,98,100,3,0,0,0,0
"45","2014/04/01 21:08",0,5,0,0,0,0,0,0,0,0,0,0,0,0,68,100,5,14,0,0,0
"46","2014/04/01 21:13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,100,8,0,0,0,0
"47","2014/04/01 21:18",16,0,0,0,0,0,0,0,0,0,0,0,0,0,88,100,7,0,0,0,0
"48","2014/04/01 21:23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,100,6,2,0,0,0
"49","2014/04/01 21:28",0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,100,11,0,0,0,0
"50","2014/04/01 21:33",0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,100,4,0,0,0,0
"51","2014/04/01 21:38",0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,100,16,14,0,0,0
