LDEV_Rnd_Read_HitC9.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:C9:14X(X811-1)","00:C9:15X(X812-1)","00:C9:16X(X813-1)","00:C9:17X(X814-1)","00:C9:19X(X816-1)","00:C9:1AX(X817-1)"
"1","2014/04/01 17:28",-4,-4,-4,-4,-4,-4
"2","2014/04/01 17:33",-4,-4,-4,-4,-4,-4
"3","2014/04/01 17:38",-4,-4,-4,-4,-4,-4
"4","2014/04/01 17:43",-4,-4,-4,-4,-4,-4
"5","2014/04/01 17:48",-4,-4,-4,-4,-4,-4
"6","2014/04/01 17:53",-4,-4,-4,-4,-4,-4
"7","2014/04/01 17:58",100,90,93,86,83,100
"8","2014/04/01 18:03",100,84,86,90,88,0
"9","2014/04/01 18:08",50,90,91,90,89,0
"10","2014/04/01 18:13",100,90,85,88,90,98
"11","2014/04/01 18:18",50,81,85,79,86,0
"12","2014/04/01 18:23",100,85,88,85,86,0
"13","2014/04/01 18:28",100,84,82,87,85,0
"14","2014/04/01 18:33",100,83,80,83,85,0
"15","2014/04/01 18:38",86,84,86,85,88,61
"16","2014/04/01 18:43",50,84,84,82,84,0
"17","2014/04/01 18:48",33,79,86,84,88,0
"18","2014/04/01 18:53",100,78,81,86,83,0
"19","2014/04/01 18:58",100,85,83,80,80,0
"20","2014/04/01 19:03",100,80,80,85,82,0
"21","2014/04/01 19:08",99,76,79,76,75,99
"22","2014/04/01 19:13",99,85,88,85,86,99
"23","2014/04/01 19:18",99,82,84,87,80,100
"24","2014/04/01 19:23",100,84,83,83,85,92
"25","2014/04/01 19:28",100,86,85,84,86,100
"26","2014/04/01 19:33",100,75,75,76,71,99
"27","2014/04/01 19:38",98,81,83,80,80,99
"28","2014/04/01 19:43",100,52,47,48,53,0
"29","2014/04/01 19:48",100,52,48,47,52,0
"30","2014/04/01 19:53",33,52,46,57,53,0
"31","2014/04/01 19:58",100,78,82,79,81,100
"32","2014/04/01 20:03",50,76,83,80,78,0
"33","2014/04/01 20:08",99,83,88,87,86,99
"34","2014/04/01 20:13",99,87,90,88,89,98
"35","2014/04/01 20:18",98,96,95,94,92,98
"36","2014/04/01 20:23",33,93,93,95,92,0
"37","2014/04/01 20:28",100,91,92,91,91,0
"38","2014/04/01 20:33",33,90,89,91,92,0
"39","2014/04/01 20:38",50,95,96,94,96,0
"40","2014/04/01 20:43",50,94,94,92,92,0
"41","2014/04/01 20:48",100,95,95,92,93,0
"42","2014/04/01 20:53",50,92,91,88,88,0
"43","2014/04/01 20:58",50,92,93,92,89,0
"44","2014/04/01 21:03",100,90,92,91,88,0
"45","2014/04/01 21:08",99,71,68,68,66,99
"46","2014/04/01 21:13",100,79,79,81,80,99
"47","2014/04/01 21:18",100,84,84,84,78,99
"48","2014/04/01 21:23",100,75,73,78,75,100
"49","2014/04/01 21:28",100,89,86,85,83,94
"50","2014/04/01 21:33",99,72,67,75,70,100
"51","2014/04/01 21:38",98,80,82,77,79,98
"52","2014/04/01 21:43",100,84,82,84,82,0
"53","2014/04/01 21:48",100,78,80,71,73,0
"54","2014/04/01 21:53",100,82,83,84,81,0
"55","2014/04/01 21:58",100,74,72,68,70,88
"56","2014/04/01 22:03",100,64,69,64,64,0
"57","2014/04/01 22:08",99,60,57,55,59,96
"58","2014/04/01 22:13",99,62,59,67,61,97
"59","2014/04/01 22:18",100,79,81,72,79,0
"60","2014/04/01 22:23",100,70,71,70,70,88
"61","2014/04/01 22:28",33,66,65,62,59,0
"62","2014/04/01 22:33",100,54,57,62,55,0
"63","2014/04/01 22:38",100,59,61,60,61,0
"64","2014/04/01 22:43",20,70,71,73,68,0
"65","2014/04/01 22:48",100,64,63,56,62,0
"66","2014/04/01 22:53",100,55,54,59,53,0
"67","2014/04/01 22:58",71,61,52,60,58,60
"68","2014/04/01 23:03",33,60,56,51,55,0
"69","2014/04/01 23:08",100,62,51,58,62,99
"70","2014/04/01 23:13",99,69,65,69,65,98
"71","2014/04/01 23:18",100,70,69,78,71,99
"72","2014/04/01 23:23",99,69,64,72,65,100
"73","2014/04/01 23:28",99,73,71,76,73,88
"74","2014/04/01 23:33",99,71,65,76,73,99
"75","2014/04/01 23:38",100,68,80,71,75,100
"76","2014/04/01 23:43",97,76,74,75,78,72
"77","2014/04/01 23:48",100,69,65,68,67,0
"78","2014/04/01 23:53",33,76,75,74,77,0
"79","2014/04/01 23:58",100,84,82,81,80,100
"80","2014/04/02 00:03",50,73,78,75,76,0
"81","2014/04/02 00:08",100,66,68,67,72,97
"82","2014/04/02 00:13",99,71,69,72,74,97
"83","2014/04/02 00:18",50,81,81,82,78,0
"84","2014/04/02 00:23",100,76,76,76,76,100
"85","2014/04/02 00:28",92,80,77,80,81,83
"86","2014/04/02 00:33",66,76,77,85,81,75
"87","2014/04/02 00:38",88,82,77,84,83,78
"88","2014/04/02 00:43",33,81,79,82,79,0
"89","2014/04/02 00:48",100,86,85,86,85,0
"90","2014/04/02 00:53",100,82,81,77,81,0
"91","2014/04/02 00:58",100,87,84,83,82,0
"92","2014/04/02 01:03",100,82,84,83,84,0
"93","2014/04/02 01:08",99,66,60,65,67,100
"94","2014/04/02 01:13",99,82,83,80,79,97
"95","2014/04/02 01:18",99,83,82,86,79,99
"96","2014/04/02 01:23",99,80,77,82,77,85
