LDEV_Rnd_Read_Hit05.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:05:01X(X178-1)","00:05:02X(X182-1)","00:05:03X(X185-1)","00:05:04X(X177-1)","00:05:05X(X180-1)","00:05:06(11-8)","00:05:07X(X183-1)","00:05:0AX(X155-1)","00:05:0BX(X152-1)","00:05:0CX(X153-1)","00:05:0DX(X156-1)","00:05:0EX(X151-1)","00:05:0FX(X471-1)","00:05:10X(X537-1)","00:05:11X(X572-1)","00:05:12X(X605-1)","00:05:13X(X607-1)","00:05:16X(X93-1)","00:05:17X(X94-1)","00:05:18X(X42-1)","00:05:19X(X43-1)","00:05:1AX(X44-1)","00:05:1BX(X45-1)","00:05:20X(X61-1)","00:05:21X(X63-1)","00:05:25X(X95-1)","00:05:26X(X89-1)","00:05:27X(X53-1)","00:05:28X(X54-1)","00:05:29X(X59-1)","00:05:2AX(X60-1)","00:05:2BX(X82-1)","00:05:2CX(X83-1)","00:05:2DX(X84-1)","00:05:2EX(X85-1)","00:05:2FX(X86-1)","00:05:30X(X87-1)","00:05:31X(X88-1)","00:05:32X(X92-1)"
"26","2014/04/01 19:33",100,100,100,0,0,0,0,100,100,100,0,0,99,99,99,100,100,0,0,0,0,0,0,0,0,0,0,94,95,98,96,97,97,91,0,0,0,0,0
"27","2014/04/01 19:38",100,100,100,0,0,0,0,100,100,100,0,0,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,99,97,98,94,97,96,97,0,0,0,0,0
"28","2014/04/01 19:43",100,100,100,0,0,0,0,99,99,99,0,0,100,99,100,100,70,0,0,0,0,0,0,0,0,0,0,98,99,99,99,91,97,94,0,0,0,0,0
"29","2014/04/01 19:48",100,100,100,0,0,0,0,100,100,100,0,0,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,94,94,94,98,97,96,97,0,0,0,0,0
"30","2014/04/01 19:53",100,100,100,0,0,0,0,100,100,100,0,0,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,98,97,98,98,96,99,98,0,0,0,0,0
"31","2014/04/01 19:58",100,100,100,0,0,0,0,100,100,100,0,0,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,91,93,99,99,91,96,96,0,0,0,0,0
"32","2014/04/01 20:03",100,100,100,0,0,0,0,100,100,100,0,0,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,78,78,75,77,75,81,79,0,0,0,0,0
"33","2014/04/01 20:08",100,100,100,0,0,0,0,100,100,100,0,0,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,97,94,98,95,99,98,95,0,0,0,0,0
"34","2014/04/01 20:13",100,100,100,0,0,0,0,100,100,100,0,0,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,92,95,98,96,96,92,93,0,0,0,0,0
"35","2014/04/01 20:18",100,100,100,0,0,0,0,100,100,100,0,0,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,91,84,89,86,91,90,87,0,0,0,0,0
"36","2014/04/01 20:23",100,100,100,0,0,0,0,99,99,99,0,0,99,99,99,100,100,0,0,0,0,0,0,0,0,0,0,95,95,87,94,89,92,96,0,0,0,0,0
"37","2014/04/01 20:28",100,100,100,0,0,0,0,100,100,100,0,0,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,91,95,84,98,90,92,95,0,0,0,0,0
"38","2014/04/01 20:33",100,100,100,0,0,0,0,100,100,100,0,0,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,93,94,97,93,87,91,97,0,0,0,0,0
"39","2014/04/01 20:38",100,100,100,0,0,0,0,100,100,100,0,0,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,98,98,99,99,99,99,98,0,0,0,0,0
"40","2014/04/01 20:43",100,100,100,0,0,0,0,100,100,100,0,0,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,88,90,88,88,86,88,89,0,0,0,0,0
"41","2014/04/01 20:48",100,100,100,0,0,0,0,100,100,100,0,0,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,94,97,97,96,95,99,97,0,0,0,0,0
"42","2014/04/01 20:53",100,100,100,0,0,0,0,100,100,100,0,0,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,89,89,90,92,87,91,91,0,0,0,0,0
"43","2014/04/01 20:58",100,100,100,0,0,0,0,100,100,100,0,0,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,89,92,89,92,88,91,91,0,0,0,0,0
"44","2014/04/01 21:03",100,100,100,0,0,0,0,100,100,100,0,0,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,77,75,76,83,78,80,83,0,0,0,0,0
