LDEV_Rnd_Read_Hit06.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:06:06X(X24-1)","00:06:07X(X26-1)","00:06:08X(X27-1)","00:06:09X(X25-1)","00:06:0AX(X29-1)","00:06:0CX(X172-1)","00:06:0DX(X163-1)","00:06:0EX(X406-1)","00:06:0FX(X434-1)","00:06:10X(X16-1)","00:06:11X(X446-1)","00:06:12X(X392-1)","00:06:13X(X162-1)","00:06:14X(X383-1)","00:06:15X(X444-1)","00:06:16X(X176-1)","00:06:26X(X408-1)"
"1","2014/04/01 17:28",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"2","2014/04/01 17:33",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"3","2014/04/01 17:38",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"4","2014/04/01 17:43",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"5","2014/04/01 17:48",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"6","2014/04/01 17:53",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"7","2014/04/01 17:58",100,50,65,100,100,11,100,100,100,9,11,14,17,19,5,100,40
"8","2014/04/01 18:03",100,66,0,45,20,6,26,100,57,28,20,22,13,11,21,13,80
"9","2014/04/01 18:08",0,0,0,12,16,16,100,33,50,5,100,66,25,27,0,16,0
"10","2014/04/01 18:13",33,0,0,100,0,33,100,100,66,100,33,100,100,33,33,33,20
"11","2014/04/01 18:18",100,0,0,100,0,50,100,100,100,100,100,100,100,100,100,100,0
"12","2014/04/01 18:23",100,0,0,33,0,25,100,100,100,100,16,100,50,100,100,100,66
"13","2014/04/01 18:28",100,0,65,100,0,100,100,100,100,33,100,100,100,50,100,50,0
"14","2014/04/01 18:33",100,0,0,100,0,100,100,100,100,100,100,100,100,100,100,100,33
"15","2014/04/01 18:38",100,0,0,100,0,100,25,33,100,100,100,100,100,100,50,50,100
"16","2014/04/01 18:43",33,0,0,100,0,33,100,100,66,100,33,100,100,33,33,25,27
