LDEV_Rnd_Read_Hit5A.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:5A:D6X(X68-1)","00:5A:D7X(X66-1)","00:5A:D8X(X50-1)","00:5A:D9X(X71-1)","00:5A:FC(5-6)","00:5A:FD(5-6)","00:5A:FEX(X69-1)","00:5A:FFX(X67-1)"
"1","2014/04/01 17:28",-4,-4,-4,-4,-4,-4,-4,-4
"2","2014/04/01 17:33",-4,-4,-4,-4,-4,-4,-4,-4
"3","2014/04/01 17:38",-4,-4,-4,-4,-4,-4,-4,-4
"4","2014/04/01 17:43",-4,-4,-4,-4,-4,-4,-4,-4
"5","2014/04/01 17:48",-4,-4,-4,-4,-4,-4,-4,-4
"6","2014/04/01 17:53",-4,-4,-4,-4,-4,-4,-4,-4
"7","2014/04/01 17:58",83,82,81,79,0,0,94,90
"8","2014/04/01 18:03",85,85,87,85,0,0,98,97
"9","2014/04/01 18:08",86,86,84,85,0,0,100,100
"10","2014/04/01 18:13",84,82,83,83,0,0,100,100
"11","2014/04/01 18:18",86,86,84,87,0,0,99,99
"12","2014/04/01 18:23",89,92,89,92,0,0,100,100
"13","2014/04/01 18:28",80,79,81,82,0,0,100,98
"14","2014/04/01 18:33",85,83,87,84,0,0,100,99
"15","2014/04/01 18:38",69,67,68,75,0,0,100,99
"16","2014/04/01 18:43",78,83,80,74,0,0,100,98
"17","2014/04/01 18:48",81,83,82,79,0,0,100,99
"18","2014/04/01 18:53",81,76,79,80,0,0,100,98
"19","2014/04/01 18:58",87,89,87,87,0,0,100,99
"20","2014/04/01 19:03",80,82,81,80,0,0,99,99
"21","2014/04/01 19:08",75,73,78,75,0,0,99,99
"22","2014/04/01 19:13",62,67,68,64,0,0,100,100
"23","2014/04/01 19:18",81,79,80,81,0,0,100,99
"24","2014/04/01 19:23",81,82,79,81,0,0,100,100
"25","2014/04/01 19:28",61,66,66,53,0,0,100,99
"26","2014/04/01 19:33",63,63,66,62,0,0,100,99
"27","2014/04/01 19:38",81,82,83,84,0,0,100,100
"28","2014/04/01 19:43",59,60,64,60,0,0,98,98
"29","2014/04/01 19:48",57,61,56,53,0,0,83,82
"30","2014/04/01 19:53",87,89,88,87,0,0,93,93
"31","2014/04/01 19:58",75,79,76,75,0,0,100,99
"32","2014/04/01 20:03",64,66,63,60,0,0,99,99
"33","2014/04/01 20:08",71,74,75,73,0,0,100,98
"34","2014/04/01 20:13",76,78,81,78,0,0,100,99
"35","2014/04/01 20:18",84,87,85,83,0,0,100,99
"36","2014/04/01 20:23",75,77,75,75,0,0,100,100
"37","2014/04/01 20:28",78,77,74,73,0,0,100,99
"38","2014/04/01 20:33",55,61,60,53,0,0,97,94
"39","2014/04/01 20:38",79,83,84,80,0,0,100,99
"40","2014/04/01 20:43",79,81,80,81,0,0,99,99
"41","2014/04/01 20:48",83,82,82,81,0,0,100,100
"42","2014/04/01 20:53",74,77,74,81,0,0,100,99
"43","2014/04/01 20:58",77,77,67,79,0,0,100,99
"44","2014/04/01 21:03",58,63,63,59,0,0,99,95
"45","2014/04/01 21:08",58,52,59,55,0,0,100,99
"46","2014/04/01 21:13",50,44,54,37,0,0,100,99
"47","2014/04/01 21:18",86,88,85,86,0,0,100,98
"48","2014/04/01 21:23",51,48,40,46,0,0,100,99
"49","2014/04/01 21:28",70,73,74,70,0,0,99,100
"50","2014/04/01 21:33",49,40,41,28,0,0,100,99
"51","2014/04/01 21:38",78,77,77,76,0,0,100,99
"52","2014/04/01 21:43",78,82,80,80,0,0,100,98
"53","2014/04/01 21:48",89,87,88,87,0,0,100,99
"54","2014/04/01 21:53",68,74,73,70,0,0,100,99
"55","2014/04/01 21:58",72,74,86,63,0,0,100,100
"56","2014/04/01 22:03",69,69,72,66,0,0,99,99
"57","2014/04/01 22:08",61,65,64,65,0,0,100,99
