LDEV_Rnd_Read_Hit03.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:03:01X(X554-1)","00:03:02X(X674-1)","00:03:04X(X48-1)","00:03:05X(X467-1)","00:03:06X(X852-1)","00:03:07X(X757-1)","00:03:08X(X761-1)","00:03:0AX(X426-1)","00:03:0BX(X427-1)","00:03:1AX(X373-1)","00:03:1BX(X374-1)","00:03:1CX(X375-1)","00:03:1DX(X376-1)","00:03:1FX(X386-1)","00:03:20X(X764-1)","00:03:22X(X405-1)","00:03:26X(X414-1)","00:03:27X(X415-1)","00:03:30X(X540-1)","00:03:31X(X541-1)","00:03:32X(X542-1)","00:03:33X(X543-1)","00:03:34X(X544-1)","00:03:35X(X545-1)","00:03:36X(X546-1)","00:03:37X(X547-1)","00:03:38X(X548-1)","00:03:39X(X549-1)","00:03:3AX(X550-1)","00:03:3BX(X551-1)"
"1","2014/04/01 17:28",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"2","2014/04/01 17:33",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"3","2014/04/01 17:38",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"4","2014/04/01 17:43",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"5","2014/04/01 17:48",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"6","2014/04/01 17:53",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"7","2014/04/01 17:58",100,0,0,91,100,0,0,0,0,0,0,0,0,0,0,0,0,0,26,66,92,91,26,39,72,70,46,89,30,41
"8","2014/04/01 18:03",97,0,0,88,100,0,0,0,0,0,0,0,0,0,0,38,34,0,50,70,97,96,65,77,88,74,65,96,61,95
"9","2014/04/01 18:08",99,0,0,92,99,0,0,0,0,0,0,0,0,0,0,0,0,0,39,77,98,97,20,43,92,42,20,97,0,33
"10","2014/04/01 18:13",100,0,0,92,99,0,0,0,0,0,0,0,0,0,0,0,0,0,35,46,91,90,40,28,77,60,0,92,3,7
"11","2014/04/01 18:18",100,0,0,72,99,0,0,0,0,0,0,0,0,0,0,0,0,0,6,11,78,69,6,8,35,10,72,74,67,92
"12","2014/04/01 18:23",100,0,0,87,99,0,0,0,0,0,0,0,0,0,0,0,0,0,7,23,78,70,32,16,49,11,77,76,98,97
"13","2014/04/01 18:28",100,0,0,83,99,0,0,0,0,0,0,0,0,0,0,0,0,0,47,79,98,98,67,64,92,82,57,98,15,23
