PHY_Short_DRR.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","DRR40-1AU","DRR41-1AU","DRR42-1AU","DRR43-1AU","DRR50-1BU","DRR51-1BU","DRR52-1BU","DRR53-1BU","DRR44-1AL","DRR45-1AL","DRR46-1AL","DRR47-1AL","DRR54-1BL","DRR55-1BL","DRR56-1BL","DRR57-1BL","DRR60-1LU","DRR61-1LU","DRR62-1LU","DRR63-1LU","DRR70-1KU","DRR71-1KU","DRR72-1KU","DRR73-1KU","DRR64-1LL","DRR65-1LL","DRR66-1LL","DRR67-1LL","DRR74-1KL","DRR75-1KL","DRR76-1KL","DRR77-1KL","DRRC0-2MU","DRRC1-2MU","DRRC2-2MU","DRRC3-2MU","DRRD0-2NU","DRRD1-2NU","DRRD2-2NU","DRRD3-2NU","DRRC4-2ML","DRRC5-2ML","DRRC6-2ML","DRRC7-2ML","DRRD4-2NL","DRRD5-2NL","DRRD6-2NL","DRRD7-2NL","DRRE0-2XU","DRRE1-2XU","DRRE2-2XU","DRRE3-2XU","DRRF0-2WU","DRRF1-2WU","DRRF2-2WU","DRRF3-2WU","DRRE4-2XL","DRRE5-2XL","DRRE6-2XL","DRRE7-2XL","DRRF4-2WL","DRRF5-2WL","DRRF6-2WL","DRRF7-2WL"
"18","2014/04/01 18:53",0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,1,0,0,1,1,1
"19","2014/04/01 18:58",0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2,1,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,2,2,2,1,2,2,0,0,0,0,0,0,0,0
"20","2014/04/01 19:03",2,2,2,2,2,2,1,2,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1
"21","2014/04/01 19:08",4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,4,4,4,3,4,4,4,4,5,5,5,5,5,4,5,5,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2
"22","2014/04/01 19:13",1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,3,4,4,4,4,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1
"23","2014/04/01 19:18",1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,4,5,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1
"24","2014/04/01 19:23",1,2,2,2,2,2,1,2,7,6,7,7,7,6,6,6,3,3,4,3,3,3,3,4,2,2,2,2,2,2,2,2,1,2,1,1,1,2,1,2,6,6,7,7,7,6,6,6,3,3,4,3,4,3,3,3,2,2,2,1,2,2,2,2
"25","2014/04/01 19:28",1,1,1,1,1,1,1,1,6,6,6,6,6,5,5,6,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,6,6,6,5,6,6,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1
"26","2014/04/01 19:33",1,1,1,1,1,1,1,1,3,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,4,3,4,4,4,4,4,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1
"27","2014/04/01 19:38",1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,2,2,2,2,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1
"28","2014/04/01 19:43",4,4,4,4,4,4,4,4,7,7,7,7,7,7,7,7,5,5,6,5,5,5,6,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,7,7,7,7,7,7,8,7,5,6,5,5,6,5,6,5,4,4,4,4,4,4,4,4
"29","2014/04/01 19:48",2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,2,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,3,3,3,3,2,3,3,3
"30","2014/04/01 19:53",2,2,1,2,2,1,2,2,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2
"31","2014/04/01 19:58",1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1
"32","2014/04/01 20:03",1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1
"33","2014/04/01 20:08",1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2
"34","2014/04/01 20:13",1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1
"35","2014/04/01 20:18",1,1,1,1,1,1,1,1,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1
"36","2014/04/01 20:23",1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1
"37","2014/04/01 20:28",1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1
"38","2014/04/01 20:33",1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1
"39","2014/04/01 20:38",0,1,1,0,1,1,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1
"40","2014/04/01 20:43",0,0,0,0,0,0,0,0,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,1,1,2,1,2,2,2,2,1,2,2,0,0,0,0,0,0,1,1
"41","2014/04/01 20:48",1,1,1,1,1,1,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1
"42","2014/04/01 20:53",0,0,0,0,0,0,0,1,1,1,1,2,1,1,1,1,2,2,2,2,2,2,2,2,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1
"43","2014/04/01 20:58",1,0,0,0,0,0,0,1,1,2,1,2,1,1,1,1,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,2,1,2,1,1,1,1,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1
"44","2014/04/01 21:03",1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1
"45","2014/04/01 21:08",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2
"46","2014/04/01 21:13",1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1
"47","2014/04/01 21:18",0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1
"48","2014/04/01 21:23",1,1,1,1,1,1,1,1,2,2,1,2,2,1,1,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,1,1,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1
"49","2014/04/01 21:28",1,1,1,1,1,1,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1
"50","2014/04/01 21:33",1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1
"51","2014/04/01 21:38",0,0,0,0,0,0,0,0,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,0,0,1,1,1
"52","2014/04/01 21:43",0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0,1,0,1,1,1,1
"53","2014/04/01 21:48",1,1,1,1,1,0,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1
"54","2014/04/01 21:53",0,0,0,0,0,0,0,0,2,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,1,1,1,2,1,1,1,1,1,1,2,1,0,0,0,0,0,0,0,0
"55","2014/04/01 21:58",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
"56","2014/04/01 22:03",0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,1,1,1,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1
"57","2014/04/01 22:08",1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,1,2,1,1,1,1,1,1,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2
"58","2014/04/01 22:13",1,1,1,1,1,1,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1
"59","2014/04/01 22:18",0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
"60","2014/04/01 22:23",0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
"61","2014/04/01 22:28",0,0,0,0,0,0,0,0,2,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
